phase,trainer,backend,n,dim,median_seconds,iqr_seconds,repeats,torch,torch_cuda,gpu,driver,cuml,sklearn
train,mlp,torch-cuda,8,768,0.08826221,0.00159027,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,16,768,0.27444956,0.00176418,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,32,768,0.16358639,0.00192997,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,64,768,0.43403324,0.00477603,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,128,768,0.35128998,0.00512096,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,256,768,0.43505585,0.00575884,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,512,768,0.44187835,0.0007512,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,1024,768,0.43872332,0.00205167,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,4096,768,0.44519934,0.00245012,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,mlp,torch-cuda,16384,768,0.45125955,0.0014934,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,8,768,0.00196796,5.619e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,16,768,0.00237152,0.00011964,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,32,768,0.00310491,5.407e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,64,768,0.00514499,0.00024949,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,128,768,0.00909268,0.0001546,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,256,768,0.0174461,0.0012377,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,512,768,0.03186557,0.00025428,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,1024,768,0.08658274,0.00373182,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,4096,768,0.62665772,0.01608679,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_linear,sklearn-cpu,16384,768,3.38941626,0.01053273,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,8,768,0.00182701,8.1e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,16,768,0.00190383,2.955e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,32,768,0.00203058,0.00010089,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,64,768,0.00320209,9.311e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,128,768,0.00605131,0.00028454,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,256,768,0.01832374,0.00042942,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,512,768,0.05300296,0.00076481,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,1024,768,0.19787567,0.00150709,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,4096,768,2.51874528,0.02726073,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
train,svm_rbf,sklearn-cpu,16384,768,80.1178059,0.08282355,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,mlp,torch-cuda,1000,768,0.00037449,4.021e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,mlp,torch-cuda,10000,768,0.00035799,2.473e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,mlp,torch-cuda,100000,768,0.00136234,2.265e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,mlp,torch-cuda,1000000,768,0.00943881,0.00035015,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_linear,sklearn-cpu,1000,768,0.00120453,3.825e-05,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_linear,sklearn-cpu,10000,768,0.01687374,0.00029912,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_linear,sklearn-cpu,100000,768,0.25809314,0.00177065,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_linear,sklearn-cpu,1000000,768,2.48211015,0.0059902,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_rbf,sklearn-cpu,1000,768,0.06019662,0.00082133,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_rbf,sklearn-cpu,10000,768,0.47311031,0.00425496,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_rbf,sklearn-cpu,100000,768,4.76733087,0.04291011,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
infer,svm_rbf,sklearn-cpu,1000000,768,48.2078448,0.23159244,7,2.6.0+cu124,12.4,Tesla V100-SXM2-32GB-LS,12.4,25.12.00,1.9.0
