dataset,embedder,category,seed,supports_text,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_oracle_cost,text_AP,text_auroc
visual_genome_m,siglip,ball,0.0,1,2097.0,24.0,0.011445,0.010693,0.606609,0.439942,0.166667,0.466655,0.196694,0.811405
visual_genome_m,siglip,ball,1.0,1,2097.0,32.0,0.01526,0.010693,0.541208,0.447458,0.09375,0.365738,0.257563,0.878375
visual_genome_m,siglip,ball,2.0,1,2097.0,19.0,0.009061,0.010693,0.559065,0.453802,0.105263,0.391951,0.17048,0.869561
visual_genome_m,siglip,bed,0.0,1,2097.0,44.0,0.020982,0.001919,0.379932,0.379932,0.0,0.090267,0.72285,0.984336
visual_genome_m,siglip,bed,1.0,1,2097.0,40.0,0.019075,0.001919,0.394956,0.369956,0.025,0.098614,0.736071,0.9737
visual_genome_m,siglip,bed,2.0,1,2097.0,34.0,0.016214,0.001919,0.35967,0.35967,0.0,0.106812,0.669482,0.980568
visual_genome_m,siglip,bus,0.0,1,2097.0,67.0,0.03195,0.00415,0.443791,0.399015,0.044776,0.255753,0.700583,0.942769
visual_genome_m,siglip,bus,1.0,1,2097.0,59.0,0.028135,0.00415,0.452712,0.401865,0.050847,0.276767,0.615884,0.928918
visual_genome_m,siglip,bus,2.0,1,2097.0,70.0,0.033381,0.00415,0.43607,0.407499,0.028571,0.277948,0.670695,0.939805
visual_genome_m,siglip,cat,0.0,1,2097.0,13.0,0.006199,-0.003815,0.485752,0.408829,0.076923,0.083161,0.683506,0.929869
visual_genome_m,siglip,cat,1.0,1,2097.0,15.0,0.007153,-0.003815,0.484054,0.417387,0.066667,0.080596,0.635075,0.938649
visual_genome_m,siglip,cat,2.0,1,2097.0,17.0,0.008107,-0.003815,0.466035,0.407212,0.058824,0.0694,0.760098,0.945871
visual_genome_m,siglip,laptop,0.0,1,2097.0,31.0,0.014783,-0.011189,0.359117,0.262343,0.096774,0.155341,0.479735,0.937857
visual_genome_m,siglip,laptop,1.0,1,2097.0,31.0,0.014783,-0.011189,0.252178,0.252178,0.0,0.061784,0.563149,0.989898
visual_genome_m,siglip,laptop,2.0,1,2097.0,28.0,0.013352,-0.011189,0.294777,0.259062,0.035714,0.129859,0.518086,0.964493
visual_genome_m,siglip,nose,0.0,1,2097.0,77.0,0.036719,-0.022307,0.71507,0.468317,0.246753,0.57438,0.226574,0.760364
visual_genome_m,siglip,nose,1.0,1,2097.0,72.0,0.034335,-0.022307,0.701235,0.479012,0.222222,0.609136,0.294819,0.754321
visual_genome_m,siglip,nose,2.0,1,2097.0,84.0,0.040057,-0.022307,0.743258,0.469449,0.27381,0.665425,0.248025,0.715983
visual_genome_m,siglip,sink,0.0,1,2097.0,31.0,0.014783,-0.001967,0.480951,0.448693,0.032258,0.164366,0.411982,0.957702
visual_genome_m,siglip,sink,1.0,1,2097.0,27.0,0.012876,-0.001967,0.491143,0.454106,0.037037,0.114171,0.307815,0.958472
visual_genome_m,siglip,sink,2.0,1,2097.0,30.0,0.014306,-0.001967,0.427189,0.427189,0.0,0.11703,0.466485,0.979971
visual_genome_m,siglip,sky,0.0,1,2097.0,394.0,0.187887,-0.035487,0.568361,0.395772,0.172589,0.558088,0.452254,0.800247
visual_genome_m,siglip,sky,1.0,1,2097.0,385.0,0.183596,-0.035487,0.577399,0.382593,0.194805,0.571533,0.432688,0.788312
visual_genome_m,siglip,sky,2.0,1,2097.0,403.0,0.192179,-0.035487,0.576065,0.394923,0.181141,0.574445,0.439336,0.78427
visual_genome_m,siglip2_l,ball,0.0,1,2097.0,24.0,0.011445,0.025504,0.567716,0.359383,0.208333,0.343102,0.320842,0.828409
visual_genome_m,siglip2_l,ball,1.0,1,2097.0,32.0,0.01526,0.025504,0.447745,0.353995,0.09375,0.229373,0.444802,0.902724
visual_genome_m,siglip2_l,ball,2.0,1,2097.0,19.0,0.009061,0.025504,0.453194,0.347931,0.105263,0.236336,0.410187,0.8996
visual_genome_m,siglip2_l,bed,0.0,1,2097.0,44.0,0.020982,0.020267,0.248738,0.226011,0.022727,0.075654,0.731211,0.972313
visual_genome_m,siglip2_l,bed,1.0,1,2097.0,40.0,0.019075,0.020267,0.267307,0.217307,0.05,0.078196,0.740461,0.965435
visual_genome_m,siglip2_l,bed,2.0,1,2097.0,34.0,0.016214,0.020267,0.274529,0.215705,0.058824,0.084514,0.717083,0.961107
visual_genome_m,siglip2_l,bus,0.0,1,2097.0,67.0,0.03195,0.031081,0.364039,0.364039,0.0,0.148813,0.737664,0.973502
visual_genome_m,siglip2_l,bus,1.0,1,2097.0,59.0,0.028135,0.031081,0.383485,0.366536,0.016949,0.174764,0.673672,0.957452
visual_genome_m,siglip2_l,bus,2.0,1,2097.0,70.0,0.033381,0.031081,0.370992,0.370992,0.0,0.157721,0.761984,0.972873
visual_genome_m,siglip2_l,cat,0.0,1,2097.0,13.0,0.006199,0.022669,0.175144,0.175144,0.0,0.094677,0.721435,0.989702
visual_genome_m,siglip2_l,cat,1.0,1,2097.0,15.0,0.007153,0.022669,0.169549,0.169549,0.0,0.07243,0.748104,0.991931
visual_genome_m,siglip2_l,cat,2.0,1,2097.0,17.0,0.008107,0.022669,0.163462,0.163462,0.0,0.063631,0.807323,0.992647
visual_genome_m,siglip2_l,laptop,0.0,1,2097.0,31.0,0.014783,0.018717,0.23925,0.174734,0.064516,0.105174,0.54325,0.973691
visual_genome_m,siglip2_l,laptop,1.0,1,2097.0,31.0,0.014783,0.018717,0.166021,0.166021,0.0,0.044046,0.616454,0.991662
visual_genome_m,siglip2_l,laptop,2.0,1,2097.0,28.0,0.013352,0.018717,0.162881,0.162881,0.0,0.02465,0.647876,0.994545
visual_genome_m,siglip2_l,nose,0.0,1,2097.0,77.0,0.036719,0.009778,0.708487,0.422772,0.285714,0.550849,0.269275,0.755941
visual_genome_m,siglip2_l,nose,1.0,1,2097.0,72.0,0.034335,0.009778,0.668765,0.418765,0.25,0.48858,0.33814,0.773045
visual_genome_m,siglip2_l,nose,2.0,1,2097.0,84.0,0.040057,0.009778,0.721861,0.424242,0.297619,0.585995,0.273186,0.738397
visual_genome_m,siglip2_l,sink,0.0,1,2097.0,31.0,0.014783,0.01715,0.381726,0.349468,0.032258,0.161462,0.477658,0.954939
visual_genome_m,siglip2_l,sink,1.0,1,2097.0,27.0,0.012876,0.01715,0.394042,0.357005,0.037037,0.107407,0.321757,0.960565
visual_genome_m,siglip2_l,sink,2.0,1,2097.0,30.0,0.014306,0.01715,0.338171,0.338171,0.0,0.097629,0.468468,0.977762
visual_genome_m,siglip2_l,sky,0.0,1,2097.0,394.0,0.187887,0.02427,0.586899,0.315326,0.271574,0.58326,0.427655,0.768432
visual_genome_m,siglip2_l,sky,1.0,1,2097.0,385.0,0.183596,0.02427,0.592759,0.314836,0.277922,0.589453,0.422174,0.767868
visual_genome_m,siglip2_l,sky,2.0,1,2097.0,403.0,0.192179,0.02427,0.60082,0.322904,0.277916,0.595668,0.427419,0.754997
visual_genome_m,dinov3_patch,ball,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,bed,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,bus,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,cat,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,laptop,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,nose,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,sink,,0,,,,,,,,,,
visual_genome_m,dinov3_patch,sky,,0,,,,,,,,,,
caltech101_m,siglip,airplanes,0.0,1,419.0,117.0,0.279236,0.019895,0.043046,0.043046,0.0,0.003311,0.999928,0.999972
caltech101_m,siglip,airplanes,1.0,1,419.0,112.0,0.267303,0.019895,0.022801,0.022801,0.0,0.0,1.0,1.0
caltech101_m,siglip,airplanes,2.0,1,419.0,111.0,0.264916,0.019895,0.032468,0.032468,0.0,0.003247,0.99992,0.999971
caltech101_m,siglip,car_side,0.0,1,419.0,22.0,0.052506,0.042901,0.0,0.0,0.0,0.0,1.0,1.0
