embedder,arm,precision,gpu,n,median,mean,se,p95,max,frac_above_1e6,reference
siglip,fp32_v100,fp32,v100,4193,7.573941473992818e-13,1.0998335559720336e-12,1.174316984424514e-13,1.8284262992551703e-12,4.761957494991975e-10,0.0,fp32_l40s
siglip,fp16_l40s,fp16,l40s,4193,1.3155031605149858e-06,1.6764424616702607e-06,3.5419529231485754e-08,3.333022032503407e-06,8.114076187248909e-05,0.7402814214166468,fp32_l40s
siglip,fp16_v100,fp16,v100,4193,1.3363027482338197e-06,1.7711599563725923e-06,7.112904338512071e-08,3.5616025573448337e-06,0.00026308083633697077,0.7638922012878607,fp32_l40s
siglip,autocast_l40s,autocast_fp16,l40s,4193,9.227933390754117e-07,1.2864736722128855e-06,6.610149181039694e-08,2.4517077327868003e-06,0.00024182074885947813,0.43954209396613403,fp32_l40s
siglip,bf16_l40s,bf16,l40s,4193,7.321254219583295e-05,8.667940431283549e-05,1.965808356620847e-06,0.0001589952968446438,0.006082829889659136,1.0,fp32_l40s
siglip,fp32_notf32_l40s,fp32,l40s,4193,0.0,3.9452237221356625e-17,1.2303124856716409e-18,2.220446049250313e-16,4.440892098500626e-16,0.0,fp32_l40s
siglip,fp32_det_l40s,fp32,l40s,4193,0.0,3.9452237221356625e-17,1.2303124856716409e-18,2.220446049250313e-16,4.440892098500626e-16,0.0,fp32_l40s
siglip,fp32_det_v100,fp32,v100,4193,7.573941473992818e-13,1.0998335559720336e-12,1.174316984424514e-13,1.8284262992551703e-12,4.761957494991975e-10,0.0,fp32_l40s
siglip,fp32_v100_rack7n03,fp32,v100,4193,7.570610804918942e-13,1.0998274395513638e-12,1.174286252936151e-13,1.8284262992551703e-12,4.761817606890872e-10,0.0,fp32_l40s
siglip2_l,fp32_v100,fp32,v100,4193,0.00014848477208551092,0.00021106061139473467,5.0403513628363625e-06,0.0005476750350092983,0.011431871538100324,0.9980920581922251,fp32_l40s
siglip2_l,fp16_l40s,fp16,l40s,4193,2.8545385076794716e-06,4.4271833079312e-06,1.205506212429399e-07,1.2246328960507913e-05,0.00035139233630177014,0.9923682327689005,fp32_l40s
siglip2_l,fp16_v100,fp16,v100,4193,0.0001502254577121498,0.00021385034082206392,5.294896120261994e-06,0.0005488894288557359,0.012823985707820063,1.0,fp32_l40s
siglip2_l,autocast_l40s,autocast_fp16,l40s,4193,2.023841203513399e-06,3.334322450691184e-06,8.883875593806819e-08,9.282723166337269e-06,0.00019402465874163166,0.9208204149773432,fp32_l40s
siglip2_l,bf16_l40s,bf16,l40s,4193,0.00012853196667061972,0.00015783833050072175,2.037981927855003e-06,0.0003202940419656741,0.0032137988192162403,1.0,fp32_l40s
siglip2_l,fp32_notf32_l40s,fp32,l40s,4193,0.0,4.167639019222505e-17,1.2435270728459423e-18,2.220446049250313e-16,4.440892098500626e-16,0.0,fp32_l40s
siglip2_l,fp32_det_l40s,fp32,l40s,4193,0.0,4.167639019222505e-17,1.2435270728459423e-18,2.220446049250313e-16,4.440892098500626e-16,0.0,fp32_l40s
siglip2_l,fp32_det_v100,fp32,v100,4193,0.00014848477208551092,0.00021106061139473467,5.0403513628363625e-06,0.0005476750350092983,0.011431871538100324,0.9980920581922251,fp32_l40s
siglip2_l,fp32_v100_rack7n03,fp32,v100,4193,2.726374681571997e-12,6.220747901216214e-12,4.99227190374306e-13,1.5550516430096193e-11,1.614752109801998e-09,0.0,fp32_l40s
