embedder,arm_a,arm_b,median,p95,max
siglip,fp32_l40s,fp32_v100,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_l40s,fp16_l40s,1.3155031605149858e-06,3.333022032503407e-06,8.114076187248909e-05
siglip,fp32_l40s,fp16_v100,1.3363027482338197e-06,3.5616025573448337e-06,0.00026308083633697077
siglip,fp32_l40s,autocast_l40s,9.227933390754117e-07,2.4517077327868003e-06,0.00024182074885947813
siglip,fp32_l40s,bf16_l40s,7.321254219583295e-05,0.0001589952968446438,0.006082829889659136
siglip,fp32_l40s,fp32_notf32_l40s,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip,fp32_l40s,fp32_det_l40s,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip,fp32_l40s,fp32_det_v100,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_l40s,fp32_v100_rack7n03,7.570610804918942e-13,1.8284262992551703e-12,4.761817606890872e-10
siglip,fp32_l40s,published_pile,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_v100,fp16_l40s,1.3157317551026892e-06,3.3350509900387233e-06,8.11107232615571e-05
siglip,fp32_v100,fp16_v100,1.3370598310746828e-06,3.5617295297107873e-06,0.00026366144216716236
siglip,fp32_v100,autocast_l40s,9.22611284814856e-07,2.451484406695847e-06,0.0002423818640562292
siglip,fp32_v100,bf16_l40s,7.32108078796978e-05,0.00015898789982351485,0.006082715659945448
siglip,fp32_v100,fp32_notf32_l40s,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_v100,fp32_det_l40s,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_v100,fp32_det_v100,0.0,2.220446049250313e-16,5.551115123125783e-16
siglip,fp32_v100,fp32_v100_rack7n03,0.0,6.661338147750939e-16,1.3322676295501878e-15
siglip,fp32_v100,published_pile,0.0,2.220446049250313e-16,5.551115123125783e-16
siglip,fp16_l40s,fp16_v100,8.060344041105338e-07,1.838933826281419e-06,0.0002866175885931632
siglip,fp16_l40s,autocast_l40s,1.053716858212539e-06,2.404806306532947e-06,0.00026453520171099143
siglip,fp16_l40s,bf16_l40s,7.535374401901329e-05,0.00016311041694807568,0.005974368042347189
siglip,fp16_l40s,fp32_notf32_l40s,1.3155031605149858e-06,3.333022032503407e-06,8.114076187248909e-05
siglip,fp16_l40s,fp32_det_l40s,1.3155031605149858e-06,3.333022032503407e-06,8.114076187248909e-05
siglip,fp16_l40s,fp32_det_v100,1.3157317551026892e-06,3.3350509900387233e-06,8.11107232615571e-05
siglip,fp16_l40s,fp32_v100_rack7n03,1.3157317551026892e-06,3.3350509900387233e-06,8.111072449068502e-05
siglip,fp16_l40s,published_pile,1.3157317551026892e-06,3.3350509900387233e-06,8.11107232615571e-05
siglip,fp16_v100,autocast_l40s,1.0823562694994848e-06,2.4657747826228843e-06,8.333035574703551e-05
siglip,fp16_v100,bf16_l40s,7.544107090762253e-05,0.0001640808824694194,0.006029015207192012
siglip,fp16_v100,fp32_notf32_l40s,1.3363027482338197e-06,3.5616025573448337e-06,0.00026308083633697077
siglip,fp16_v100,fp32_det_l40s,1.3363027482338197e-06,3.5616025573448337e-06,0.00026308083633697077
siglip,fp16_v100,fp32_det_v100,1.3370598310746828e-06,3.5617295297107873e-06,0.00026366144216716236
siglip,fp16_v100,fp32_v100_rack7n03,1.3370598310746828e-06,3.5617295297107873e-06,0.00026366144246670054
siglip,fp16_v100,published_pile,1.3370598310746828e-06,3.5617295297107873e-06,0.00026366144216716236
siglip,autocast_l40s,bf16_l40s,7.473443315730854e-05,0.00016293275288135057,0.005999339544948024
siglip,autocast_l40s,fp32_notf32_l40s,9.227933390754117e-07,2.4517077327868003e-06,0.00024182074885947813
siglip,autocast_l40s,fp32_det_l40s,9.227933390754117e-07,2.4517077327868003e-06,0.00024182074885947813
siglip,autocast_l40s,fp32_det_v100,9.22611284814856e-07,2.451484406695847e-06,0.0002423818640562292
siglip,autocast_l40s,fp32_v100_rack7n03,9.22611284814856e-07,2.451484406695847e-06,0.00024238186384151206
siglip,autocast_l40s,published_pile,9.22611284814856e-07,2.451484406695847e-06,0.0002423818640562292
siglip,bf16_l40s,fp32_notf32_l40s,7.321254219583295e-05,0.0001589952968446438,0.006082829889659136
siglip,bf16_l40s,fp32_det_l40s,7.321254219583295e-05,0.0001589952968446438,0.006082829889659136
siglip,bf16_l40s,fp32_det_v100,7.32108078796978e-05,0.00015898789982351485,0.006082715659945448
siglip,bf16_l40s,fp32_v100_rack7n03,7.32108078796978e-05,0.00015898789982351485,0.006082715659945448
siglip,bf16_l40s,published_pile,7.32108078796978e-05,0.00015898789982351485,0.006082715659945448
