embedder,arm,backend,proc_device,source,category,spearman,top10_overlap,top50_overlap,top100_overlap,top1_same,ref_top1_rank_in_arm,max_score_delta
siglip,tv_cpu_rep,torchvision,cpu,text_query,arm,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bag,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,ball,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,banana,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bear,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bed,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bench,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bike,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bird,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,boat,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,book,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bottle,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bowl,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,box,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,boy,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,branch,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,building,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bus,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,bush,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,cap,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,car,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,cat,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,chair,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,clock,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,cloud,1.0,1.0,1.0,1.0,True,0,0.0
siglip,tv_cpu_rep,torchvision,cpu,text_query,clouds,1.0,1.0,1.0,1.0,True,0,0.0
