arm,env,n_steps,distinct_admitted,knob_yield,dead_step_rate,admitted_span,quantile_span,inert_rate
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,14782,12.829184142876471,0.9868603186828054,0.014234654760294051,0.097473495,0.099999994,0.0
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,14782,12.511635773237721,0.9624335210182863,0.04069701889685654,0.85251516,0.8526285,0.01393586794750372
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,14782,12.36476796103369,0.9511359970025915,0.05293600324719253,0.17836179,0.2,0.0
fold_anchored_w0.3_mid_tilt_qmean,coco_val/dinov3_patch/max_patch,14782,12.35164389121905,0.9501264531706961,0.054029675731745816,0.85175586,0.8526285,0.01265052090380192
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,14782,12.318495467460425,0.9475765744200327,0.05679204437829793,0.7289533,0.7280957,0.029021783249898524
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,14782,11.381477472601812,0.8754982671232164,0.13487687728318226,0.30267125,0.39999998,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,14782,9.99722635637938,0.7690174120291831,0.25023113696838495,0.5086502,0.79999995,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,14782,8.862400216479502,0.6817230935753463,0.34479998196004147,0.9015482,1.5999999,0.0
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,14782,1.0,0.07692307692307693,1.0,0.0,0.0,1.0
fold_anchored_w0.3_rate_qmean,coco_val/siglip/whole_image,14767,11.574795151350985,0.8903688577962297,0.11876707072075122,0.77210104,0.7741151,0.0027087424663100154
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/siglip/whole_image,14767,11.567549265253605,0.8898114819425851,0.1193708945621995,0.17189896,0.19999999,0.0
fold_anchored_w0.3_mid_tilt_qmean,coco_val/siglip/whole_image,14767,11.410780795015913,0.877752368847378,0.13243493374867385,0.77079034,0.7741151,0.002437868219679014
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/siglip/whole_image,14767,11.249136588338864,0.8653181991029895,0.1459052843050947,0.3044487,0.39999998,0.0
fold_anchored_w0.3_cross_tilt_qmean,coco_val/siglip/whole_image,14767,11.189273379833413,0.8607133369102624,0.15089388501388232,0.6675976,0.6650689,0.009480598632085054
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/siglip/whole_image,14767,10.998036161711925,0.8460027816701481,0.16683031985733957,0.08728169,0.099999994,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/siglip/whole_image,14767,10.062233358163473,0.7740179506279595,0.2448138868197106,0.5136459,0.79999995,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/siglip/whole_image,14767,8.924967833683212,0.686535987206401,0.3395860138597323,0.9048463,1.5999999,0.0
fold_anchored_w0.3_mid_qmean,coco_val/siglip/whole_image,14767,1.0,0.07692307692307693,1.0,0.0,0.0,1.0
fold_anchored_w0.3_rate_qmean,visual_genome_m/dinov3_patch/max_patch,18062,12.996954933008526,0.9997657640775789,0.0002537555826228177,0.8418366,0.8396743,0.0
fold_anchored_w0.3_cross_tilt_qmean,visual_genome_m/dinov3_patch/max_patch,18062,12.910253571033108,0.9930964285410083,0.007478869080574317,0.7507644,0.74857986,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.005,visual_genome_m/dinov3_patch/max_patch,18062,12.899291329863802,0.9922531792202924,0.008392389178016461,0.10070497,0.099999994,0.0
fold_anchored_w0.3_mid_tilt_qmean,visual_genome_m/dinov3_patch/max_patch,18062,12.825822168087697,0.9866017052375152,0.014514819326025174,0.84068507,0.8396743,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.01,visual_genome_m/dinov3_patch/max_patch,18062,12.631989812866792,0.9716915240666764,0.030667515594433984,0.18980159,0.2,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.02,visual_genome_m/dinov3_patch/max_patch,18062,12.096279481784963,0.9304830370603818,0.07531004318458642,0.3460784,0.39999998,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.04,visual_genome_m/dinov3_patch/max_patch,18062,11.251190344369395,0.8654761803361073,0.14573413796921714,0.5939675,0.79999995,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.08,visual_genome_m/dinov3_patch/max_patch,18062,9.94109179492858,0.7646993688406599,0.2549090170892851,0.945109,1.5999999,0.0
fold_anchored_w0.3_mid_qmean,visual_genome_m/dinov3_patch/max_patch,18062,1.0,0.07692307692307693,1.0,0.0,0.0,1.0
fold_anchored_w0.3_rate_qmean,visual_genome_m/siglip/whole_image,18060,12.996899224806201,0.9997614788312463,0.00025839793281653745,0.9483774,0.94651717,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.005,visual_genome_m/siglip/whole_image,18060,12.969822812846068,0.997678677911236,0.002514765596160945,0.10041804,0.1,0.0
fold_anchored_w0.3_cross_tilt_qmean,visual_genome_m/siglip/whole_image,18060,12.906755260243632,0.9928273277110486,0.007770394979697304,0.8768324,0.87441957,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.01,visual_genome_m/siglip/whole_image,18060,12.84014396456257,0.9877033818894284,0.013321336286452564,0.19753547,0.2,0.0
fold_anchored_w0.3_mid_tilt_qmean,visual_genome_m/siglip/whole_image,18060,12.791472868217054,0.9839594514013118,0.017377260981912144,0.9436129,0.94651717,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.02,visual_genome_m/siglip/whole_image,18060,12.45609080841639,0.9581608314166454,0.04532576596530084,0.3597639,0.4,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.04,visual_genome_m/siglip/whole_image,18060,11.44091915836102,0.8800707044893091,0.1299234034699151,0.59158784,0.8,0.0
fold_anchored_w0.3_q_tilt_qmean_s0.08,visual_genome_m/siglip/whole_image,18060,9.86267995570321,0.758667688900247,0.2614433370247324,0.9563588,1.6,0.0
fold_anchored_w0.3_mid_qmean,visual_genome_m/siglip/whole_image,18060,1.0,0.07692307692307693,1.0,0.0,0.0,1.0
