arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,-10,74,14782,-0.005376715267752965,-0.008194373345319847,-0.002985267078028104,0.49079962116087134,-5.505756378173828
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,-10,74,14782,-0.005376715267752965,-0.008247278974488074,-0.0030216446880011664,0.49079962116087134,-5.505756378173828
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,-10,74,14782,-0.0023932942497078722,-0.005126725503867641,-0.00021534153775617715,0.4187525368691652,-2.450733184814453
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,-10,74,14782,0.004445171661811057,0.0024872048312735806,0.0064280553477097735,0.2360303071302936,4.55185604095459
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,-10,74,14782,0.010222797340223199,0.007975662404306924,0.012517788619074223,0.10411311053984576,10.468144416809082
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,-10,74,14782,0.016912440212800483,0.010015893512288463,0.024703907252818354,0.1980110945744825,17.31833839416504
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,-10,74,14782,0.04162563397850947,0.03088106091488068,0.052691260648942105,0.08023271546475443,42.62465286254883
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,-10,74,14782,0.08367212569282856,0.07067541387076916,0.097825730564027,0.01522121499120552,85.68025207519531
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,-6,74,14782,-0.00658651482847966,-0.011911557118283117,-0.0021697193378123624,0.38783655797591665,-0.42153695225715637
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,-6,74,14782,-0.006218060514239935,-0.011051228213565648,-0.0018038888623827067,0.3849276146664863,-0.39795583486557007
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,-6,74,14782,0.0010924235463322918,-0.0015362030154466156,0.00358041113410665,0.4272764172642403,0.06991511583328247
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,-6,74,14782,0.006669747480545256,0.003255422942149036,0.010797750571200103,0.23948044919496686,0.4268638491630554
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,-6,74,14782,0.011861027179956846,0.009194842807305946,0.014369393909483068,0.1557299418211338,0.7591058015823364
