geometry,mode,band,fraction,delta,se,n_cells_paired,n_cells_arm,n_cells_incumbent,resolved,metric
dinov3_patch/max_patch,region,deep 101-150,0.3,0.0034517675000000033,0.004011373141170417,48,48,144,False,cost
dinov3_patch/max_patch,region,deep 101-150,0.4,0.002364269583333335,0.003156842183918474,48,48,144,False,cost
dinov3_patch/max_patch,region,deep 101-150,0.6,0.0005960520833333304,0.004923065752768943,48,48,144,False,cost
dinov3_patch/max_patch,region,deep 101-150,0.7,0.010155815833333333,0.004478077509815057,48,48,144,True,cost
dinov3_patch/max_patch,region,early 1-25,0.3,-0.011908499138806539,0.007057304498139437,48,48,144,False,cost
dinov3_patch/max_patch,region,early 1-25,0.4,-0.009375775568181822,0.007828353245151633,48,48,144,False,cost
dinov3_patch/max_patch,region,early 1-25,0.6,-0.00706398842706961,0.007124423403103928,48,48,144,False,cost
dinov3_patch/max_patch,region,early 1-25,0.7,0.00038627884826526504,0.007281779384251874,48,48,144,False,cost
dinov3_patch/max_patch,region,late 61-100,0.3,-0.0031839354166666722,0.004035808913262103,48,48,144,False,cost
dinov3_patch/max_patch,region,late 61-100,0.4,-0.00155297135416667,0.0037159205415798007,48,48,144,False,cost
dinov3_patch/max_patch,region,late 61-100,0.6,-0.0029733229166666723,0.004735535046966108,48,48,144,False,cost
dinov3_patch/max_patch,region,late 61-100,0.7,0.010183155208333327,0.004932846404497469,48,48,144,True,cost
dinov3_patch/max_patch,region,mid 26-60,0.3,-0.005152210714285714,0.005510806027276811,48,48,144,False,cost
dinov3_patch/max_patch,region,mid 26-60,0.4,-0.004143352976190476,0.005186807234515482,48,48,144,False,cost
dinov3_patch/max_patch,region,mid 26-60,0.6,0.0062237172619047645,0.006128585962132757,48,48,144,False,cost
dinov3_patch/max_patch,region,mid 26-60,0.7,0.008011159523809522,0.0056900962023158416,48,48,144,False,cost
dinov3_patch/whole_image,binary,deep 101-150,0.3,0.027662770833333333,0.008369593748618193,48,48,144,True,cost
dinov3_patch/whole_image,binary,deep 101-150,0.4,0.009983279166666678,0.006891815939139354,48,48,144,False,cost
dinov3_patch/whole_image,binary,deep 101-150,0.6,0.0038124295833333317,0.008314963545189305,48,48,144,False,cost
dinov3_patch/whole_image,binary,deep 101-150,0.7,0.011198742499999997,0.007214044350194875,48,48,144,False,cost
dinov3_patch/whole_image,binary,early 1-25,0.3,-0.006235030574083235,0.008684855914965647,48,48,144,False,cost
dinov3_patch/whole_image,binary,early 1-25,0.4,-0.010377085590964,0.006820418069474505,48,48,144,False,cost
dinov3_patch/whole_image,binary,early 1-25,0.6,0.004264563079847378,0.008159538159726403,48,48,144,False,cost
dinov3_patch/whole_image,binary,early 1-25,0.7,0.030941382407636137,0.008514879326392916,48,48,144,True,cost
dinov3_patch/whole_image,binary,late 61-100,0.3,0.019125499999999993,0.008645299096814316,48,48,144,True,cost
dinov3_patch/whole_image,binary,late 61-100,0.4,-0.0034754822916666663,0.009369176094188763,48,48,144,False,cost
dinov3_patch/whole_image,binary,late 61-100,0.6,0.0016245984374999884,0.01005105637299442,48,48,144,False,cost
dinov3_patch/whole_image,binary,late 61-100,0.7,0.01866248072916667,0.009760421989270308,48,48,144,False,cost
