geometry,mode,band,arm,fraction,sd_threshold,n_steps
dinov3_patch/max_patch,region,deep 101-150,0.30,0.3,0.023110323652100417,600
dinov3_patch/max_patch,region,deep 101-150,0.40,0.4,0.023333089503118902,600
dinov3_patch/max_patch,region,deep 101-150,0.50,0.5,0.025629804419145336,600
dinov3_patch/max_patch,region,deep 101-150,0.60,0.6,0.02984911971461241,600
dinov3_patch/max_patch,region,deep 101-150,0.70,0.7,0.03212949046555104,600
dinov3_patch/max_patch,region,early 1-25,0.30,0.3,0.02054743380429201,265
dinov3_patch/max_patch,region,early 1-25,0.40,0.4,0.019130746387664963,265
dinov3_patch/max_patch,region,early 1-25,0.50,0.5,0.023098210318711496,265
dinov3_patch/max_patch,region,early 1-25,0.60,0.6,0.021145233151786066,265
dinov3_patch/max_patch,region,early 1-25,0.70,0.7,0.023596186982703243,265
dinov3_patch/max_patch,region,late 61-100,0.30,0.3,0.024256231487429745,480
dinov3_patch/max_patch,region,late 61-100,0.40,0.4,0.02273029830284891,480
dinov3_patch/max_patch,region,late 61-100,0.50,0.5,0.02845593968870911,480
dinov3_patch/max_patch,region,late 61-100,0.60,0.6,0.03154036666392639,480
dinov3_patch/max_patch,region,late 61-100,0.70,0.7,0.02735597253959986,480
dinov3_patch/max_patch,region,mid 26-60,0.30,0.3,0.028146241733074947,420
dinov3_patch/max_patch,region,mid 26-60,0.40,0.4,0.029262071513533088,420
dinov3_patch/max_patch,region,mid 26-60,0.50,0.5,0.028159160779950503,420
dinov3_patch/max_patch,region,mid 26-60,0.60,0.6,0.030359871439359778,420
dinov3_patch/max_patch,region,mid 26-60,0.70,0.7,0.024763190630663262,420
dinov3_patch/whole_image,binary,deep 101-150,0.30,0.3,0.024554729925288697,600
dinov3_patch/whole_image,binary,deep 101-150,0.40,0.4,0.023933270443568116,600
dinov3_patch/whole_image,binary,deep 101-150,0.50,0.5,0.020858157051381217,600
dinov3_patch/whole_image,binary,deep 101-150,0.60,0.6,0.023227473292815087,600
dinov3_patch/whole_image,binary,deep 101-150,0.70,0.7,0.017402160463678856,600
dinov3_patch/whole_image,binary,early 1-25,0.30,0.3,0.01617324755741753,265
dinov3_patch/whole_image,binary,early 1-25,0.40,0.4,0.015753271465872205,265
dinov3_patch/whole_image,binary,early 1-25,0.50,0.5,0.014170106477077005,265
dinov3_patch/whole_image,binary,early 1-25,0.60,0.6,0.016232341290599157,265
dinov3_patch/whole_image,binary,early 1-25,0.70,0.7,0.01539124628324594,265
dinov3_patch/whole_image,binary,late 61-100,0.30,0.3,0.0233509335989976,480
dinov3_patch/whole_image,binary,late 61-100,0.40,0.4,0.01870957751110807,480
dinov3_patch/whole_image,binary,late 61-100,0.50,0.5,0.019401298665696978,480
dinov3_patch/whole_image,binary,late 61-100,0.60,0.6,0.025801663597534955,480
dinov3_patch/whole_image,binary,late 61-100,0.70,0.7,0.020453752229895966,480
dinov3_patch/whole_image,binary,mid 26-60,0.30,0.3,0.021001705239492043,420
dinov3_patch/whole_image,binary,mid 26-60,0.40,0.4,0.01856800784291073,420
dinov3_patch/whole_image,binary,mid 26-60,0.50,0.5,0.023616530241750283,420
dinov3_patch/whole_image,binary,mid 26-60,0.60,0.6,0.024798439243373507,420
dinov3_patch/whole_image,binary,mid 26-60,0.70,0.7,0.019791116385809257,420
siglip/whole_image,binary,deep 101-150,0.30,0.3,0.019253662966067817,600
siglip/whole_image,binary,deep 101-150,0.40,0.4,0.021073864744217345,600
siglip/whole_image,binary,deep 101-150,0.50,0.5,0.01745398896797386,600
siglip/whole_image,binary,deep 101-150,0.60,0.6,0.016078048136895392,600
siglip/whole_image,binary,deep 101-150,0.70,0.7,0.014108992846468596,600
siglip/whole_image,binary,early 1-25,0.30,0.3,0.016478001405627465,265
siglip/whole_image,binary,early 1-25,0.40,0.4,0.015287500774957977,265
siglip/whole_image,binary,early 1-25,0.50,0.5,0.018291296485161458,265
siglip/whole_image,binary,early 1-25,0.60,0.6,0.015478032852458854,265
siglip/whole_image,binary,early 1-25,0.70,0.7,0.016429210424369452,265
siglip/whole_image,binary,late 61-100,0.30,0.3,0.017517520876164296,480
siglip/whole_image,binary,late 61-100,0.40,0.4,0.023277580807854636,480
siglip/whole_image,binary,late 61-100,0.50,0.5,0.016687589942150177,480
siglip/whole_image,binary,late 61-100,0.60,0.6,0.016958926144048255,480
siglip/whole_image,binary,late 61-100,0.70,0.7,0.01578925959163359,480
siglip/whole_image,binary,mid 26-60,0.30,0.3,0.01939107682247021,420
siglip/whole_image,binary,mid 26-60,0.40,0.4,0.020034336757616684,420
siglip/whole_image,binary,mid 26-60,0.50,0.5,0.020103253001855878,420
siglip/whole_image,binary,mid 26-60,0.60,0.6,0.02088905237202391,420
siglip/whole_image,binary,mid 26-60,0.70,0.7,0.02133758337030393,420
