dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
vg_scale_any,siglip,book,0,1,a book,2100,158,0.075238,-0.040561,0.573349,0.389804,0.183544,0.145598,0.816456,0.247126,0.514001,0.42565,0.790285
vg_scale_any,siglip,book,1,1,a book,2100,137,0.065238,-0.040561,0.541626,0.359144,0.182482,0.137087,0.817518,0.234801,0.5051,0.392972,0.788392
vg_scale_any,siglip,book,2,1,a book,2100,148,0.070476,-0.040561,0.567678,0.385246,0.182432,0.138603,0.817568,0.237023,0.520976,0.425273,0.803632
vg_scale_any,siglip,book,3,1,a book,2100,161,0.076667,-0.040561,0.593336,0.382156,0.21118,0.146313,0.78882,0.246842,0.53609,0.414294,0.784675
vg_scale_any,siglip,boat,0,1,a boat on the water,2100,141,0.067143,-0.016997,0.26404,0.214395,0.049645,0.241877,0.950355,0.385612,0.216404,0.786915,0.954138
vg_scale_any,siglip,boat,1,1,a boat on the water,2100,145,0.069048,-0.016997,0.256972,0.208696,0.048276,0.252747,0.951724,0.399421,0.17229,0.844523,0.971415
vg_scale_any,siglip,boat,2,1,a boat on the water,2100,152,0.072381,-0.016997,0.254566,0.215092,0.039474,0.258407,0.960526,0.407252,0.18213,0.826975,0.963711
vg_scale_any,siglip,boat,3,1,a boat on the water,2100,140,0.066667,-0.016997,0.251531,0.215816,0.035714,0.241935,0.964286,0.386819,0.20102,0.808146,0.962507
vg_scale_any,siglip,bicycle,0,1,a bicycle,2100,154,0.073333,-0.005368,0.311922,0.169065,0.142857,0.286334,0.857143,0.429268,0.291367,0.687833,0.913185
vg_scale_any,siglip,bicycle,1,1,a bicycle,2100,151,0.071905,-0.005368,0.306756,0.154438,0.152318,0.298368,0.847682,0.441379,0.292019,0.680653,0.921736
vg_scale_any,siglip,bicycle,2,1,a bicycle,2100,139,0.06619,-0.005368,0.296868,0.152983,0.143885,0.28401,0.856115,0.426523,0.285704,0.67483,0.929254
vg_scale_any,siglip,bicycle,3,1,a bicycle,2100,140,0.066667,-0.005368,0.359184,0.159184,0.2,0.264151,0.8,0.397163,0.339286,0.626046,0.904475
vg_scale_any,siglip,knife,0,1,a knife,2100,147,0.07,-0.01409,0.664472,0.43318,0.231293,0.117831,0.768707,0.20434,0.61166,0.307943,0.75443
vg_scale_any,siglip,knife,1,1,a knife,2100,155,0.07381,-0.01409,0.690687,0.439075,0.251613,0.119588,0.748387,0.206222,0.615308,0.332386,0.752437
