mode,fraction,metric,pooled_delta,pooled_se,beats_incumbent,worst_band_delta,worst_band_se,worst_band,harm_margin,harms_a_band,gate_indeterminate,candidate
binary,0.3,cost,-0.0027127662054437043,0.002668508393528664,False,0.027662770833333333,0.008369593748618193,deep 101-150,0.017662770833333334,True,False,False
binary,0.4,cost,-0.00852965045880115,0.002423754301917572,True,0.009983279166666678,0.006891815939139354,deep 101-150,-1.672083333332207e-05,False,True,True
binary,0.6,cost,0.003281217438592222,0.002429877520334876,False,0.010511706547619048,0.007356737062290875,mid 26-60,0.000511706547619048,True,True,False
binary,0.7,cost,0.01217940759590083,0.0026213709292717533,False,0.030941382407636137,0.008514879326392916,early 1-25,0.020941382407636135,True,False,False
region,0.3,cost,-0.0022074408340859923,0.002379951914718464,False,0.0034517675000000033,0.004011373141170417,deep 101-150,-0.006548232499999997,False,True,False
region,0.4,cost,-0.0008054152497569966,0.002102332762214761,False,0.002364269583333335,0.003156842183918474,deep 101-150,-0.007635730416666665,False,False,False
region,0.6,cost,-0.0006163172789294611,0.002750551406007919,False,0.0062237172619047645,0.006128585962132757,mid 26-60,-0.0037762827380952357,False,True,False
region,0.7,cost,0.008383631147476466,0.002665869481595328,False,0.010183155208333327,0.004932846404497469,late 61-100,0.0001831552083333271,True,True,False
binary,0.3,regret_honest,-0.004556566303825897,0.00114050029733624,True,0.014976913333333333,0.005051355352190203,deep 101-150,0.004976913333333333,True,True,False
binary,0.4,regret_honest,-0.004076210498230912,0.0011322577833372987,True,0.009920037500000001,0.004600652784307916,deep 101-150,-7.996249999999913e-05,False,True,True
binary,0.6,regret_honest,0.003428835398097332,0.0010577677238585682,False,0.010007293800779535,0.0028331755140184696,early 1-25,7.293800779534926e-06,True,True,False
binary,0.7,regret_honest,0.0067942793374187165,0.001239105817866721,False,0.022981487277667984,0.0031886116794434217,early 1-25,0.012981487277667984,True,False,False
region,0.3,regret_honest,-0.00045036123178895254,0.0015246192755510276,False,0.002319654166666667,0.002960513698312493,deep 101-150,-0.007680345833333333,False,False,False
region,0.4,regret_honest,-0.00218324041579938,0.0013900071074449893,False,0.0022993091666666673,0.0031653990735115273,deep 101-150,-0.0077006908333333325,False,False,False
region,0.6,regret_honest,0.0008321747282103798,0.0016892468093850641,False,0.0043867494270147115,0.0029934873346535917,early 1-25,-0.005613250572985289,False,True,False
region,0.7,regret_honest,0.006198801716102553,0.001715798803220207,False,0.011066608854166667,0.004151374747837052,late 61-100,0.0010666088541666664,True,True,False
