geometry,mode,fraction,metric,pooled_delta,pooled_se,beats_incumbent,worst_band_delta,worst_band,harm_margin,harms_a_band,candidate
dinov3_patch/max_patch,region,0.3,cost,-0.0022074408340859923,0.002379951914718464,False,0.0034517675000000033,deep 101-150,-0.006548232499999997,False,False
dinov3_patch/max_patch,region,0.4,cost,-0.0008054152497569966,0.002102332762214761,False,0.002364269583333335,deep 101-150,-0.007635730416666665,False,False
dinov3_patch/max_patch,region,0.6,cost,-0.0006163172789294611,0.002750551406007919,False,0.0062237172619047645,mid 26-60,-0.0037762827380952357,False,False
dinov3_patch/max_patch,region,0.7,cost,0.008383631147476466,0.002665869481595328,False,0.010183155208333327,late 61-100,0.0001831552083333271,True,False
dinov3_patch/whole_image,binary,0.3,cost,0.014609566067919905,0.004562573564315881,False,0.027662770833333333,deep 101-150,0.017662770833333334,True,False
dinov3_patch/whole_image,binary,0.4,cost,-0.0011820618935093408,0.003941660752843018,False,0.009983279166666678,deep 101-150,-1.672083333332207e-05,False,False
dinov3_patch/whole_image,binary,0.6,cost,0.004524098286001403,0.004629277037179951,False,0.01041532380952381,mid 26-60,0.0004153238095238095,True,False
dinov3_patch/whole_image,binary,0.7,cost,0.020114600322086267,0.004476699984646463,False,0.030941382407636137,early 1-25,0.020941382407636135,True,False
siglip/whole_image,binary,0.3,cost,-0.011719043394498288,0.0032898746585868256,True,-0.0071822863095238046,mid 26-60,-0.017182286309523804,False,True
siglip/whole_image,binary,0.4,cost,-0.012997003572458905,0.0030734911661917425,True,-0.008876941666666678,deep 101-150,-0.018876941666666678,False,True
siglip/whole_image,binary,0.6,cost,0.002808565497166691,0.0028547570027393572,False,0.010511706547619048,mid 26-60,0.000511706547619048,True,False
siglip/whole_image,binary,0.7,cost,0.008038904086780015,0.003233745438832759,False,0.020194262255709274,early 1-25,0.010194262255709274,True,False
dinov3_patch/max_patch,region,0.3,regret_honest,-0.00045036123178895254,0.0015246192755510276,False,0.002319654166666667,deep 101-150,-0.007680345833333333,False,False
dinov3_patch/max_patch,region,0.4,regret_honest,-0.00218324041579938,0.0013900071074449893,False,0.0022993091666666673,deep 101-150,-0.0077006908333333325,False,False
dinov3_patch/max_patch,region,0.6,regret_honest,0.0008321747282103798,0.0016892468093850641,False,0.0043867494270147115,early 1-25,-0.005613250572985289,False,False
dinov3_patch/max_patch,region,0.7,regret_honest,0.006198801716102553,0.001715798803220207,False,0.011066608854166667,late 61-100,0.0010666088541666664,True,False
dinov3_patch/whole_image,binary,0.3,regret_honest,0.0025686852923645954,0.001809078578379701,False,0.014976913333333333,deep 101-150,0.004976913333333333,True,False
dinov3_patch/whole_image,binary,0.4,regret_honest,-0.00039132424604540846,0.001737556878958691,False,0.009920037500000001,deep 101-150,-7.996249999999913e-05,False,False
dinov3_patch/whole_image,binary,0.6,regret_honest,0.001591145963186767,0.0015364108057413096,False,0.004316786128952568,early 1-25,-0.005683213871047432,False,False
dinov3_patch/whole_image,binary,0.7,regret_honest,0.0038498651873336647,0.0017891633507016419,False,0.018905204394488357,early 1-25,0.008905204394488357,True,False
siglip/whole_image,binary,0.3,regret_honest,-0.009256359315905566,0.0014692533670402123,True,-0.0049323229166666665,late 61-100,-0.014932322916666668,False,True
siglip/whole_image,binary,0.4,regret_honest,-0.006795721628873979,0.0014926995686925994,True,-0.0019643640625,late 61-100,-0.0119643640625,False,True
siglip/whole_image,binary,0.6,regret_honest,0.005084762041400768,0.0014584509933498586,False,0.010007293800779535,early 1-25,7.293800779534926e-06,True,False
siglip/whole_image,binary,0.7,regret_honest,0.009508299669511023,0.0017177386745858266,False,0.022981487277667984,early 1-25,0.012981487277667984,True,False
