geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
clip/whole_image,binary,deep 101-150,0.30,0.3,0.33393788125,0.12376278436247298,48,cost
clip/whole_image,binary,deep 101-150,0.40,0.4,0.33405216750000005,0.11405235548835285,48,cost
clip/whole_image,binary,deep 101-150,0.50,0.5,0.34222096916666667,0.11382635464428163,48,cost
clip/whole_image,binary,deep 101-150,0.60,0.6,0.3455915166666667,0.10997435331327196,48,cost
clip/whole_image,binary,deep 101-150,0.70,0.7,0.3518673495833333,0.10884684377622614,48,cost
clip/whole_image,binary,early 1-25,0.30,0.3,0.49216597498421716,0.14136194132502314,48,cost
clip/whole_image,binary,early 1-25,0.40,0.4,0.49355603002511533,0.13411082272728875,48,cost
clip/whole_image,binary,early 1-25,0.50,0.5,0.5036219165397179,0.12680786650340944,48,cost
clip/whole_image,binary,early 1-25,0.60,0.6,0.5149092500617589,0.13150067622619227,48,cost
clip/whole_image,binary,early 1-25,0.70,0.7,0.5175265361769873,0.12464166087611676,48,cost
clip/whole_image,binary,late 61-100,0.30,0.3,0.35416843385416663,0.12725592071383676,48,cost
clip/whole_image,binary,late 61-100,0.40,0.4,0.35630799166666666,0.1188154707124421,48,cost
clip/whole_image,binary,late 61-100,0.50,0.5,0.3671734848958333,0.1229617713431037,48,cost
clip/whole_image,binary,late 61-100,0.60,0.6,0.37060785104166666,0.11986028830782418,48,cost
clip/whole_image,binary,late 61-100,0.70,0.7,0.3725268296875,0.11043271992911044,48,cost
clip/whole_image,binary,mid 26-60,0.30,0.3,0.3879929898809524,0.1286257922729523,48,cost
clip/whole_image,binary,mid 26-60,0.40,0.4,0.39752334166666664,0.13099066864509515,48,cost
clip/whole_image,binary,mid 26-60,0.50,0.5,0.4017074660714286,0.12035433140468509,48,cost
clip/whole_image,binary,mid 26-60,0.60,0.6,0.40530265595238096,0.12408785800013927,48,cost
clip/whole_image,binary,mid 26-60,0.70,0.7,0.4023450886904762,0.11886149336849917,48,cost
clip/whole_image,binary,deep 101-150,0.30,0.3,0.0024434762500000003,0.012260778159429138,48,regret_honest
clip/whole_image,binary,deep 101-150,0.40,0.4,0.002770029166666667,0.016190880366364357,48,regret_honest
clip/whole_image,binary,deep 101-150,0.50,0.5,0.005848400416666667,0.016680616518647835,48,regret_honest
clip/whole_image,binary,deep 101-150,0.60,0.6,0.0048141145833333334,0.01908773329079276,48,regret_honest
clip/whole_image,binary,deep 101-150,0.70,0.7,0.014135191666666666,0.022289947594315736,48,regret_honest
clip/whole_image,binary,early 1-25,0.30,0.3,0.0352836479399978,0.02835798768729094,48,regret_honest
clip/whole_image,binary,early 1-25,0.40,0.4,0.04058573488965744,0.03197945403182746,48,regret_honest
clip/whole_image,binary,early 1-25,0.50,0.5,0.04871290934823782,0.03290860584207961,48,regret_honest
clip/whole_image,binary,early 1-25,0.60,0.6,0.05953833018362978,0.04165255199800527,48,regret_honest
clip/whole_image,binary,early 1-25,0.70,0.7,0.0686444714536671,0.046078083503211,48,regret_honest
clip/whole_image,binary,late 61-100,0.30,0.3,0.005602389583333333,0.013478015855578063,48,regret_honest
clip/whole_image,binary,late 61-100,0.40,0.4,0.005219844270833333,0.014546187589148687,48,regret_honest
clip/whole_image,binary,late 61-100,0.50,0.5,0.007981628125,0.019372989941733053,48,regret_honest
clip/whole_image,binary,late 61-100,0.60,0.6,0.009560508854166667,0.023175628323851453,48,regret_honest
clip/whole_image,binary,late 61-100,0.70,0.7,0.013127397395833332,0.026219730829820213,48,regret_honest
clip/whole_image,binary,mid 26-60,0.30,0.3,0.008816577380952382,0.01561133916685045,48,regret_honest
clip/whole_image,binary,mid 26-60,0.40,0.4,0.011902639285714285,0.02295835624012184,48,regret_honest
clip/whole_image,binary,mid 26-60,0.50,0.5,0.015117256547619048,0.02572184727741964,48,regret_honest
clip/whole_image,binary,mid 26-60,0.60,0.6,0.020343932738095236,0.030621589905378,48,regret_honest
clip/whole_image,binary,mid 26-60,0.70,0.7,0.01736476011904762,0.025988348774952087,48,regret_honest
clip/whole_image,binary,deep 101-150,0.30,0.3,0.024445781250000003,0.009778043141427401,48,regret
clip/whole_image,binary,deep 101-150,0.40,0.4,0.025110013333333334,0.013271614197429733,48,regret
clip/whole_image,binary,deep 101-150,0.50,0.5,0.027880784583333332,0.01436598836945524,48,regret
clip/whole_image,binary,deep 101-150,0.60,0.6,0.02796396333333333,0.014994557554256828,48,regret
clip/whole_image,binary,deep 101-150,0.70,0.7,0.035583079999999996,0.019478361014140137,48,regret
clip/whole_image,binary,early 1-25,0.30,0.3,0.06067731953022068,0.02711955875281137,48,regret
clip/whole_image,binary,early 1-25,0.40,0.4,0.06532835659241874,0.029462999341538062,48,regret
clip/whole_image,binary,early 1-25,0.50,0.5,0.07379313145380435,0.0306192432268257,48,regret
clip/whole_image,binary,early 1-25,0.60,0.6,0.08565960326086956,0.03950766476492868,48,regret
clip/whole_image,binary,early 1-25,0.70,0.7,0.0937163634751043,0.04280620396337906,48,regret
clip/whole_image,binary,late 61-100,0.30,0.3,0.027784097916666667,0.011038017243319806,48,regret
clip/whole_image,binary,late 61-100,0.40,0.4,0.026647720833333333,0.011980788273864697,48,regret
clip/whole_image,binary,late 61-100,0.50,0.5,0.03087492291666667,0.016063773309732007,48,regret
clip/whole_image,binary,late 61-100,0.60,0.6,0.03256209166666667,0.019115414181290872,48,regret
clip/whole_image,binary,late 61-100,0.70,0.7,0.03638928072916667,0.022553712280146805,48,regret
clip/whole_image,binary,mid 26-60,0.30,0.3,0.031615875,0.012610192747283222,48,regret
clip/whole_image,binary,mid 26-60,0.40,0.4,0.034747015476190475,0.019712329169446683,48,regret
clip/whole_image,binary,mid 26-60,0.50,0.5,0.037966041666666665,0.02285682274992868,48,regret
clip/whole_image,binary,mid 26-60,0.60,0.6,0.04344510238095239,0.02685053440739728,48,regret
clip/whole_image,binary,mid 26-60,0.70,0.7,0.04115525357142857,0.02294526478750628,48,regret
clip/whole_image,binary,deep 101-150,0.30,0.3,75.3025,0.2262600650165135,48,n_cal_scores
clip/whole_image,binary,deep 101-150,0.40,0.4,100.37833333333333,0.22399974670705206,48,n_cal_scores
clip/whole_image,binary,deep 101-150,0.50,0.5,125.47166666666668,0.18039358073842607,48,n_cal_scores
clip/whole_image,binary,deep 101-150,0.60,0.6,150.57666666666668,0.20773687667113214,48,n_cal_scores
clip/whole_image,binary,deep 101-150,0.70,0.7,175.70833333333334,0.1690943754280976,48,n_cal_scores
clip/whole_image,binary,early 1-25,0.30,0.3,9.125180375180376,0.2371981615458934,48,n_cal_scores
clip/whole_image,binary,early 1-25,0.40,0.4,11.971771284271284,0.35733049805229844,48,n_cal_scores
clip/whole_image,binary,early 1-25,0.50,0.5,14.953823953823955,0.2935208842243917,48,n_cal_scores
clip/whole_image,binary,early 1-25,0.60,0.6,17.998015873015873,0.3134092247307266,48,n_cal_scores
clip/whole_image,binary,early 1-25,0.70,0.7,21.29984335839599,0.497559127802728,48,n_cal_scores
clip/whole_image,binary,late 61-100,0.30,0.3,48.28229166666667,0.18863721326119823,48,n_cal_scores
clip/whole_image,binary,late 61-100,0.40,0.4,64.36770833333334,0.22348534706912906,48,n_cal_scores
clip/whole_image,binary,late 61-100,0.50,0.5,80.528125,0.19756664644426875,48,n_cal_scores
clip/whole_image,binary,late 61-100,0.60,0.6,96.54479166666665,0.216411640691879,48,n_cal_scores
clip/whole_image,binary,late 61-100,0.70,0.7,112.72291666666666,0.21830057682922294,48,n_cal_scores
clip/whole_image,binary,mid 26-60,0.30,0.3,25.826190476190476,0.24780991786350762,48,n_cal_scores
clip/whole_image,binary,mid 26-60,0.40,0.4,34.42619047619048,0.24299715851758152,48,n_cal_scores
clip/whole_image,binary,mid 26-60,0.50,0.5,43.01309523809524,0.23831499483591653,48,n_cal_scores
clip/whole_image,binary,mid 26-60,0.60,0.6,51.62380952380952,0.21569613509526406,48,n_cal_scores
clip/whole_image,binary,mid 26-60,0.70,0.7,60.16428571428571,0.23711246005792236,48,n_cal_scores
