arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · clip-whole_image,0,0.5746871875,0.48345899999999997,0.7109902499999999,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,1,,,,0.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,2,0.14586425,0.09107325,0.17151349999999999,0.08333333333333333,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,3,0.19322087500000001,0.112503,0.287295,0.16666666666666666,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,4,0.3837064791666666,0.21945625000000002,0.587188,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,5,0.4209489791666667,0.28375649999999997,0.5923855,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,6,0.44156083333333335,0.31587175,0.6080545,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,7,0.45969014583333334,0.34265225,0.6150852499999999,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,8,0.46332252083333336,0.33571775000000004,0.617536,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,9,0.464136625,0.32184999999999997,0.64094775,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,10,0.47145091666666666,0.33200375,0.6470199999999999,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,11,0.4787531875,0.332268,0.64604275,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,12,0.48848358333333336,0.341541,0.6566379999999999,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,13,0.49546935416666665,0.34042675,0.66474325,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,14,0.49902074999999996,0.339745,0.6632742500000001,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,15,0.5077599583333333,0.34700975,0.67608025,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,16,0.5147498958333333,0.36065075,0.6851970000000001,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,17,0.5127770416666667,0.35220599999999996,0.6758419999999999,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,18,0.504888875,0.36323700000000003,0.665281,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,19,0.5106601041666666,0.3744915,0.68202925,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,20,0.5091012291666667,0.3724915,0.6435215,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,21,0.5085739375,0.3680055,0.654009,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,22,0.511505625,0.36890649999999997,0.66115375,1.0,48,0.5746871875
0.30,vg_scale_any · clip-whole_image,23,0.5136089166666667,0.37542975,0.66539925,1.0,48,0.5746871875
