geometry,mode,band,fraction,delta,se,n_cells_paired,n_cells_arm,n_cells_incumbent,resolved,metric
clip_l/whole_image,binary,deep 101-150,0.3,-0.014387070833333336,0.006356391683619829,48,48,48,True,cost
clip_l/whole_image,binary,deep 101-150,0.4,-0.016697867500000005,0.005819037984010167,48,48,48,True,cost
clip_l/whole_image,binary,deep 101-150,0.6,0.0028895649999999967,0.007119205645826932,48,48,48,False,cost
clip_l/whole_image,binary,deep 101-150,0.7,0.010748987083333333,0.00759032473209464,48,48,48,False,cost
clip_l/whole_image,binary,early 1-25,0.3,-0.02110956561882411,0.0055697564668469556,48,48,48,True,cost
clip_l/whole_image,binary,early 1-25,0.4,-0.014280220949302815,0.004761790521179202,48,48,48,True,cost
clip_l/whole_image,binary,early 1-25,0.6,0.010268853374094196,0.005227275835399587,48,48,48,False,cost
clip_l/whole_image,binary,early 1-25,0.7,0.03263921125658762,0.006772532764690005,48,48,48,True,cost
clip_l/whole_image,binary,late 61-100,0.3,-0.013091090624999984,0.006469954650947793,48,48,48,True,cost
clip_l/whole_image,binary,late 61-100,0.4,-0.01162868020833332,0.007136380231668109,48,48,48,False,cost
clip_l/whole_image,binary,late 61-100,0.6,0.0027177708333333446,0.008100007498749135,48,48,48,False,cost
clip_l/whole_image,binary,late 61-100,0.7,0.012294240104166685,0.009771545815205443,48,48,48,False,cost
clip_l/whole_image,binary,mid 26-60,0.3,-0.014853236309523806,0.006406729296712825,48,48,48,True,cost
clip_l/whole_image,binary,mid 26-60,0.4,-0.00935415714285714,0.008728338149952426,48,48,48,False,cost
clip_l/whole_image,binary,mid 26-60,0.6,0.0009525958333333357,0.008827295784258565,48,48,48,False,cost
clip_l/whole_image,binary,mid 26-60,0.7,0.02197799285714286,0.010608694375366665,48,48,48,True,cost
clip_l/whole_image,binary,deep 101-150,0.3,-0.0072405075,0.0029061507626396204,48,48,48,True,regret_honest
clip_l/whole_image,binary,deep 101-150,0.4,-0.005024545833333334,0.0027336181111043975,48,48,48,False,regret_honest
clip_l/whole_image,binary,deep 101-150,0.6,0.004502572083333333,0.0032101785418389953,48,48,48,False,regret_honest
clip_l/whole_image,binary,deep 101-150,0.7,0.006526541666666667,0.0036880504828948105,48,48,48,False,regret_honest
clip_l/whole_image,binary,early 1-25,0.3,-0.014236609035326087,0.0033363610257623947,48,48,48,True,regret_honest
clip_l/whole_image,binary,early 1-25,0.4,-0.009948198280357928,0.0030048475909298876,48,48,48,True,regret_honest
clip_l/whole_image,binary,early 1-25,0.6,0.014340826632493411,0.0030586614831531207,48,48,48,True,regret_honest
clip_l/whole_image,binary,early 1-25,0.7,0.02546175668368467,0.004034414111710239,48,48,48,True,regret_honest
clip_l/whole_image,binary,late 61-100,0.3,-0.0035697859375,0.0027264330619045643,48,48,48,False,regret_honest
clip_l/whole_image,binary,late 61-100,0.4,-0.0076503869791666665,0.002449137231327062,48,48,48,True,regret_honest
clip_l/whole_image,binary,late 61-100,0.6,0.007435748958333333,0.0033829749268591788,48,48,48,True,regret_honest
clip_l/whole_image,binary,late 61-100,0.7,0.0075033739583333335,0.003825757817552557,48,48,48,False,regret_honest
clip_l/whole_image,binary,mid 26-60,0.3,-0.011437914285714286,0.003950768981956774,48,48,48,True,regret_honest
clip_l/whole_image,binary,mid 26-60,0.4,-0.012832041666666667,0.0036543056504890602,48,48,48,True,regret_honest
clip_l/whole_image,binary,mid 26-60,0.6,0.0013329255952380954,0.0037562838047696372,48,48,48,False,regret_honest
clip_l/whole_image,binary,mid 26-60,0.7,0.0009755464285714291,0.003792971513598381,48,48,48,False,regret_honest
