arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · clip_l-whole_image,0,0.5939390208333334,0.491912,0.7455649999999999,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,1,,,,0.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,2,0.21599939999999998,0.201105,0.224624,0.10416666666666667,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,3,0.22512414285714286,0.1796815,0.26844,0.14583333333333334,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,4,0.41152106250000003,0.26465150000000004,0.5726705000000001,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,5,0.4309431458333333,0.27821375,0.572873,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,6,0.45904783333333327,0.3026715,0.6055345,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,7,0.47338233333333335,0.31916825,0.63564825,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,8,0.4904627916666667,0.320287,0.6602622499999999,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,9,0.5004680833333334,0.3361635,0.6545675,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,10,0.5030424791666667,0.3511635,0.6509119999999999,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,11,0.5101050208333333,0.3672845,0.66782075,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,12,0.5131406041666666,0.381084,0.66771125,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,13,0.5161091875,0.36935625,0.665162,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,14,0.5175676666666666,0.36175825,0.6658815,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,15,0.5229340625000001,0.40018,0.6463782499999999,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,16,0.5322009375,0.41983775,0.653984,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,17,0.5354156458333333,0.43031474999999997,0.65404625,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,18,0.5374618958333334,0.43782275000000004,0.67214675,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,19,0.5386095000000001,0.431659,0.656305,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,20,0.5370022708333333,0.43175575,0.65445875,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,21,0.5410144791666667,0.43064625,0.67021325,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,22,0.5376240833333333,0.43099575,0.6749745,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,23,0.5397470833333333,0.43184900000000004,0.673772,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,24,0.5374831666666667,0.42921425,0.672428,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,25,0.540807125,0.4244025,0.6690655,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,26,0.5400940833333333,0.42308925,0.67202875,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,27,0.5435124791666667,0.43078475000000005,0.6802625,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,28,0.5464228333333333,0.43528425,0.680872,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,29,0.5478962916666666,0.43662475,0.6744910000000001,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,30,0.5554841875,0.44081675,0.68344525,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,31,0.5552133541666667,0.446939,0.68048275,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,32,0.5548661458333334,0.44777275,0.681705,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,33,0.5555472083333334,0.447767,0.68267575,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,34,0.5555611041666667,0.4490015,0.68013275,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,35,0.5556915,0.4436125,0.68103375,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,36,0.5557123958333333,0.43846225,0.680416,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,37,0.5573225625,0.43398275,0.68247325,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,38,0.5592224791666667,0.44076075000000003,0.68188225,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,39,0.5601721041666666,0.43746075,0.67809325,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,40,0.5629599583333333,0.44133649999999996,0.6834,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,41,0.5634199791666666,0.437422,0.68368325,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,42,0.5641399791666667,0.438721,0.68093775,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,43,0.5648320208333333,0.44020575,0.68099625,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,44,0.5627458750000001,0.45101925,0.67834575,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,45,0.5645473958333334,0.44806775,0.6757825000000001,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,46,0.5652942916666667,0.447508,0.681299,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,47,0.5662095416666667,0.43676775,0.6807527499999999,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,48,0.5642901666666668,0.44549574999999997,0.681718,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,49,0.564433625,0.43918475,0.6828115,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,50,0.5658748541666666,0.440053,0.686009,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,51,0.5658387083333333,0.44106225,0.6912524999999999,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,52,0.5652334166666667,0.44278675,0.688371,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,53,0.5614509583333334,0.44420400000000004,0.66086025,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,54,0.56426525,0.44339625,0.6662575,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,55,0.5667435833333333,0.450662,0.66490925,1.0,48,0.5939390208333334
0.30,vg_scale_any · clip_l-whole_image,56,0.5672208125,0.450561,0.6665995,1.0,48,0.5939390208333334
