arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · clip_l-whole_image,0,0.4676721041666667,0.3387925,0.62759075,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,1,,,,0.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,2,0.7565848,0.738794,0.776316,0.10416666666666667,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,3,0.8354432857142857,0.7435130000000001,0.9545405,0.14583333333333334,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,4,0.721704375,0.66191825,0.80208775,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,5,0.7015601458333333,0.61823925,0.800242,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,6,0.6159677083333334,0.5378164999999999,0.72878225,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,7,0.5581529375,0.4717835,0.694828,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,8,0.5304814375,0.44228725,0.64456325,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,9,0.5091424583333334,0.41238625,0.64204375,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,10,0.4881968125,0.39101025,0.6184385,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,11,0.47700572916666656,0.38970525,0.6032712499999999,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,12,0.4682434166666667,0.378953,0.585134,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,13,0.448417,0.37215025,0.55844675,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,14,0.4460461249999999,0.35677775,0.559341,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,15,0.44113775,0.3452315,0.5501115,1.0,48,0.4676721041666667
0.30,vg_scale_any · clip_l-whole_image,16,0.42609779166666667,0.32589325,0.53687425,1.0,48,0.4676721041666667
