arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · dinov3_patch-max_patch,0,0.6521238125,0.5792050000000001,0.770952,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,1,,,,0.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,2,0.100855,0.100855,0.100855,0.020833333333333332,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,3,0.314454,0.3010385,0.32786950000000004,0.041666666666666664,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,4,0.6288997708333334,0.54702275,0.72391425,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,5,0.6357210833333333,0.5705245,0.724827,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,6,0.6354160416666667,0.55899425,0.732719,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,7,0.6383115208333333,0.5613790000000001,0.7339457500000001,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,8,0.6456752083333334,0.548268,0.7465200000000001,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,9,0.6583747291666667,0.54035375,0.754551,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,10,0.6737065416666668,0.59046625,0.7677510000000001,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,11,0.6820850625,0.5958542499999999,0.77059375,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,12,0.685606375,0.59359675,0.77645125,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,13,0.6970749583333333,0.6237042500000001,0.778613,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,14,0.6987059375000001,0.62349825,0.776049,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,15,0.7037697708333335,0.6316865,0.78381725,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,16,0.7078238125,0.63359,0.7790239999999999,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,17,0.7121945833333333,0.643338,0.783243,1.0,48,0.6521238125
0.30,vg_scale_any · dinov3_patch-max_patch,18,0.7144796666666666,0.636573,0.7850777499999999,1.0,48,0.6521238125
