arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · dinov3_patch-max_patch,0,0.38712166666666664,0.304284,0.46234925,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,1,,,,0.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,2,0.787662,0.787662,0.787662,0.020833333333333332,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,3,0.5551235,0.51737925,0.5928677499999999,0.041666666666666664,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,4,0.43996106250000006,0.3637585,0.54023175,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,5,0.4276041875,0.34242425,0.536456,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,6,0.4321596458333334,0.3708975,0.5241227500000001,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,7,0.4202931041666667,0.36705675000000004,0.48427375,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,8,0.40475600000000006,0.33798724999999996,0.49101900000000004,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,9,0.395915625,0.29630124999999996,0.480614,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,10,0.37481758333333337,0.28170874999999995,0.4562945,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,11,0.3665739791666667,0.27354875,0.45614475,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,12,0.355685875,0.2742515,0.45275575,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,13,0.344975375,0.273575,0.4301,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,14,0.34171827083333334,0.26502824999999997,0.43543824999999997,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,15,0.33253706250000004,0.26857949999999997,0.420951,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,16,0.3330850625,0.2731375,0.41253,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,17,0.32289322916666663,0.25430624999999996,0.40855325,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,18,0.31559879166666666,0.255119,0.40151925,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,19,0.31174825,0.24309825,0.38425375,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,20,0.30126016666666666,0.22723975000000002,0.38976825,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,21,0.29825410416666664,0.23631924999999998,0.372223,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,22,0.29216293750000005,0.22919,0.35505,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,23,0.2886368541666667,0.22389225,0.35542650000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,24,0.2875635625,0.22439825,0.36115525,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,25,0.28530524999999995,0.237657,0.360032,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,26,0.28166529166666665,0.2293775,0.35134125,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,27,0.28099558333333335,0.23112575,0.34088075,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,28,0.2765915625,0.23598275000000002,0.34089625,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,29,0.2712113958333333,0.23969325,0.32387525,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,30,0.26902243750000004,0.21894625,0.33878474999999997,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,31,0.2755575416666667,0.2214175,0.3496545,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,32,0.2678460208333333,0.2199485,0.3379285,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,33,0.26624652083333333,0.22778375,0.3265405,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,34,0.26473216666666666,0.222808,0.32501825,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,35,0.26611335416666665,0.21987025,0.33570049999999996,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,36,0.26587643749999995,0.225134,0.33026075,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,37,0.25738839583333334,0.21337875,0.33033775,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,38,0.25973525000000003,0.2098595,0.32890600000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,39,0.2572877708333333,0.22140925,0.3301775,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,40,0.25810477083333333,0.2272735,0.32247875,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,41,0.25412125,0.22092875,0.316925,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,42,0.25858577083333334,0.22062525,0.31700100000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,43,0.2612215625,0.21744075000000002,0.31639525,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,44,0.2598976041666667,0.22916975,0.30851125,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,45,0.25608795833333337,0.22415975,0.30835599999999996,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,46,0.2543625625,0.22280075,0.30487624999999996,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,47,0.249886375,0.21856575,0.3087285,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,48,0.24957695833333335,0.219044,0.30359975,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,49,0.2524043125,0.21585575,0.3084075,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,50,0.2483711458333333,0.21788175,0.299783,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,51,0.2471815625,0.213395,0.29771375,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,52,0.2458684166666667,0.20864325,0.28435900000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,53,0.24348774999999998,0.204234,0.28082925000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,54,0.24477620833333336,0.20931825,0.28784775,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,55,0.24372843749999998,0.212227,0.29577950000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,56,0.24585652083333331,0.22325725,0.28946475,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,57,0.24609054166666666,0.22039525,0.2874225,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,58,0.24312085416666665,0.21155225,0.29036375,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,59,0.24314645833333337,0.21982300000000002,0.29000725,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,60,0.24132916666666668,0.20203074999999998,0.290256,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,61,0.23718216666666667,0.221042,0.27392975,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,62,0.24169602083333333,0.21264425,0.28391575,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,63,0.2397955833333333,0.20792925,0.27456400000000003,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,64,0.24028433333333332,0.20553549999999998,0.27433875,1.0,48,0.38712166666666664
0.30,vg_scale_any · dinov3_patch-max_patch,65,0.24064927083333335,0.20792925,0.275366,1.0,48,0.38712166666666664
