geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
siglip2_l/whole_image,binary,deep 101-150,0.30,0.3,0.26790736125,0.09654194536792515,48,cost
siglip2_l/whole_image,binary,deep 101-150,0.40,0.4,0.2763890725,0.10020396015514167,48,cost
siglip2_l/whole_image,binary,deep 101-150,0.50,0.5,0.2769130920833333,0.10619948508222174,48,cost
siglip2_l/whole_image,binary,deep 101-150,0.60,0.6,0.29012781083333333,0.10466977511519211,48,cost
siglip2_l/whole_image,binary,deep 101-150,0.70,0.7,0.2845629183333333,0.09536501714171218,48,cost
siglip2_l/whole_image,binary,early 1-25,0.30,0.3,0.43718297106782106,0.14881126514539766,48,cost
siglip2_l/whole_image,binary,early 1-25,0.40,0.4,0.44533985925324676,0.14468377864804433,48,cost
siglip2_l/whole_image,binary,early 1-25,0.50,0.5,0.45495405808531747,0.14185724702694855,48,cost
siglip2_l/whole_image,binary,early 1-25,0.60,0.6,0.45972760058621936,0.13709685973768856,48,cost
siglip2_l/whole_image,binary,early 1-25,0.70,0.7,0.47385999837211396,0.13352393492071934,48,cost
siglip2_l/whole_image,binary,late 61-100,0.30,0.3,0.289906903125,0.11165240135831013,48,cost
siglip2_l/whole_image,binary,late 61-100,0.40,0.4,0.29912891197916663,0.11488367133687095,48,cost
siglip2_l/whole_image,binary,late 61-100,0.50,0.5,0.30051373385416663,0.10956115727635775,48,cost
siglip2_l/whole_image,binary,late 61-100,0.60,0.6,0.3071316052083333,0.10871723189765164,48,cost
siglip2_l/whole_image,binary,late 61-100,0.70,0.7,0.29951266927083336,0.0978007788410554,48,cost
siglip2_l/whole_image,binary,mid 26-60,0.30,0.3,0.3314190202380953,0.13189209471607835,48,cost
siglip2_l/whole_image,binary,mid 26-60,0.40,0.4,0.3362807404761905,0.12796155387023575,48,cost
siglip2_l/whole_image,binary,mid 26-60,0.50,0.5,0.3494576208333333,0.12260687315971988,48,cost
siglip2_l/whole_image,binary,mid 26-60,0.60,0.6,0.3434965869047619,0.12232068147146181,48,cost
siglip2_l/whole_image,binary,mid 26-60,0.70,0.7,0.3388398678571429,0.10864871261370408,48,cost
siglip2_l/whole_image,binary,deep 101-150,0.30,0.3,0.008855549166666666,0.015499629497895533,48,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.40,0.4,0.013504779166666666,0.018205539931764263,48,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.50,0.5,0.01060653125,0.017429720543481048,48,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.60,0.6,0.019515403333333334,0.020799980240714975,48,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.70,0.7,0.01965725541666667,0.020588043479441105,48,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.30,0.3,0.037273919647366524,0.02591883904735389,48,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.40,0.4,0.04371829093163781,0.02838923245982189,48,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.50,0.5,0.05090254238365801,0.03242040878063284,48,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.60,0.6,0.060403592645202016,0.03323664357271705,48,regret_honest
siglip2_l/whole_image,binary,early 1-25,0.70,0.7,0.07537903137175325,0.04065528982517127,48,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.30,0.3,0.007913988541666667,0.012835936453790333,48,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.40,0.4,0.012663824479166667,0.021013816750087618,48,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.50,0.5,0.011829120312499998,0.020950023975950874,48,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.60,0.6,0.0159353015625,0.01976770609929948,48,regret_honest
siglip2_l/whole_image,binary,late 61-100,0.70,0.7,0.021235514583333333,0.01966806792615012,48,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.30,0.3,0.007713732738095238,0.015508004479683521,48,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.40,0.4,0.014150122023809525,0.022142215329284405,48,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.50,0.5,0.01798897976190476,0.026035099171927256,48,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.60,0.6,0.020230140476190477,0.021976425002371063,48,regret_honest
siglip2_l/whole_image,binary,mid 26-60,0.70,0.7,0.023498386904761904,0.024891778281864882,48,regret_honest
siglip2_l/whole_image,binary,deep 101-150,0.30,0.3,0.028506795,0.015312928840367874,48,regret
