dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
vg_scale_any,siglip2_l,book,0,1,a book,2100,158,0.075238,0.016137,0.418354,0.234809,0.183544,0.220513,0.816456,0.347241,0.357826,0.598009,0.886646
vg_scale_any,siglip2_l,book,1,1,a book,2100,137,0.065238,0.016137,0.407989,0.232807,0.175182,0.198246,0.824818,0.319661,0.33496,0.575673,0.891117
vg_scale_any,siglip2_l,book,2,1,a book,2100,148,0.070476,0.016137,0.409088,0.246926,0.162162,0.20462,0.837838,0.328912,0.337852,0.623261,0.895751
vg_scale_any,siglip2_l,book,3,1,a book,2100,161,0.076667,0.016137,0.416306,0.242393,0.173913,0.220564,0.826087,0.348168,0.350427,0.601018,0.886988
vg_scale_any,siglip2_l,boat,0,1,a boat on the water,2100,141,0.067143,-0.005148,0.262183,0.169985,0.092199,0.277657,0.907801,0.425249,0.208096,0.794544,0.953877
vg_scale_any,siglip2_l,boat,1,1,a boat on the water,2100,145,0.069048,-0.005148,0.212735,0.171355,0.041379,0.293249,0.958621,0.449111,0.158691,0.868876,0.974855
vg_scale_any,siglip2_l,boat,2,1,a boat on the water,2100,152,0.072381,-0.005148,0.246488,0.180698,0.065789,0.287449,0.934211,0.439628,0.179374,0.83124,0.963576
vg_scale_any,siglip2_l,boat,3,1,a boat on the water,2100,140,0.066667,-0.005148,0.22449,0.17449,0.05,0.28,0.95,0.43252,0.17602,0.835018,0.966946
vg_scale_any,siglip2_l,bicycle,0,1,a bicycle,2100,154,0.073333,0.027155,0.261749,0.125385,0.136364,0.352785,0.863636,0.500942,0.242315,0.785438,0.934531
vg_scale_any,siglip2_l,bicycle,1,1,a bicycle,2100,151,0.071905,0.027155,0.243885,0.124679,0.119205,0.353723,0.880795,0.504744,0.212957,0.802022,0.951675
vg_scale_any,siglip2_l,bicycle,2,1,a bicycle,2100,139,0.06619,0.027155,0.264232,0.120347,0.143885,0.335211,0.856115,0.481781,0.234255,0.7642,0.942303
vg_scale_any,siglip2_l,bicycle,3,1,a bicycle,2100,140,0.066667,0.027155,0.270918,0.120918,0.15,0.33427,0.85,0.479839,0.265816,0.755911,0.937649
vg_scale_any,siglip2_l,knife,0,1,a knife,2100,147,0.07,0.012457,0.485261,0.349206,0.136054,0.156984,0.863946,0.26569,0.394485,0.465845,0.865342
vg_scale_any,siglip2_l,knife,1,1,a knife,2100,155,0.07381,0.012457,0.474766,0.352185,0.122581,0.165652,0.877419,0.278689,0.418741,0.514599,0.872338
vg_scale_any,siglip2_l,knife,2,1,a knife,2100,149,0.070952,0.012457,0.484818,0.350589,0.134228,0.158672,0.865772,0.268191,0.403723,0.473469,0.864967
