arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · siglip2_l-whole_image,0,0.7265761458333332,0.6537875,0.8063955,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,1,,,,0.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,2,,,,0.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,3,,,,0.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,4,0.46031270454545453,0.30183325,0.573143,0.9166666666666666,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,5,0.47454795744680855,0.28389949999999997,0.591173,0.9791666666666666,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,6,0.48730002083333335,0.309585,0.599913,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,7,0.5092314791666667,0.348346,0.6026100000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,8,0.5334438125,0.3729775,0.6519222499999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,9,0.547329375,0.38453125,0.6477555,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,10,0.5584857708333334,0.4032985,0.67889975,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,11,0.5639467083333334,0.419125,0.67783775,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,12,0.5689007083333334,0.42438349999999997,0.674646,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,13,0.5707605625,0.43250125,0.68008375,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,14,0.5773743333333333,0.409249,0.694597,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,15,0.5837194583333334,0.45070875,0.705424,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,16,0.5905019583333333,0.45869725,0.7143219999999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,17,0.5925219583333333,0.46038324999999997,0.706748,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,18,0.5970309791666667,0.4654935,0.6951802499999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,19,0.5948830833333334,0.46974099999999996,0.6913342499999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,20,0.6005613541666667,0.4847175,0.692107,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,21,0.6039734166666667,0.4913335,0.69528625,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,22,0.602177125,0.48049425,0.7032385000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,23,0.6046018958333333,0.48124975000000003,0.7033135,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,24,0.6047168125,0.46986725,0.70240525,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,25,0.6108184166666667,0.46959724999999997,0.7089205000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,26,0.6127638958333333,0.47161675000000003,0.73108175,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,27,0.6122974375,0.47326225,0.7259455,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,28,0.6129825624999999,0.49067275,0.73243675,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,29,0.6150217083333334,0.49000225000000003,0.7314965,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,30,0.6176845,0.4939395,0.737151,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,31,0.6191883125,0.495528,0.7376984999999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,32,0.6198885416666666,0.50814125,0.7374255000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,33,0.6227931875,0.50303475,0.7346045000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,34,0.6257558541666667,0.5024902499999999,0.73242125,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,35,0.6273570833333334,0.51121375,0.7355445,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,36,0.6307793541666666,0.5204065,0.73649675,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,37,0.6288145416666667,0.5247865,0.731591,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,38,0.6320999583333333,0.52499675,0.7304075,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,39,0.6325657708333333,0.51901925,0.726844,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,40,0.6329803541666666,0.5237795000000001,0.7264980000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,41,0.6329350833333334,0.5273512499999999,0.7272492500000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,42,0.6357391666666666,0.5214037499999999,0.72571675,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,43,0.6365655208333333,0.5202555,0.73060675,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,44,0.6364662083333333,0.5281215,0.7246954999999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,45,0.6379987916666666,0.53434525,0.72795125,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,46,0.6430233541666667,0.53205175,0.730656,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,47,0.6434446041666667,0.5286190000000001,0.73573725,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,48,0.643768625,0.53520975,0.73130175,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,49,0.6427140625000001,0.5141735,0.7469957500000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,50,0.6436274583333333,0.51439725,0.743235,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,51,0.6434108125,0.51621975,0.74722125,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,52,0.6444215208333334,0.516726,0.7475805,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,53,0.6515063958333333,0.5299207499999999,0.75857625,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,54,0.653674125,0.53229275,0.76051725,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,55,0.6531723749999999,0.53417575,0.7568735,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,56,0.6513994166666667,0.54249425,0.75219,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,57,0.65144375,0.517973,0.7555605000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,58,0.6546571874999999,0.51138225,0.7547885000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,59,0.6537727291666666,0.51269625,0.765655,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,60,0.6530961666666667,0.5118882499999999,0.7647999999999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,61,0.6545749375000001,0.5120912500000001,0.765154,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,62,0.6517735,0.5138240000000001,0.7613639999999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,63,0.6527955,0.5145735,0.75873725,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,64,0.6523150833333333,0.51215775,0.7636890000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,65,0.6524277708333334,0.52357,0.7664182500000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,66,0.652046875,0.52688475,0.76748725,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,67,0.6542932083333334,0.528292,0.769545,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,68,0.6560370624999999,0.5295915,0.7687105000000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,69,0.6575824375,0.53185225,0.76905125,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,70,0.6584532291666667,0.5306332500000001,0.7669225,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,71,0.6576851666666667,0.5292337500000001,0.7670874999999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,72,0.6579257083333333,0.5340725,0.75531825,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,73,0.656889875,0.5322355,0.76528325,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,74,0.6550411875,0.52991625,0.7676545,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,75,0.6556610208333334,0.5323264999999999,0.7670637499999999,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,76,0.6558633333333334,0.5292055,0.76482825,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,77,0.6596999375,0.529555,0.766888,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,78,0.6643489583333333,0.5286740000000001,0.7704197500000001,1.0,48,0.7265761458333332
0.30,vg_scale_any · siglip2_l-whole_image,79,0.6637841458333334,0.525256,0.769026,1.0,48,0.7265761458333332
