arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
0.30,vg_scale_any · siglip2_l-whole_image,0,0.3275128541666667,0.2620745,0.431774,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,1,,,,0.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,2,,,,0.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,3,,,,0.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,4,0.6450006136363636,0.5497355,0.71580825,0.9166666666666666,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,5,0.6466285744680851,0.5299705,0.730653,0.9791666666666666,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,6,0.5800330208333334,0.45237700000000003,0.731262,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,7,0.5419834166666666,0.45291225,0.6677007500000001,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,8,0.5012255833333333,0.39279,0.6342260000000001,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,9,0.47141649999999996,0.4097495,0.5632425000000001,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,10,0.4534521875,0.4000045,0.52227625,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,11,0.43721147916666664,0.364279,0.51763825,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,12,0.4265672916666667,0.3498835,0.49889724999999996,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,13,0.4086152916666667,0.34386425,0.46866275,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,14,0.3977760833333333,0.34356725,0.46017325000000003,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,15,0.3934293125000001,0.327739,0.46037025,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,16,0.3917444583333333,0.32329425,0.4575265,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,17,0.38476564583333334,0.31729700000000005,0.45792225,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,18,0.37931475,0.3257405,0.44846225,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,19,0.3783215,0.3275555,0.44982825000000004,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,20,0.3717930208333334,0.32669375,0.44332225000000003,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,21,0.3719337916666667,0.32703175,0.44300025,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,22,0.3691850208333333,0.322108,0.44158575,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,23,0.36373075000000005,0.31739249999999997,0.43011025,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,24,0.36224970833333336,0.3144405,0.41211949999999997,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,25,0.35592462499999994,0.30811125,0.40313849999999996,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,26,0.3566136458333333,0.31076499999999996,0.4082805,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,27,0.3545254166666667,0.29889425000000003,0.398736,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,28,0.35362175,0.28512174999999995,0.3951065,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,29,0.3505675,0.28940525,0.40636775,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,30,0.34994664583333335,0.29295725,0.39818325,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,31,0.34760341666666666,0.29706025,0.39222025,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,32,0.3485713333333334,0.3049705,0.387011,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,33,0.34696837500000005,0.28761375,0.4019025,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,34,0.34579866666666675,0.284657,0.393192,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,35,0.3439951666666667,0.29663924999999997,0.38772725,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,36,0.3409770208333333,0.29619075,0.39001925000000004,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,37,0.3399813333333333,0.28931575,0.39135825,1.0,48,0.3275128541666667
0.30,vg_scale_any · siglip2_l-whole_image,38,0.33501416666666667,0.2986375,0.38367475,1.0,48,0.3275128541666667
