geometry,mode,band,k,step_ratio,step_ratio_p90,cal_ratio,cal_share,cal_share_k2,cal_seconds,step_seconds,n_steps,affordable
dinov3_patch/max_patch,region,deep 101-150,1,0.731131197078196,0.7566072837424805,0.5322952084026789,0.42155529618722687,0.5791478219927058,2.979352,7.0715140000000005,2400,True
dinov3_patch/max_patch,region,deep 101-150,2,1.0,1.0,1.0,0.5791478219927058,0.5791478219927058,5.626226000000001,9.709053,2400,True
dinov3_patch/max_patch,region,deep 101-150,3,1.2682061445383792,1.2970361564660358,1.4666334231525113,0.6688049219730197,0.5791478219927058,8.248433,12.337896,2400,True
dinov3_patch/max_patch,region,deep 101-150,4,1.536463422456166,1.5892953362107258,1.9349270932329685,0.7269173875377697,0.5791478219927058,10.885115500000001,14.963127499999999,2400,False
dinov3_patch/max_patch,region,deep 101-150,6,2.0739098994516993,2.1717760221554263,2.871743706425173,0.7977011394968714,0.5791478219927058,16.1138585,20.1864015,2400,False
dinov3_patch/max_patch,region,deep 101-150,8,2.6115867212294455,2.757625272573855,3.8132149407204246,0.8391905564824746,0.5791478219927058,21.3375965,25.414963,2400,False
dinov3_patch/max_patch,region,early 1-25,1,0.6750645570305653,0.696655797763134,0.5065479853325212,0.4975430392262293,0.660670547264689,1.0395395,2.126189,1008,True
dinov3_patch/max_patch,region,early 1-25,2,1.0,1.0,1.0,0.660670547264689,0.660670547264689,2.019144,3.1006359999999997,1008,True
dinov3_patch/max_patch,region,early 1-25,3,1.3240177015612327,1.3470325240241008,1.4919870634361225,0.7438163278428636,0.660670547264689,3.000179,4.1069245,1008,True
dinov3_patch/max_patch,region,early 1-25,4,1.649655910146389,1.6959131548763033,1.9853974904799718,0.794723591634563,0.660670547264689,4.001699500000001,5.0927805,1008,False
dinov3_patch/max_patch,region,early 1-25,6,2.301576764010254,2.403752289097823,2.972685854028704,0.8526524326029272,0.660670547264689,6.015124500000001,7.0638185,1008,False
dinov3_patch/max_patch,region,early 1-25,8,2.9535288778628326,3.115556194582934,3.9572411749061063,0.885128787101656,0.660670547264689,8.015892999999998,9.082208999999999,1008,False
dinov3_patch/max_patch,region,late 61-100,1,0.7145135990250691,0.7424730853740644,0.5204611287218655,0.4345955414339927,0.596606094469722,2.404,5.553065999999999,1920,True
dinov3_patch/max_patch,region,late 61-100,2,1.0,1.0,1.0,0.596606094469722,0.596606094469722,4.602266500000001,7.758883000000001,1920,True
dinov3_patch/max_patch,region,late 61-100,3,1.2865304109104234,1.3115850982950257,1.4811648464500444,0.6863471156534193,0.596606094469722,6.787066,9.982664499999998,1920,True
dinov3_patch/max_patch,region,late 61-100,4,1.5728791343806852,1.6199862311843733,1.9614255126046531,0.7429993348099584,0.596606094469722,9.0299945,12.133935,1920,False
dinov3_patch/max_patch,region,late 61-100,6,2.1447095634920195,2.236225886160724,2.9229794822801423,0.8118726290323606,0.596606094469722,13.396549,16.6072195,1920,False
dinov3_patch/max_patch,region,late 61-100,8,2.716669159215566,2.8504298266650867,3.8863381222634157,0.8512105038526285,0.596606094469722,17.735137,20.966693499999998,1920,False
dinov3_patch/max_patch,region,mid 26-60,1,0.6958249488812894,0.7230371155457074,0.5132964774727699,0.4632021435344639,0.62635841895421,1.683248,3.7875680000000003,1680,True
dinov3_patch/max_patch,region,mid 26-60,2,1.0,1.0,1.0,0.62635841895421,0.62635841895421,3.25336,5.360318,1680,True
dinov3_patch/max_patch,region,mid 26-60,3,1.3038369374738787,1.3256575016268208,1.4851225914860968,0.7135124607768502,0.62635841895421,4.8161640000000006,6.9105925,1680,True
dinov3_patch/max_patch,region,mid 26-60,4,1.6067588087467426,1.647904043506444,1.9695321280505684,0.7674931273672605,0.62635841895421,6.3402345,8.475821,1680,False
dinov3_patch/max_patch,region,mid 26-60,6,2.212414308924517,2.2951863109293695,2.9406973073827487,0.8309376401944442,0.62635841895421,9.4594325,11.596996,1680,False
dinov3_patch/max_patch,region,mid 26-60,8,2.8169474177938802,2.941121147342856,3.911927682158149,0.8672932401698173,0.62635841895421,12.5534165,14.652533,1680,False
dinov3_patch/whole_image,binary,deep 101-150,1,0.5436843564558158,0.6434606599968772,0.5022822164833829,0.8174749980075802,0.9037736535453231,0.1125965,0.1384125,2400,True
dinov3_patch/whole_image,binary,deep 101-150,2,1.0,1.0,1.0,0.9037736535453231,0.9037736535453231,0.2388095,0.263734,2400,True
dinov3_patch/whole_image,binary,deep 101-150,3,1.4584175549022258,1.5948201124768753,1.5039041528864106,0.9348424514664806,0.9037736535453231,0.362883,0.38812450000000004,2400,True
dinov3_patch/whole_image,binary,deep 101-150,4,1.9164210005589113,2.146030716668717,2.013172090503363,0.9509584274206017,0.9037736535453231,0.484983,0.5100235,2400,False
dinov3_patch/whole_image,binary,deep 101-150,6,2.8269382465539366,3.2123321508714904,3.022977245749881,0.9668747734867252,0.9037736535453231,0.7345185000000001,0.7589049999999999,2400,False
dinov3_patch/whole_image,binary,deep 101-150,8,3.734959511477064,4.299053420615837,4.033040186588318,0.975087844509066,0.9037736535453231,0.981873,1.0075685,2400,False
dinov3_patch/whole_image,binary,early 1-25,1,0.5284292594825646,0.6401558788576125,0.5041790890527,0.9061004421063292,0.9496759131212373,0.1520275,0.1665815,1008,True
dinov3_patch/whole_image,binary,early 1-25,2,1.0,1.0,1.0,0.9496759131212373,0.9496759131212373,0.29221450000000004,0.30684599999999995,1008,True
dinov3_patch/whole_image,binary,early 1-25,3,1.4677216917034777,1.5729304892889604,1.4930905630541114,0.9652803526174293,0.9496759131212373,0.431935,0.4462545,1008,True
dinov3_patch/whole_image,binary,early 1-25,4,1.9353813178685257,2.1215398975623736,1.98516575219941,0.9736623233292767,0.9496759131212373,0.5665985,0.5812115,1008,False
dinov3_patch/whole_image,binary,early 1-25,6,2.8631998737270035,3.1965391151801614,2.96647198688495,0.9821607886151977,0.9496759131212373,0.8467825,0.8603215,1008,False
dinov3_patch/whole_image,binary,early 1-25,8,3.800535874373221,4.29316832657811,3.9509513272219405,0.9864588491829528,0.9496759131212373,1.1291105,1.143548,1008,False
dinov3_patch/whole_image,binary,late 61-100,1,0.5375829582454743,0.6407813909920865,0.5049799233965269,0.8555355324462355,0.9233085249063551,0.1181295,0.137749,1920,True
dinov3_patch/whole_image,binary,late 61-100,2,1.0,1.0,1.0,0.9233085249063551,0.9233085249063551,0.240035,0.260515,1920,True
dinov3_patch/whole_image,binary,late 61-100,3,1.4665051767702968,1.634145169764162,1.4996918958361742,0.9479650286669461,0.9233085249063551,0.36393600000000004,0.3847855,1920,True
