geometry,band,k,mean_folds_used,min_folds_used,n_steps
dinov3_patch/max_patch,deep 101-150,1,1.0,1.0,14400
dinov3_patch/max_patch,deep 101-150,2,2.0,2.0,14400
dinov3_patch/max_patch,deep 101-150,3,3.0,3.0,14400
dinov3_patch/max_patch,deep 101-150,4,4.0,4.0,14400
dinov3_patch/max_patch,deep 101-150,6,6.0,6.0,14400
dinov3_patch/max_patch,deep 101-150,8,8.0,8.0,14400
dinov3_patch/max_patch,early 1-25,1,1.0,1.0,6048
dinov3_patch/max_patch,early 1-25,2,2.0,2.0,6048
dinov3_patch/max_patch,early 1-25,3,3.0,3.0,6048
dinov3_patch/max_patch,early 1-25,4,4.0,4.0,6048
dinov3_patch/max_patch,early 1-25,6,6.0,6.0,6048
dinov3_patch/max_patch,early 1-25,8,7.9996693121693125,7.0,6048
dinov3_patch/max_patch,late 61-100,1,1.0,1.0,11520
dinov3_patch/max_patch,late 61-100,2,2.0,2.0,11520
dinov3_patch/max_patch,late 61-100,3,3.0,3.0,11520
dinov3_patch/max_patch,late 61-100,4,4.0,4.0,11520
dinov3_patch/max_patch,late 61-100,6,6.0,6.0,11520
dinov3_patch/max_patch,late 61-100,8,8.0,8.0,11520
dinov3_patch/max_patch,mid 26-60,1,1.0,1.0,10080
dinov3_patch/max_patch,mid 26-60,2,2.0,2.0,10080
dinov3_patch/max_patch,mid 26-60,3,3.0,3.0,10080
dinov3_patch/max_patch,mid 26-60,4,4.0,4.0,10080
dinov3_patch/max_patch,mid 26-60,6,6.0,6.0,10080
dinov3_patch/max_patch,mid 26-60,8,8.0,8.0,10080
dinov3_patch/whole_image,deep 101-150,1,1.0,1.0,14400
dinov3_patch/whole_image,deep 101-150,2,2.0,2.0,14400
dinov3_patch/whole_image,deep 101-150,3,3.0,3.0,14400
dinov3_patch/whole_image,deep 101-150,4,4.0,4.0,14400
dinov3_patch/whole_image,deep 101-150,6,6.0,6.0,14400
dinov3_patch/whole_image,deep 101-150,8,8.0,8.0,14400
dinov3_patch/whole_image,early 1-25,1,0.9877645502645502,0.0,6048
dinov3_patch/whole_image,early 1-25,2,1.9755291005291005,0.0,6048
dinov3_patch/whole_image,early 1-25,3,2.9639550264550265,0.0,6048
dinov3_patch/whole_image,early 1-25,4,3.953373015873016,1.0,6048
dinov3_patch/whole_image,early 1-25,6,5.93287037037037,2.0,6048
dinov3_patch/whole_image,early 1-25,8,7.906415343915344,3.0,6048
dinov3_patch/whole_image,late 61-100,1,1.0,1.0,11520
dinov3_patch/whole_image,late 61-100,2,2.0,2.0,11520
dinov3_patch/whole_image,late 61-100,3,3.0,3.0,11520
dinov3_patch/whole_image,late 61-100,4,4.0,4.0,11520
dinov3_patch/whole_image,late 61-100,6,5.999826388888889,5.0,11520
dinov3_patch/whole_image,late 61-100,8,7.999826388888889,7.0,11520
dinov3_patch/whole_image,mid 26-60,1,0.9998015873015873,0.0,10080
dinov3_patch/whole_image,mid 26-60,2,1.9998015873015873,1.0,10080
dinov3_patch/whole_image,mid 26-60,3,2.9996031746031746,2.0,10080
dinov3_patch/whole_image,mid 26-60,4,3.9996031746031746,3.0,10080
dinov3_patch/whole_image,mid 26-60,6,5.999206349206349,5.0,10080
dinov3_patch/whole_image,mid 26-60,8,7.999206349206349,7.0,10080
siglip/whole_image,deep 101-150,1,1.0,1.0,14400
siglip/whole_image,deep 101-150,2,2.0,2.0,14400
siglip/whole_image,deep 101-150,3,3.0,3.0,14400
siglip/whole_image,deep 101-150,4,4.0,4.0,14400
siglip/whole_image,deep 101-150,6,6.0,6.0,14400
siglip/whole_image,deep 101-150,8,8.0,8.0,14400
siglip/whole_image,early 1-25,1,0.9986772486772487,0.0,6048
siglip/whole_image,early 1-25,2,1.9950396825396826,0.0,6048
siglip/whole_image,early 1-25,3,2.9933862433862433,1.0,6048
siglip/whole_image,early 1-25,4,3.9910714285714284,1.0,6048
siglip/whole_image,early 1-25,6,5.984126984126984,2.0,6048
siglip/whole_image,early 1-25,8,7.977513227513228,4.0,6048
siglip/whole_image,late 61-100,1,1.0,1.0,11520
siglip/whole_image,late 61-100,2,2.0,2.0,11520
siglip/whole_image,late 61-100,3,3.0,3.0,11520
siglip/whole_image,late 61-100,4,4.0,4.0,11520
siglip/whole_image,late 61-100,6,6.0,6.0,11520
siglip/whole_image,late 61-100,8,8.0,8.0,11520
siglip/whole_image,mid 26-60,1,1.0,1.0,10080
siglip/whole_image,mid 26-60,2,2.0,2.0,10080
siglip/whole_image,mid 26-60,3,3.0,3.0,10080
siglip/whole_image,mid 26-60,4,4.0,4.0,10080
siglip/whole_image,mid 26-60,6,6.0,6.0,10080
siglip/whole_image,mid 26-60,8,8.0,8.0,10080
