geometry,mode,band,k,cost,regret_honest,cal_seconds,step_seconds,cal_share,n_cal_scores,n_steps
dinov3_patch/max_patch,region,deep 101-150,1,0.2353106025,0.01730783625,3.0953609533333335,7.2541056825000005,0.42417470875445834,62.757083333333334,2400
dinov3_patch/max_patch,region,deep 101-150,2,0.23363288000000001,0.015630092916666668,5.7531541525,9.911898881666666,0.5785077117392862,125.51416666666667,2400
dinov3_patch/max_patch,region,deep 101-150,3,0.23224258333333334,0.014239790833333332,8.401829803333333,12.5605745325,0.6673074409862924,188.27125,2400
dinov3_patch/max_patch,region,deep 101-150,4,0.23174061124999998,0.013737827499999999,11.050291260833333,15.209035989999999,0.7251735663501568,251.02833333333334,2400
dinov3_patch/max_patch,region,deep 101-150,6,0.23083234249999998,0.012829550833333333,16.35334510375,20.512089832916665,0.7961405932126604,376.5425,2400
dinov3_patch/max_patch,region,deep 101-150,8,0.23033208458333335,0.012329313333333333,21.677183963333334,25.8359286925,0.8381182530013696,502.0566666666667,2400
dinov3_patch/max_patch,region,early 1-25,1,0.3623452043650794,0.026965142857142858,1.2443404325396825,2.5219881448412695,0.49593406386637406,7.507936507936508,1008
dinov3_patch/max_patch,region,early 1-25,2,0.35407573313492063,0.018695679563492062,2.4512545892857145,3.728902301587302,0.6588467595369246,15.015873015873016,1008
dinov3_patch/max_patch,region,early 1-25,3,0.35160638492063495,0.01622629662698413,3.656151066468254,4.933798778769842,0.7419962181029192,22.523809523809526,1008
dinov3_patch/max_patch,region,early 1-25,4,0.35015480059523807,0.014774717261904761,4.862048033730159,6.139695746031746,0.792590480952166,30.03174603174603,1008
dinov3_patch/max_patch,region,early 1-25,6,0.3483384474206349,0.012958381944444444,7.275448577380952,8.55309628968254,0.8510302851716438,45.04761904761905,1008
dinov3_patch/max_patch,region,early 1-25,8,0.34749948015873017,0.012119419642857142,9.686219325396825,10.963867037698412,0.8837463480540143,60.06349206349206,1008
dinov3_patch/max_patch,region,late 61-100,1,0.24795265104166667,0.022254611458333334,2.375458671875,5.501033295312499,0.4336206701781123,40.229166666666664,1920
dinov3_patch/max_patch,region,late 61-100,2,0.2403573791666667,0.014659365104166665,4.555642756770833,7.6812173802083334,0.5940841050388993,80.45833333333333,1920
dinov3_patch/max_patch,region,late 61-100,3,0.2391098703125,0.013411848958333333,6.741620849479166,9.867195472916666,0.6837351610792266,120.6875,1920
dinov3_patch/max_patch,region,late 61-100,4,0.2394052328125,0.013707211458333333,8.924706495833334,12.050281119270833,0.740905455335422,160.91666666666666,1920
dinov3_patch/max_patch,region,late 61-100,6,0.23951927864583336,0.013821255208333333,13.280487841145833,16.406062464583332,0.8094967542884098,241.375,1920
dinov3_patch/max_patch,region,late 61-100,8,0.2386704625,0.012972441666666668,17.630294433854164,20.755869057291665,0.8493227985811301,321.8333333333333,1920
dinov3_patch/max_patch,region,mid 26-60,1,0.2807778244047619,0.02218385238095238,1.7668649250000001,3.8491690226190474,0.45999411441727844,21.501785714285713,1680
dinov3_patch/max_patch,region,mid 26-60,2,0.2757703857142857,0.017176424404761904,3.436534186904762,5.5188382845238095,0.6225575149587547,43.003571428571426,1680
dinov3_patch/max_patch,region,mid 26-60,3,0.2735379226190476,0.01494394642857143,5.100771356547619,7.1830754541666675,0.7095693179454852,64.50535714285714,1680
dinov3_patch/max_patch,region,mid 26-60,4,0.2714821,0.012888136904761904,6.759622108928571,8.841926206547619,0.763775414520856,86.00714285714285,1680
dinov3_patch/max_patch,region,mid 26-60,6,0.2706315166666667,0.012037540476190477,10.085778861309525,12.16808295892857,0.8281092332648134,129.01071428571427,1680
dinov3_patch/max_patch,region,mid 26-60,8,0.2703743357142857,0.011780345833333332,13.409298552380951,15.49160265,0.8648960206031359,172.0142857142857,1680
dinov3_patch/whole_image,binary,deep 101-150,1,0.3686293175,0.005031145416666667,0.1103539225,0.13505382958333334,0.7984417685980051,62.78458333333333,2400
dinov3_patch/whole_image,binary,deep 101-150,2,0.364899865,0.0013016870833333332,0.22440716208333333,0.2491070691666667,0.8879241096858088,125.56916666666666,2400
dinov3_patch/whole_image,binary,deep 101-150,3,0.36397871958333333,0.00038054041666666673,0.33865613499999997,0.36335604208333333,0.9227565216591087,188.35375,2400
dinov3_patch/whole_image,binary,deep 101-150,4,0.36354971041666667,-4.8471666666666665e-05,0.45432849291666666,0.47902839999999997,0.9411136672494125,251.13833333333332,2400
dinov3_patch/whole_image,binary,deep 101-150,6,0.3635751120833334,-2.3056250000000015e-05,0.6818915720833333,0.7065914791666666,0.9597424459775432,376.7075,2400
dinov3_patch/whole_image,binary,deep 101-150,8,0.363354485,-0.0002436816666666667,0.9107529383333334,0.9354528454166666,0.969557101059681,502.27666666666664,2400
dinov3_patch/whole_image,binary,early 1-25,1,0.5849610099206349,0.057301589285714286,0.13343146428571429,0.14847488293650793,0.8914464544005554,7.511904761904762,1008
dinov3_patch/whole_image,binary,early 1-25,2,0.5775666795634921,0.04990724603174603,0.26210509226190476,0.27714851091269843,0.9418975538890525,15.023809523809524,1008
dinov3_patch/whole_image,binary,early 1-25,3,0.5746739910714286,0.047014526785714286,0.38971258432539685,0.40475600297619047,0.9601630888549261,22.535714285714285,1008
dinov3_patch/whole_image,binary,early 1-25,4,0.5733405982142857,0.04568117261904762,0.5175138125,0.5325572311507937,0.9698464358762949,30.047619047619047,1008
dinov3_patch/whole_image,binary,early 1-25,6,0.5720078630952381,0.044348450396825397,0.7727192222222222,0.787762640873016,0.9796239755579329,45.07142857142857,1008
dinov3_patch/whole_image,binary,early 1-25,8,0.5718874067460317,0.04422795833333333,1.0294994166666667,1.0445428353174602,0.984645291198732,60.095238095238095,1008
dinov3_patch/whole_image,binary,late 61-100,1,0.395391409375,0.009015918749999999,0.11409539322916666,0.13379699947916668,0.8385625738048897,40.2421875,1920
dinov3_patch/whole_image,binary,late 61-100,2,0.38998686666666665,0.0036113307291666666,0.22824454531250002,0.2479461515625,0.9122963987882168,80.484375,1920
dinov3_patch/whole_image,binary,late 61-100,3,0.38787746093750003,0.0015019640625,0.34400935729166665,0.3637109635416667,0.9404434492685972,120.7265625,1920
dinov3_patch/whole_image,binary,late 61-100,4,0.3868565026041667,0.0004810260416666667,0.46452400729166665,0.48422561354166666,0.9555852318603351,160.96875,1920
dinov3_patch/whole_image,binary,late 61-100,6,0.38589601041666666,-0.00047948125000000006,0.7038665229166666,0.7235681291666667,0.9702960021335169,241.453125,1920
dinov3_patch/whole_image,binary,late 61-100,8,0.3853617635416667,-0.00101373125,0.9410902010416666,0.9607918072916667,0.9776140894362889,321.9375,1920
dinov3_patch/whole_image,binary,mid 26-60,1,0.4499592291666667,0.008698439285714286,0.12414689107142857,0.14058275833333334,0.8733330518703658,21.50297619047619,1680
dinov3_patch/whole_image,binary,mid 26-60,2,0.4450904160714286,0.003829614880952381,0.2466976357142857,0.2631335029761905,0.9326273577725588,43.00595238095238,1680
dinov3_patch/whole_image,binary,mid 26-60,3,0.4424527470238095,0.0011919404761904762,0.3669353910714286,0.38337125833333335,0.9538070883887088,64.50892857142857,1680
dinov3_patch/whole_image,binary,mid 26-60,4,0.44225000833333333,0.0009892101190476191,0.4860984017857143,0.502534269047619,0.9648929831490678,86.01190476190476,1680
dinov3_patch/whole_image,binary,mid 26-60,6,0.4413146202380952,5.381964285714281e-05,0.7318862297619048,0.7483220970238096,0.976556347678641,129.01785714285714,1680
dinov3_patch/whole_image,binary,mid 26-60,8,0.44060639285714287,-0.0006543958333333333,0.9798765357142857,0.9963124029761904,0.9824811093116109,172.02380952380952,1680
siglip/whole_image,binary,deep 101-150,1,0.31619113833333334,0.01074367375,0.12333007875,0.15610455666666667,0.7760206876876842,37.64083333333333,2400
siglip/whole_image,binary,deep 101-150,2,0.3166570066666667,0.011209535416666668,0.2468112029166667,0.27958568083333335,0.8720910060890243,75.28166666666667,2400
siglip/whole_image,binary,deep 101-150,3,0.31592559708333334,0.01047811875,0.36945362083333333,0.40222809875,0.9102785439945474,112.9225,2400
siglip/whole_image,binary,deep 101-150,4,0.31563734541666666,0.010189865833333332,0.4919254345833334,0.5246999125,0.9309602136908317,150.56333333333333,2400
siglip/whole_image,binary,deep 101-150,6,0.31549246458333335,0.010044974583333335,0.73739540625,0.7701698841666667,0.9527539041252534,225.845,2400
siglip/whole_image,binary,deep 101-150,8,0.3154499691666667,0.010002498333333333,0.9813619175,1.0141363954166667,0.9639906613535044,301.12666666666667,2400
siglip/whole_image,binary,early 1-25,1,0.45057573015873015,0.03836759424603174,0.14123102182539682,0.156092123015873,0.9019632079006565,4.576388888888889,1008
siglip/whole_image,binary,early 1-25,2,0.4468479136904762,0.03463978472222222,0.2790649871031746,0.2939260882936508,0.9478497886842453,9.152777777777779,1008
siglip/whole_image,binary,early 1-25,3,0.44628516765873016,0.03407705059523809,0.416684439484127,0.43154554067460316,0.9645961082663059,13.729166666666666,1008
siglip/whole_image,binary,early 1-25,4,0.4460440248015873,0.0338359126984127,0.5552853819444444,0.5701464831349207,0.9732240067666248,18.305555555555557,1008
siglip/whole_image,binary,early 1-25,6,0.4452985625,0.033090442460317455,0.8304165793650794,0.8452776805555555,0.981948909499829,27.458333333333332,1008
