geometry,mode,band,k,metric,delta,se,n_cells,n_steps,win_rate,resolved,beats_margin
dinov3_patch/max_patch,region,deep 101-150,1,cost,0.007464723333333333,0.0037128881424169894,48,2400,0.375,True,False
dinov3_patch/max_patch,region,deep 101-150,3,cost,-0.0020046975000000003,0.0016434505447319502,48,2400,0.5625,False,False
dinov3_patch/max_patch,region,deep 101-150,4,cost,-0.0031214012500000005,0.002005954584410493,48,2400,0.5625,False,False
dinov3_patch/max_patch,region,deep 101-150,6,cost,-0.003638616250000001,0.002852471873901763,48,2400,0.5625,False,False
dinov3_patch/max_patch,region,deep 101-150,8,cost,-0.003433849583333334,0.0034552716894664754,48,2400,0.5416666666666666,False,False
dinov3_patch/max_patch,region,early 1-25,1,cost,0.014771148809523812,0.002671785896016738,48,1008,0.16666666666666666,True,False
dinov3_patch/max_patch,region,early 1-25,3,cost,-0.005980878968253969,0.0012577031780464905,48,1008,0.8333333333333334,True,True
dinov3_patch/max_patch,region,early 1-25,4,cost,-0.01162292757936508,0.0020802250444009606,48,1008,0.8333333333333334,True,True
dinov3_patch/max_patch,region,early 1-25,6,cost,-0.012653376984126987,0.002299042227842027,48,1008,0.8125,True,True
dinov3_patch/max_patch,region,early 1-25,8,cost,-0.014885470238095241,0.0024564168171046473,48,1008,0.8958333333333334,True,True
dinov3_patch/max_patch,region,late 61-100,1,cost,0.005481169791666667,0.0043781672747515215,48,1920,0.5625,False,False
dinov3_patch/max_patch,region,late 61-100,3,cost,-0.0023313494791666676,0.0019727316091588867,48,1920,0.5625,False,False
dinov3_patch/max_patch,region,late 61-100,4,cost,-0.007388304166666666,0.0034207828950448146,48,1920,0.625,True,True
dinov3_patch/max_patch,region,late 61-100,6,cost,-0.013523921354166668,0.004112798878884768,48,1920,0.7916666666666666,True,True
dinov3_patch/max_patch,region,late 61-100,8,cost,-0.014024641666666669,0.004432037528507575,48,1920,0.7708333333333334,True,True
dinov3_patch/max_patch,region,mid 26-60,1,cost,0.010562386309523808,0.0029218364424779884,48,1680,0.3333333333333333,True,False
dinov3_patch/max_patch,region,mid 26-60,3,cost,-0.004042652380952381,0.0016904261971990551,48,1680,0.6041666666666666,True,False
dinov3_patch/max_patch,region,mid 26-60,4,cost,-0.003927619642857143,0.002376976936192775,48,1680,0.5833333333333334,False,False
dinov3_patch/max_patch,region,mid 26-60,6,cost,-0.009083251785714286,0.0025927244273371295,48,1680,0.7083333333333334,True,True
dinov3_patch/max_patch,region,mid 26-60,8,cost,-0.01073931369047619,0.0030146459264318265,48,1680,0.7083333333333334,True,True
dinov3_patch/whole_image,binary,deep 101-150,1,cost,0.003760990833333333,0.001997048313367862,48,2400,0.4166666666666667,False,False
dinov3_patch/whole_image,binary,deep 101-150,3,cost,-0.001606067083333334,0.0007249457495590731,48,2400,0.6666666666666666,True,False
dinov3_patch/whole_image,binary,deep 101-150,4,cost,-0.002644465,0.0008997371786799685,48,2400,0.7083333333333334,True,False
dinov3_patch/whole_image,binary,deep 101-150,6,cost,-0.003635335416666667,0.0009442120612692633,48,2400,0.7083333333333334,True,False
dinov3_patch/whole_image,binary,deep 101-150,8,cost,-0.00452652625,0.0010422226139960048,48,2400,0.7291666666666666,True,False
dinov3_patch/whole_image,binary,early 1-25,1,cost,0.014634858134920633,0.0023594645153278216,48,1008,0.16666666666666666,True,False
dinov3_patch/whole_image,binary,early 1-25,3,cost,-0.005552846230158729,0.0009715817286886707,48,1008,0.8333333333333334,True,True
dinov3_patch/whole_image,binary,early 1-25,4,cost,-0.012994778769841273,0.0018252688733759958,48,1008,0.9166666666666666,True,True
dinov3_patch/whole_image,binary,early 1-25,6,cost,-0.015830146825396824,0.002353596379027462,48,1008,0.8541666666666666,True,True
dinov3_patch/whole_image,binary,early 1-25,8,cost,-0.016262066468253965,0.0024250369900305382,48,1008,0.8541666666666666,True,True
dinov3_patch/whole_image,binary,late 61-100,1,cost,0.006971622916666666,0.0024933298057881657,48,1920,0.4166666666666667,True,False
dinov3_patch/whole_image,binary,late 61-100,3,cost,-0.001772839062500001,0.0006714617740106915,48,1920,0.7291666666666666,True,False
dinov3_patch/whole_image,binary,late 61-100,4,cost,-0.0027180421875000003,0.0009578813804997021,48,1920,0.625,True,False
dinov3_patch/whole_image,binary,late 61-100,6,cost,-0.003470690625,0.0012869399110313658,48,1920,0.6875,True,False
dinov3_patch/whole_image,binary,late 61-100,8,cost,-0.003892416666666667,0.0014543116787897182,48,1920,0.625,True,False
dinov3_patch/whole_image,binary,mid 26-60,1,cost,0.00704515119047619,0.0021512015182916337,48,1680,0.4375,True,False
dinov3_patch/whole_image,binary,mid 26-60,3,cost,-0.0044718541666666665,0.0019262851123224485,48,1680,0.6041666666666666,True,False
dinov3_patch/whole_image,binary,mid 26-60,4,cost,-0.007725422619047619,0.001956837445803047,48,1680,0.75,True,True
dinov3_patch/whole_image,binary,mid 26-60,6,cost,-0.008436944642857143,0.0021493719360107457,48,1680,0.6875,True,True
dinov3_patch/whole_image,binary,mid 26-60,8,cost,-0.009480340476190476,0.0023619078417370046,48,1680,0.7291666666666666,True,True
siglip/whole_image,binary,deep 101-150,1,cost,0.004667873333333333,0.0018010212397199519,48,2400,0.3958333333333333,True,False
siglip/whole_image,binary,deep 101-150,3,cost,-0.003894997083333334,0.0013261233164771694,48,2400,0.6041666666666666,True,False
siglip/whole_image,binary,deep 101-150,4,cost,-0.00624004375,0.001420248978375931,48,2400,0.8125,True,True
siglip/whole_image,binary,deep 101-150,6,cost,-0.006594218333333333,0.0016539776684420414,48,2400,0.7708333333333334,True,True
