geometry,mode,k_early,n_cut,overall_delta,overall_se,best_band,best_delta,best_se,worst_delta,max_step_ratio,n_cells,rule1_benefit,rule2_no_harm,rule3_affordable,eligible
dinov3_patch/max_patch,region,4,25,-0.0005500834760273973,0.00013898358712447257,early 1-25,-0.003824389880952381,0.0009449371722388432,0.0,1.6486446075022716,48,False,True,False,False
dinov3_patch/max_patch,region,4,60,-0.0015445485159817352,0.00033119761674592975,mid 26-60,-0.004090414285714286,0.0010879872979545292,0.0,1.649655910146389,48,False,True,False,False
dinov3_patch/max_patch,region,6,25,-0.0008160122716894977,0.000176064122897451,early 1-25,-0.005673228174603175,0.0012437177229225628,0.0,2.2993472073643995,48,True,True,False,False
dinov3_patch/max_patch,region,6,60,-0.0020077958047945207,0.0004747827037757859,early 1-25,-0.005737285714285716,0.0012597390209818826,0.0,2.301576764010254,48,True,True,False,False
dinov3_patch/max_patch,region,8,25,-0.0009298670091324201,0.00019631701557217744,early 1-25,-0.006464789682539683,0.0013697025096177332,0.0,2.9515839597879507,48,True,True,False,False
dinov3_patch/max_patch,region,8,60,-0.0021932652682648403,0.0005231581173576549,early 1-25,-0.006576252976190478,0.0013305011417334017,0.0,2.9535288778628326,48,True,True,False,False
dinov3_patch/whole_image,binary,4,25,-0.0006077791095890411,0.0001724616652511876,early 1-25,-0.0042255119047619055,0.0012543571530497797,0.0,1.9310227342989912,48,False,True,False,False
dinov3_patch/whole_image,binary,4,60,-0.0012859995719178084,0.0002540238697206146,early 1-25,-0.004226081349206348,0.001266303242368221,0.0,1.9353813178685257,48,False,True,False,False
dinov3_patch/whole_image,binary,6,25,-0.0007771516837899547,0.00022474765861736228,early 1-25,-0.005403054563492066,0.001559488841004819,0.0,2.849426112786957,48,True,True,False,False
dinov3_patch/whole_image,binary,6,60,-0.001691691780821918,0.0003084987220226279,early 1-25,-0.0055588164682539715,0.0015729920231022847,0.0,2.8642848890540575,48,True,True,False,False
dinov3_patch/whole_image,binary,8,25,-0.0007882003424657533,0.00023595839604742633,early 1-25,-0.0054798690476190485,0.0016651065874422133,0.0,3.7795921634160283,48,True,True,False,False
dinov3_patch/whole_image,binary,8,60,-0.0018829440639269405,0.0003641058061491101,early 1-25,-0.005679272817460318,0.001638394762200195,0.0,3.800535874373221,48,True,True,False,False
siglip/whole_image,binary,4,25,-0.00012145119863013689,0.00011003154421932857,early 1-25,-0.0008443749999999993,0.0007768578747334044,0.0,1.9434065647003755,48,False,True,False,False
siglip/whole_image,binary,4,60,-0.0004785990296803652,0.00021823750154498637,mid 26-60,-0.0015141083333333335,0.0005545485932996355,0.0,1.9446745779587793,48,False,True,False,False
siglip/whole_image,binary,6,25,-0.000215969178082192,0.00014536832422787268,early 1-25,-0.0015015000000000013,0.0010324814333919166,0.0,2.8832771140588305,48,False,True,False,False
siglip/whole_image,binary,6,60,-0.0006697848173515984,0.00027889511664946394,mid 26-60,-0.0018643488095238091,0.0006876955315018462,0.0,2.8862938208923836,48,False,True,False,False
siglip/whole_image,binary,8,25,-0.0002232465753424658,0.00013666218275657475,early 1-25,-0.0015520952380952385,0.0009210311213966177,0.0,3.824094486322471,48,False,True,False,False
siglip/whole_image,binary,8,60,-0.0006492250285388129,0.0002782412120255412,mid 26-60,-0.0017783535714285717,0.0007843795327506883,0.0,3.8288252979570805,48,False,True,False,False
