geometry,mode,band,k,sd_threshold,n_steps
dinov3_patch/max_patch,region,deep 101-150,1,0.03300718364902648,600
dinov3_patch/max_patch,region,deep 101-150,2,0.03011505848560907,600
dinov3_patch/max_patch,region,deep 101-150,3,0.027673662030252438,600
dinov3_patch/max_patch,region,deep 101-150,4,0.026723473456041185,600
dinov3_patch/max_patch,region,deep 101-150,6,0.025478367650093127,600
dinov3_patch/max_patch,region,deep 101-150,8,0.02432152909754806,600
dinov3_patch/max_patch,region,early 1-25,1,0.026129837340234656,252
dinov3_patch/max_patch,region,early 1-25,2,0.022186667075826554,252
dinov3_patch/max_patch,region,early 1-25,3,0.020930229088842397,252
dinov3_patch/max_patch,region,early 1-25,4,0.020263140663212113,252
dinov3_patch/max_patch,region,early 1-25,6,0.019643568220347636,252
dinov3_patch/max_patch,region,early 1-25,8,0.01911514147468582,252
dinov3_patch/max_patch,region,late 61-100,1,0.04001702310387989,480
dinov3_patch/max_patch,region,late 61-100,2,0.032858921645336096,480
dinov3_patch/max_patch,region,late 61-100,3,0.03007406599683007,480
dinov3_patch/max_patch,region,late 61-100,4,0.028930270005778153,480
dinov3_patch/max_patch,region,late 61-100,6,0.02746501903804694,480
dinov3_patch/max_patch,region,late 61-100,8,0.0268302162935022,480
dinov3_patch/max_patch,region,mid 26-60,1,0.03724540564660607,420
dinov3_patch/max_patch,region,mid 26-60,2,0.03170919436502933,420
dinov3_patch/max_patch,region,mid 26-60,3,0.0290143092974571,420
dinov3_patch/max_patch,region,mid 26-60,4,0.027041590962669042,420
dinov3_patch/max_patch,region,mid 26-60,6,0.02574265939585473,420
dinov3_patch/max_patch,region,mid 26-60,8,0.02487800414221583,420
dinov3_patch/whole_image,binary,deep 101-150,1,0.022781596692494133,600
dinov3_patch/whole_image,binary,deep 101-150,2,0.0168585067613947,600
dinov3_patch/whole_image,binary,deep 101-150,3,0.015562528028440376,600
dinov3_patch/whole_image,binary,deep 101-150,4,0.015236198090192738,600
dinov3_patch/whole_image,binary,deep 101-150,6,0.01419870024581708,600
dinov3_patch/whole_image,binary,deep 101-150,8,0.013864762409107282,600
dinov3_patch/whole_image,binary,early 1-25,1,0.021726872510283605,252
dinov3_patch/whole_image,binary,early 1-25,2,0.018614520273376425,252
dinov3_patch/whole_image,binary,early 1-25,3,0.017752737383119863,252
dinov3_patch/whole_image,binary,early 1-25,4,0.016851517441450976,252
dinov3_patch/whole_image,binary,early 1-25,6,0.016156304193477158,252
dinov3_patch/whole_image,binary,early 1-25,8,0.01596761098790153,252
dinov3_patch/whole_image,binary,late 61-100,1,0.022025901803318156,480
dinov3_patch/whole_image,binary,late 61-100,2,0.017515106659757675,480
dinov3_patch/whole_image,binary,late 61-100,3,0.016761738567523016,480
dinov3_patch/whole_image,binary,late 61-100,4,0.016408631173921634,480
dinov3_patch/whole_image,binary,late 61-100,6,0.015753278859061703,480
dinov3_patch/whole_image,binary,late 61-100,8,0.015363882607482292,480
dinov3_patch/whole_image,binary,mid 26-60,1,0.024835434578233874,420
dinov3_patch/whole_image,binary,mid 26-60,2,0.022761139961808466,420
dinov3_patch/whole_image,binary,mid 26-60,3,0.021514032372539932,420
dinov3_patch/whole_image,binary,mid 26-60,4,0.021039769372715577,420
dinov3_patch/whole_image,binary,mid 26-60,6,0.020435802597091313,420
dinov3_patch/whole_image,binary,mid 26-60,8,0.019688052719707236,420
siglip/whole_image,binary,deep 101-150,1,0.0209036762569092,600
siglip/whole_image,binary,deep 101-150,2,0.018722143923874793,600
siglip/whole_image,binary,deep 101-150,3,0.017389786140069006,600
siglip/whole_image,binary,deep 101-150,4,0.017022016819329907,600
siglip/whole_image,binary,deep 101-150,6,0.01640957008937658,600
siglip/whole_image,binary,deep 101-150,8,0.016209723922797643,600
siglip/whole_image,binary,early 1-25,1,0.020543036644420587,252
siglip/whole_image,binary,early 1-25,2,0.020146203046258773,252
siglip/whole_image,binary,early 1-25,3,0.019438642332547634,252
siglip/whole_image,binary,early 1-25,4,0.019005154820389836,252
siglip/whole_image,binary,early 1-25,6,0.018850702769529326,252
siglip/whole_image,binary,early 1-25,8,0.018748589739648772,252
siglip/whole_image,binary,late 61-100,1,0.018929419797332266,480
siglip/whole_image,binary,late 61-100,2,0.01770392689629602,480
siglip/whole_image,binary,late 61-100,3,0.016883941605671374,480
siglip/whole_image,binary,late 61-100,4,0.016083357353900526,480
siglip/whole_image,binary,late 61-100,6,0.015773590279640707,480
siglip/whole_image,binary,late 61-100,8,0.01562773418143267,480
siglip/whole_image,binary,mid 26-60,1,0.023168459903824688,420
siglip/whole_image,binary,mid 26-60,2,0.021343235208687528,420
siglip/whole_image,binary,mid 26-60,3,0.020868030850253433,420
siglip/whole_image,binary,mid 26-60,4,0.020403079547147387,420
siglip/whole_image,binary,mid 26-60,6,0.02010922729090497,420
siglip/whole_image,binary,mid 26-60,8,0.019768304210911032,420
