geometry,mode,k,best_band,best_delta,best_se,worst_band,worst_delta,worst_se,max_step_ratio,rule1_benefit,benefit_bands,rule2_no_harm,harm_gate_indeterminate,rule3_affordable,ship_candidate
dinov3_patch/max_patch,region,1,deep 101-150,0.0016777225,0.0014304451406136939,early 1-25,0.008269471230158728,0.0014335241146857284,0.731131197078196,False,,True,True,True,False
dinov3_patch/max_patch,region,3,early 1-25,-0.002469348214285714,0.0006125706819463285,late 61-100,-0.0012475088541666658,0.0007255951998504046,1.3240177015612327,False,,True,False,True,False
dinov3_patch/max_patch,region,4,mid 26-60,-0.004288285714285715,0.0011513426605308302,late 61-100,-0.0009521463541666671,0.000903622394674546,1.649655910146389,False,,True,False,False,False
dinov3_patch/max_patch,region,6,early 1-25,-0.005737285714285716,0.0012363989965601405,late 61-100,-0.000838100520833333,0.0011691238090260295,2.301576764010254,True,"early 1-25,mid 26-60",True,False,False,False
dinov3_patch/max_patch,region,8,early 1-25,-0.006576252976190478,0.0013928345912149185,late 61-100,-0.0016869166666666666,0.0012420961132107585,2.9535288778628326,True,"early 1-25,mid 26-60",True,False,False,False
dinov3_patch/whole_image,binary,1,deep 101-150,0.0037294525000000005,0.0015687015101366094,early 1-25,0.007394330357142855,0.001973399539090494,0.5436843564558158,False,,True,True,True,False
dinov3_patch/whole_image,binary,3,early 1-25,-0.002892688492063493,0.000872823884044102,deep 101-150,-0.0009211454166666661,0.0004532788653312436,1.4677216917034777,False,,True,False,True,False
dinov3_patch/whole_image,binary,4,early 1-25,-0.004226081349206348,0.0012855648498278497,deep 101-150,-0.0013501545833333334,0.0005280132759686667,1.938828832844964,False,,True,False,False,False
dinov3_patch/whole_image,binary,6,early 1-25,-0.0055588164682539715,0.001576594353454167,deep 101-150,-0.001324752916666667,0.0006814053243183803,2.8811944588792393,True,early 1-25,True,False,False,False
dinov3_patch/whole_image,binary,8,early 1-25,-0.005679272817460318,0.0016856834715148251,deep 101-150,-0.0015453799999999992,0.0008475200719916673,3.833854673424627,True,early 1-25,True,False,False,False
siglip/whole_image,binary,1,deep 101-150,-0.00046586833333333227,0.0008875393940955214,early 1-25,0.0037278164682539674,0.000927242056272817,0.5546334330960747,False,,True,False,True,False
siglip/whole_image,binary,3,deep 101-150,-0.0007314095833333333,0.0005051618435546418,late 61-100,-2.555624999999949e-05,0.00039750800069693836,1.4716851458407907,False,,True,False,True,False
siglip/whole_image,binary,4,mid 26-60,-0.0016282571428571431,0.0005869646095618453,late 61-100,9.292708333333765e-06,0.0005468794892753301,1.9446745779587793,False,,True,False,False,False
siglip/whole_image,binary,6,mid 26-60,-0.0019201089285714285,0.0007032171358394404,late 61-100,0.00036729479166666625,0.0006938146099328259,2.8862938208923836,False,,True,False,False,False
siglip/whole_image,binary,8,mid 26-60,-0.0018382928571428576,0.0007746988219216162,late 61-100,0.0004368989583333335,0.0007183483378933194,3.8288252979570805,False,,True,False,False,False
