arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
K=1,vg_scale_any · dinov3_patch-max_patch,0,0.6521238125,0.5792050000000001,0.770952,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,1,,,,0.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,2,,,,0.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,3,,,,0.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,4,,,,0.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,5,0.6357210833333333,0.5705245,0.724827,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,6,0.6354160416666667,0.55899425,0.732719,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,7,0.6383115208333333,0.5613790000000001,0.7339457500000001,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,8,0.6450717083333334,0.56676,0.7363695,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,9,0.6617468333333333,0.5851372499999999,0.75686225,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,10,0.6701650625000001,0.6065717500000001,0.7619595,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,11,0.670240125,0.6060194999999999,0.7646237499999999,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,12,0.6725449375,0.6009725,0.7603725,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,13,0.6792353125,0.6125475,0.77584275,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,14,0.6899587916666666,0.62998375,0.7817307499999999,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,15,0.6927612499999999,0.62975375,0.78801475,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,16,0.6960979166666666,0.63521525,0.7877135,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,17,0.7057168541666666,0.6364025,0.79475825,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,18,0.7080439791666667,0.63335275,0.7990125,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,19,0.7131241041666666,0.63248575,0.802237,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,20,0.7203434999999999,0.63557975,0.8000210000000001,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,21,0.7236718333333333,0.64633875,0.79962775,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,22,0.7271181458333333,0.63684175,0.800448,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,23,0.7276909166666666,0.653232,0.8041745,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,24,0.7305588125,0.6547525000000001,0.8020847499999999,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,25,0.7307449791666666,0.6455489999999999,0.80186625,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,26,0.7323928958333333,0.6409119999999999,0.8022365,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,27,0.7328894583333332,0.64519975,0.80326325,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,28,0.7362366666666667,0.66254025,0.80419125,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,29,0.7381440208333334,0.667357,0.80817625,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,30,0.7406266458333334,0.672984,0.80842725,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,31,0.74345325,0.6733605,0.810433,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,32,0.748306625,0.6720685,0.81339725,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,33,0.7490598333333333,0.67235625,0.81349375,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,34,0.7492765208333333,0.6734450000000001,0.813599,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,35,0.7484919583333333,0.67335625,0.815003,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,36,0.7498930416666667,0.6759094999999999,0.8132275,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,37,0.7505165625,0.676453,0.812384,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,38,0.7511415833333334,0.6749485,0.8127497499999999,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,39,0.7556261041666668,0.6755672500000001,0.823723,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,40,0.7566702916666666,0.6752612499999999,0.8241339999999999,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,41,0.7577945416666667,0.6780252499999999,0.82376625,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,42,0.7588311041666667,0.6819182500000001,0.82478725,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,43,0.7595011041666666,0.6831125,0.82436,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,44,0.7599885416666666,0.6835724999999999,0.826569,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,45,0.7607262916666668,0.6852860000000001,0.82538975,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,46,0.7615278541666667,0.68543625,0.8264365,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,47,0.76172225,0.6838172499999999,0.81968775,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,48,0.761512125,0.6831830000000001,0.8195552500000001,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,49,0.762225875,0.68734125,0.81680125,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,50,0.76438125,0.68834675,0.81902325,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,51,0.7647976041666666,0.688938,0.819635,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,52,0.7650568958333333,0.68886175,0.82058425,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,53,0.7658608125,0.689474,0.822249,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,54,0.7662650833333333,0.69674875,0.8214415,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,55,0.7673025833333332,0.6973272500000001,0.822299,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,56,0.7668545208333333,0.69603625,0.82207775,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,57,0.7696118749999998,0.7034652499999999,0.82163325,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,58,0.7704579374999999,0.70517675,0.822292,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,59,0.7699257083333332,0.7066735,0.8229802500000001,1.0,48,0.6521238125
K=1,vg_scale_any · dinov3_patch-max_patch,60,0.7705838333333332,0.7074195000000001,0.8245862500000001,1.0,48,0.6521238125
