arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
K=1,vg_scale_any · dinov3_patch-max_patch,0,0.38712166666666664,0.304284,0.46234925,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,1,,,,0.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,2,,,,0.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,3,,,,0.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,4,,,,0.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,5,0.4404111458333333,0.3412865,0.53157775,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,6,0.43212243749999996,0.353386,0.51475175,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,7,0.4402080833333333,0.36616475000000004,0.5367945,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,8,0.4119125416666667,0.33000275,0.47687775,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,9,0.38957204166666665,0.31465525000000005,0.47780975,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,10,0.3799903958333333,0.298991,0.4428705,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,11,0.3851491458333334,0.296541,0.46102550000000003,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,12,0.36630583333333333,0.29015825,0.448158,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,13,0.36487445833333326,0.28275075,0.45779775,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,14,0.35833266666666663,0.27967425,0.4467565,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,15,0.3546590416666667,0.2866045,0.4457445,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,16,0.3533882083333333,0.28324024999999997,0.44498675,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,17,0.34630475,0.25823625,0.43440100000000004,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,18,0.34271874999999996,0.2482915,0.4390985,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,19,0.3424753333333334,0.25860625000000004,0.443933,1.0,48,0.38712166666666664
K=1,vg_scale_any · dinov3_patch-max_patch,20,0.328463625,0.256205,0.4044175,1.0,48,0.38712166666666664
