head_arm,env,band,n_cells,dead_step_rate,admitted_span
linear,vg_scale/siglip+dinov3_patch/max_patch,large,48,0.45365604575163393,0.4836826
linear,vg_scale/siglip+dinov3_patch/max_patch,medium,48,0.25388071895424835,0.74181455
linear,vg_scale/siglip+dinov3_patch/max_patch,small,48,0.09185049019607844,0.843584
linear,vg_scale/siglip+dinov3_patch/whole_image,large,48,0.2615604575163399,0.8702829
linear,vg_scale/siglip+dinov3_patch/whole_image,medium,48,0.21102941176470588,0.9299789
linear,vg_scale/siglip+dinov3_patch/whole_image,small,48,0.2269812091503268,0.922175
linear,vg_scale/siglip/whole_image,large,48,0.2565563725490196,0.73307616
linear,vg_scale/siglip/whole_image,medium,48,0.09166666666666667,0.9438603
linear,vg_scale/siglip/whole_image,small,48,0.07234477124183007,0.94213176
svm,vg_scale/siglip+dinov3_patch/max_patch,large,48,0.39695669934640526,0.5549904
svm,vg_scale/siglip+dinov3_patch/max_patch,medium,48,0.1761029411764706,0.80429775
svm,vg_scale/siglip+dinov3_patch/max_patch,small,48,0.08705065359477125,0.88579637
svm,vg_scale/siglip+dinov3_patch/whole_image,large,48,0.2485702614379085,0.84200144
svm,vg_scale/siglip+dinov3_patch/whole_image,medium,48,0.12448937908496732,0.93338275
svm,vg_scale/siglip+dinov3_patch/whole_image,small,48,0.09487336601307189,0.9416706
svm,vg_scale/siglip/whole_image,large,48,0.26209150326797387,0.7139685
svm,vg_scale/siglip/whole_image,medium,48,0.08133169934640523,0.93241525
svm,vg_scale/siglip/whole_image,small,48,0.06121323529411765,0.93506926
