head_arm,offset,env,inclusion_k,n,mean_gap,collapse_rate
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-7,7344,-0.012129017,0.411900871459695
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-6,7344,-0.014740945,0.39324618736383443
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-5,7344,-0.018195534,0.37227668845315903
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-4,7344,-0.022529276,0.34477124183006536
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-3,7344,-0.030715074,0.30501089324618735
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-2,7344,-0.043017767,0.26456971677559915
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,-1,7344,-0.05716129,0.2327069716775599
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,0,7344,-0.07329807,0.16353485838779958
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,1,7344,-0.09912765,0.10702614379084967
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,2,7344,-0.1575107,0.08959694989106753
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,3,7344,-0.25412703,0.07911220043572985
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,4,7344,-0.3060001,0.07393790849673203
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,5,7344,-0.3021247,0.06658496732026144
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,6,7344,-0.23907202,0.06181917211328976
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,7,7344,-0.19132352,0.056508714596949894
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,8,7344,-0.15013419,0.053513071895424834
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,9,7344,-0.11332523,0.059095860566448805
svm,-3,vg_scale/siglip+dinov3_patch/max_patch,10,7344,-0.0834486,0.07434640522875817
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-7,7344,-0.0064947573,0.27056100217864926
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-6,7344,-0.0085662445,0.25272331154684097
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-5,7344,-0.011654548,0.23965141612200436
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-4,7344,-0.016970588,0.23025599128540306
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-3,7344,-0.02619424,0.21691176470588236
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-2,7344,-0.03999108,0.1945806100217865
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,-1,7344,-0.058342386,0.15917755991285404
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,0,7344,-0.08871841,0.051470588235294115
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,1,7344,-0.14993076,0.0006808278867102397
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,2,7344,-0.27805507,0.0
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,3,7344,-0.39566866,0.0
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,4,7344,-0.42762032,0.0
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,5,7344,-0.36078832,0.0
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,6,7344,-0.26638663,0.0002723311546840959
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,7,7344,-0.20205283,0.0014978213507625272
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,8,7344,-0.14709109,0.007352941176470588
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,9,7344,-0.1030497,0.046977124183006536
svm,-3,vg_scale/siglip+dinov3_patch/whole_image,10,7344,-0.07068444,0.1284041394335512
svm,-3,vg_scale/siglip/whole_image,-7,7344,-0.013641068,0.2540849673202614
svm,-3,vg_scale/siglip/whole_image,-6,7344,-0.016899033,0.2411492374727669
svm,-3,vg_scale/siglip/whole_image,-5,7344,-0.021087963,0.22372004357298475
svm,-3,vg_scale/siglip/whole_image,-4,7344,-0.027085308,0.2037037037037037
