head_arm,arm,env,cell,n_steps,dead_step_rate,knob_yield,admitted_span,quantile_span,inert_rate,band
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@large/s0,51,0.00980392156862745,0.9906629318394025,0.70024514,0.6940862,0.0,large
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@large/s1,51,0.014705882352941176,0.9859943977591036,0.69219613,0.6962617,0.0,large
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@large/s2,51,0.0,1.0,0.9172157,0.9075197,0.0,large
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@large/s3,51,0.000980392156862745,0.9990662931839401,0.90223527,0.90147847,0.0,large
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@medium/s0,51,0.014705882352941176,0.9859943977591036,0.9410686,0.94887775,0.0,medium
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@medium/s1,51,0.0029411764705882357,0.9971988795518206,0.96739215,0.97188866,0.0,medium
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@medium/s2,51,0.0,1.0,0.90307844,0.8945189,0.0,medium
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@medium/s3,51,0.004901960784313725,0.9953314659197011,0.8937549,0.89651775,0.0,medium
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@small/s0,51,0.000980392156862745,0.9990662931839401,0.91017646,0.9202104,0.0,small
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@small/s1,51,0.000980392156862745,0.9990662931839401,0.9380784,0.954323,0.0,small
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@small/s2,51,0.000980392156862745,0.9990662931839401,0.91937256,0.9171664,0.0,small
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,vg_scale/siglip+dinov3_patch/max_patch/backpack@small/s3,51,0.00196078431372549,0.9981325863678805,0.96473527,0.9663327,0.0,small
