head_arm,arm,env,n_cells,dead_step_rate,knob_yield,admitted_span,quantile_span,inert_rate
linear,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,0.3094907407407408,0.7052469135802469,0.5198982,0.51539123,0.1111111111111111
svm,fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,0.22704248366013072,0.7837690631808278,0.6163894,0.6150556,0.07992919389978213
linear,fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,1.0,0.047619047619047616,0.0,0.0,1.0
svm,fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,1.0,0.047619047619047616,0.0,0.0,1.0
linear,fold_anchored_w0.3_mid_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,0.2664624183006536,0.7462262682850918,0.6896937,0.6964487,0.06018518518518518
svm,fold_anchored_w0.3_mid_tilt_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,0.22003676470588238,0.7904411764705883,0.7483615,0.7566045,0.034722222222222224
linear,fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,144,0.16964188453159043,0.8384363004461044,0.09576681,0.099999994,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/max_patch,144,0.12077205882352941,0.8849789915966386,0.09912241,0.099999994,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,144,0.2071214596949891,0.8027414669571532,0.17776363,0.2,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/max_patch,144,0.1633169934640523,0.8444600062247121,0.18617654,0.2,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,144,0.26348039215686275,0.7490662931839402,0.31201082,0.4,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/max_patch,144,0.22876497821350764,0.7821285921776118,0.32528958,0.4,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,144,0.36035539215686274,0.6568043884220355,0.50897276,0.8,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/max_patch,144,0.33903186274509806,0.6771125116713352,0.52480114,0.8,0.0
linear,fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,144,0.41943082788671027,0.6005420686793236,0.8792079,1.6,0.0
svm,fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/max_patch,144,0.4087214052287582,0.6107415188297541,0.89425004,1.6,0.0
linear,fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/max_patch,144,0.18732979302832245,0.8215906733063596,0.69053054,0.6964487,0.06018518518518518
