env,metric,left,right,n_cells,d,ci_lo,ci_hi,left_mean,right_mean
vg_scale/siglip+dinov3_patch/max_patch,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.005""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,-0.09926470588235295,-0.12437227668845315,-0.07679261982570809,0.12077205882352941,0.22003676470588235
vg_scale/siglip+dinov3_patch/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.005""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,-0.07570806100217865,-0.08659449891067537,-0.06506672113289762,0.08026960784313725,0.15597766884531591
vg_scale/siglip/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.005""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,-0.07056100217864923,-0.08569580610021786,-0.058100830610021796,0.06431781045751633,0.13487881263616558
vg_scale/siglip+dinov3_patch/max_patch,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.01""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,-0.056719771241830065,-0.07976136982570806,-0.03745046977124184,0.1633169934640523,0.22003676470588235
vg_scale/siglip+dinov3_patch/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.01""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,-0.04951661220043573,-0.059565802015250545,-0.04021514161220044,0.10646105664488018,0.15597766884531591
vg_scale/siglip/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.01""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,-0.04512527233115468,-0.05798083469498911,-0.0350691040305011,0.0897535403050109,0.13487881263616558
vg_scale/siglip+dinov3_patch/max_patch,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.02""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.008728213507625268,-0.016619859749455346,0.033430861928104565,0.2287649782135076,0.22003676470588235
vg_scale/siglip+dinov3_patch/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.02""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.04332107843137255,0.026933040577342044,0.059771241830065346,0.19929874727668842,0.15597766884531591
vg_scale/siglip/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.02""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.024591503267973856,0.006542585784313724,0.04185763888888888,0.1594703159041394,0.13487881263616558
vg_scale/siglip+dinov3_patch/max_patch,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.04""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.1189950980392157,0.08663330610021786,0.1493811274509804,0.33903186274509806,0.22003676470588235
vg_scale/siglip+dinov3_patch/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.04""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.1770356753812636,0.15796177151416121,0.1948086873638344,0.3330133442265795,0.15597766884531591
vg_scale/siglip/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.04""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.1681644880174292,0.1448446010348584,0.18972732843137255,0.3030433006535948,0.13487881263616558
vg_scale/siglip+dinov3_patch/max_patch,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.08""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.1886846405228758,0.14791087962962962,0.22425806781045754,0.4087214052287582,0.22003676470588235
vg_scale/siglip+dinov3_patch/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.08""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.24731072984749453,0.22614225898692808,0.2678582856753813,0.40328839869281047,0.15597766884531591
vg_scale/siglip/whole_image,dead_step_rate,"{""arm"": ""fold_anchored_w0.3_q_tilt_qmean_s0.08""}","{""arm"": ""fold_anchored_w0.3_mid_tilt_qmean""}",144,0.25583469498910677,0.22855647467320261,0.2795040168845316,0.39071350762527235,0.13487881263616558
