dataset,embedder,seed,trust_k10,trust_k50,cont_k10,shepard,purity_embedding,purity_layout,containment_core,containment_unit,noise,purity_drop
caltech101_m,clip,0,0.9855059448244844,0.9276054305724012,0.9886388927174994,0.5526077374392945,0.959307875894988,0.9803102625298328,0.8863863564036739,0.8823955654109853,0.0035799522673031,-0.021002386634844772
caltech101_m,clip,1,0.9850799776570356,0.9382958331703118,0.9887487214456188,0.3758447411154994,0.959307875894988,0.9804295942720764,0.8858500700395487,0.8746252081094775,0.0071599045346062,-0.021121718377088428
caltech101_m,clip,2,0.9847314854444292,0.9355512500489064,0.989393475564196,0.533036467772336,0.959307875894988,0.9793556085918856,0.8871164614277257,0.8692498803171763,0.013126491646778,-0.020047732696897635
coco_val,clip,0,0.9576073825878147,0.9341726380577876,0.9610239794493772,0.3361575211121449,0.8782666666666668,0.8810333333333333,0.8939951600717448,0.713148606335934,0.248,-0.002766666666666584
coco_val,clip,1,0.9541433629306976,0.9322869823901522,0.9599319707377004,0.3391942200977994,0.8735666666666666,0.8716666666666667,0.8932731678806206,0.7279148923836795,0.153,0.0018999999999999018
coco_val,clip,2,0.9589904729993856,0.936079079044851,0.96207967833808,0.3188421873281614,0.8744666666666667,0.8776,0.8957394279991119,0.6853957932029128,0.2503333333333333,-0.0031333333333333213
vg_box_large,clip,0,0.9548897191042608,0.9365287194392204,0.9610192215334784,0.4060267949915718,0.5019,0.4740666666666667,0.8940597720500411,0.7452859627461823,0.1696666666666666,0.02783333333333332
vg_box_large,clip,1,0.9592672362763164,0.9398974616743604,0.9611778969118222,0.3816611582237756,0.5198999999999999,0.4921666666666666,0.8973341610912929,0.7074355366904029,0.1546666666666666,0.027733333333333332
vg_box_large,clip,2,0.9555342268386664,0.9377437966603978,0.9604201932205284,0.3496993255552786,0.5127333333333333,0.4777666666666667,0.8959150916620742,0.6878690369371468,0.1816666666666666,0.03496666666666659
vg_scale_any,clip,0,0.9556652593957672,0.9290641180828632,0.9570363768358744,0.3544878376228479,0.3121433796634967,0.286100950987564,0.8952843569196894,0.6930114776890745,0.2476666666666666,0.026042428675932705
vg_scale_any,clip,1,0.9530177360808624,0.9299298865903004,0.95582648126431,0.3303977697389474,0.3200889547813195,0.2878428465530022,0.8938499585935803,0.7261691824732541,0.1646666666666666,0.032246108228317305
