dataset,embedder,seed,ks_in,n,median_p_out,resolvable
caltech101_m,clip,0,0.1271739368853361,69,0.0062500000931322,True
caltech101_m,clip,1,0.078894903694374,69,0.0062500000931322,True
caltech101_m,clip,2,0.0777173793834188,69,0.0062500000931322,True
coco_val,clip,0,0.0269127446826141,808,0.3812301158905029,True
coco_val,clip,1,0.0351325019751445,808,0.3981972336769104,True
coco_val,clip,2,0.0467960942204635,808,0.3891834616661072,True
vg_box_large,clip,0,0.0187848138953103,787,0.1692098081111908,True
vg_box_large,clip,1,0.0320819699627926,787,0.191280648112297,True
vg_box_large,clip,2,0.0317031786205505,787,0.1923705786466598,True
vg_scale_any,clip,0,0.064981542693244,90,0.0805687233805656,True
vg_scale_any,clip,1,0.0975250151422288,90,0.0758293867111206,True
vg_scale_any,clip,2,0.0726171824667188,90,0.0710900500416755,True
visual_genome_m,clip,0,0.0418001871842604,494,0.1623263955116272,True
visual_genome_m,clip,1,0.0594529996999362,494,0.1427951380610466,True
visual_genome_m,clip,2,0.0509903631229632,494,0.1519097238779068,True
caltech101_m,clip_l,0,0.0884963887325231,69,0.0062500000931322,True
caltech101_m,clip_l,1,0.091847820126492,69,0.0062500000931322,True
caltech101_m,clip_l,2,0.1143116061238275,69,0.0062500000931322,True
coco_val,clip_l,0,0.0299969498473818,808,0.3981972336769104,True
coco_val,clip_l,1,0.0323199877644529,808,0.4021739065647125,True
coco_val,clip_l,2,0.0446502389294085,808,0.4034994840621948,True
vg_box_large,clip_l,0,0.0292976076562038,787,0.2163487672805786,True
vg_box_large,clip_l,1,0.0343912869805453,787,0.225613072514534,True
vg_box_large,clip_l,2,0.0248693719297988,787,0.2267030030488968,True
vg_scale_any,clip_l,0,0.0595576504866282,90,0.1090047359466552,True
vg_scale_any,clip_l,1,0.1229068001111348,90,0.1469194293022155,True
vg_scale_any,clip_l,2,0.0704581360022227,90,0.1232227459549903,True
visual_genome_m,clip_l,0,0.0275599051583633,494,0.1744791716337204,True
visual_genome_m,clip_l,1,0.040443637351758,494,0.1614583283662796,True
visual_genome_m,clip_l,2,0.034592169740422,494,0.1684027761220932,True
caltech101_m,dinov3_patch,0,0.1635869326798812,69,0.0062500000931322,True
caltech101_m,dinov3_patch,1,0.139945652173913,69,0.0062500000931322,True
caltech101_m,dinov3_patch,2,0.0982789855072463,69,0.0062500000931322,True
coco_val,dinov3_patch,0,0.0412628748039207,808,0.1519088000059127,True
coco_val,dinov3_patch,1,0.0412681244387485,808,0.1834570467472076,True
coco_val,dinov3_patch,2,0.0347873161334802,808,0.178950160741806,True
vg_box_large,dinov3_patch,0,0.0278967706796628,787,0.1073569506406784,True
vg_box_large,dinov3_patch,1,0.0372801627561431,787,0.0978201664984226,True
vg_box_large,dinov3_patch,2,0.0357125082646119,787,0.1111716628074646,True
vg_scale_any,dinov3_patch,0,0.1226961745156182,90,0.0473933666944503,True
vg_scale_any,dinov3_patch,1,0.0958398911688063,90,0.028436018154025,True
vg_scale_any,dinov3_patch,2,0.0965244988600412,90,0.0426540300250053,True
visual_genome_m,dinov3_patch,0,0.049036342967377,494,0.1145833358168602,True
visual_genome_m,dinov3_patch,1,0.0265547418401308,494,0.1063368059694767,True
visual_genome_m,dinov3_patch,2,0.0452162088894168,494,0.0885416641831398,True
caltech101_m,siglip,0,0.1058877050012782,69,0.0062500000931322,True
caltech101_m,siglip,1,0.0854166547457376,69,0.0062500000931322,True
caltech101_m,siglip,2,0.1532608814861463,69,0.0062500000931322,True
coco_val,siglip,0,0.0286950255089467,808,0.2865853756666183,True
coco_val,siglip,1,0.0372376353433816,808,0.2831389307975769,True
coco_val,siglip,2,0.0408376543828756,808,0.2765111327171325,True
vg_box_large,siglip,0,0.027907842980861,787,0.1400544941425323,True
vg_box_large,siglip,1,0.0287284180048612,787,0.1416893750429153,True
vg_box_large,siglip,2,0.0479460230624964,787,0.1520435959100723,True
vg_scale_any,siglip,0,0.0969984213511149,90,0.0805687233805656,True
vg_scale_any,siglip,1,0.1102159076266818,90,0.0710900500416755,True
vg_scale_any,siglip,2,0.078672981262207,90,0.0805687233805656,True
visual_genome_m,siglip,0,0.0338893371072375,494,0.1449652761220932,True
visual_genome_m,siglip,1,0.0421832628578309,494,0.1423611044883728,True
visual_genome_m,siglip,2,0.0382085020242914,494,0.140625,True
caltech101_m,siglip2_l,0,0.1771739190039427,69,0.0062500000931322,True
caltech101_m,siglip2_l,1,0.0836050605428391,69,0.0062500000931322,True
caltech101_m,siglip2_l,2,0.141394903694374,69,0.0062500000931322,True
coco_val,siglip2_l,0,0.0350629368630966,808,0.2218981981277465,True
coco_val,siglip2_l,1,0.0412956924721745,808,0.2256097570061683,True
coco_val,siglip2_l,2,0.0354999764130847,808,0.2232237607240677,True
vg_box_large,siglip2_l,0,0.0294035573169266,787,0.1694822832942009,True
vg_box_large,siglip2_l,1,0.035211832202223,787,0.1596730202436447,True
vg_box_large,siglip2_l,2,0.0470119122477317,787,0.1689373254776001,True
vg_scale_any,siglip2_l,0,0.0677198542488946,90,0.0947867333889007,True
vg_scale_any,siglip2_l,1,0.0749868247244093,90,0.0805687233805656,True
vg_scale_any,siglip2_l,2,0.0600315729777017,90,0.1042653992772102,True
visual_genome_m,siglip2_l,0,0.0480452935222671,494,0.1328125,True
visual_genome_m,siglip2_l,1,0.0281608517956637,494,0.1375868022441864,True
visual_genome_m,siglip2_l,2,0.0517213638977482,494,0.1323784738779068,True
