embedder,dataset,enriched,plain,w0,w1,w2,w3,w4,n_queries,extra_s_per_query
bge,20newsgroups_l,1.052,0.595,0.625,0.586,0.581,0.616,0.588,15,0.030466666666666673
bge,20newsgroups_m,0.824,0.385,0.347,0.345,0.351,0.377,0.348,15,0.029266666666666663
bge,20newsgroups_s,0.704,0.233,0.251,0.232,0.23,0.23,0.23,15,0.0314
clap,esc50_l,1.971,0.697,0.672,0.672,0.668,0.672,0.672,50,0.02548
clap,esc50_m,1.801,0.532,0.506,0.506,0.502,0.505,0.506,50,0.02538
clap,esc50_s,1.683,0.725,0.398,0.397,0.394,0.397,0.397,50,0.01916
clap_general,esc50_l,1.954,0.698,0.675,0.675,0.673,0.675,0.677,50,0.02512
clap_general,esc50_m,1.787,0.602,0.506,0.506,0.503,0.506,0.508,50,0.023700000000000002
clap_general,esc50_s,1.761,1.279,0.415,0.414,0.408,0.41,0.412,50,0.00964
e5,20newsgroups_l,1.094,0.612,0.605,0.606,0.607,0.608,0.608,15,0.03213333333333334
e5,20newsgroups_m,0.854,0.371,0.362,0.363,0.363,0.363,0.363,15,0.0322
e5,20newsgroups_s,0.729,0.242,0.241,0.241,0.24,0.24,0.241,15,0.032466666666666665
siglip,caltech101_m,0.735,0.262,0.256,0.256,0.256,0.255,0.256,25,0.01892
siglip,caltech101_s,0.662,0.193,0.186,0.186,0.186,0.186,0.186,25,0.018760000000000002
siglip,caltech256_a,1.178,0.723,0.712,0.711,0.719,0.712,0.712,25,0.018199999999999997
siglip,enrico_a,0.632,0.293,0.272,0.269,0.261,0.26,0.262,18,0.018833333333333334
siglip,enrico_m,0.462,0.148,0.129,0.129,0.13,0.13,0.132,18,0.017444444444444446
siglip,rico_screen2words_a,1.493,1.105,1.181,1.186,1.184,1.185,1.186,16,0.024250000000000008
siglip,rico_screen2words_m,0.731,0.422,0.413,0.416,0.416,0.413,0.414,16,0.0193125
siglip,rvl_cdip_a,0.529,0.166,0.231,0.232,0.231,0.232,0.231,16,0.0226875
siglip,rvl_cdip_m,0.414,0.129,0.118,0.118,0.118,0.118,0.118,16,0.0178125
siglip,vggface2_faces_m,1.329,0.594,0.581,0.582,0.59,0.58,0.58,40,0.018375
siglip,vggface2_faces_s,1.069,0.344,0.333,0.332,0.332,0.332,0.332,40,0.018125
siglip,visual_genome_m,1.996,1.278,1.259,1.261,1.261,1.257,1.262,40,0.01795
siglip,visual_genome_s,1.454,0.733,0.715,0.715,0.713,0.712,0.714,40,0.018025
xclip,ucf101_l,0.284,0.016,0.069,0.069,0.069,0.069,0.069,10,0.026799999999999997
xclip,ucf101_m,0.271,0.008,0.06,0.06,0.06,0.059,0.06,10,0.0263
xclip,ucf101_s,0.258,0.339,0.053,0.053,0.052,0.053,0.053,10,-0.008100000000000001
