embedder,media_type,corpus,dataset,n_pairs,n_clusters,n_datasets,map_plain,map_arm,delta,se_cluster,se_naive,t,helped,hurt,n_media
clap,audio,esc50,esc50_l,50,50,1,0.8660983400000001,0.8541281000000001,-0.011970239999999997,0.008933873726969545,0.008933873726969545,-1.339871187552638,16,27,1127
clap,audio,esc50,esc50_m,50,50,1,0.8502679000000001,0.83655784,-0.013710060000000003,0.00918783116262961,0.009187831162629608,-1.4921976424386216,13,24,588
clap,audio,esc50,esc50_s,50,50,1,0.8633681400000001,0.85875214,-0.004615999999999998,0.011007276565832927,0.011007276565832927,-0.41935895517772903,12,14,245
clap_general,audio,esc50,esc50_l,50,50,1,0.8842160199999999,0.89573286,0.011516839999999995,0.009773311422580517,0.009773311422580517,1.1783969119607898,27,16,1127
clap_general,audio,esc50,esc50_m,50,50,1,0.8690979400000001,0.8853552200000001,0.016257280000000006,0.011267126277842501,0.011267126277842498,1.4428949848526105,16,21,588
clap_general,audio,esc50,esc50_s,50,50,1,0.89501026,0.9090447,0.014034439999999999,0.009989068939479878,0.009989068939479878,1.4049797919134954,11,7,245
siglip,image,caltech101,caltech101_m,25,25,1,0.9898213200000001,0.98819336,-0.001627959999999997,0.0017045632788488675,0.0017045632788488675,-0.9550598796774489,3,2,838
siglip,image,caltech101,caltech101_s,25,25,1,0.99351616,0.99419772,0.0006815600000000011,0.0006662259028287622,0.0006662259028287622,1.0230163629275462,2,0,412
siglip,image,caltech256,caltech256_a,25,25,1,0.9948466,0.99387112,-0.0009754800000000152,0.0008286489246961007,0.0008286489246961008,-1.1771933456110661,8,14,3800
siglip,image,enrico,enrico_a,18,18,1,0.23354644444444445,0.2419836666666667,0.008437222222222214,0.0053701298152269315,0.0053701298152269315,1.5711393416037323,10,7,1454
siglip,image,enrico,enrico_m,18,18,1,0.23486383333333333,0.24615455555555554,0.011290722222222223,0.004357217607576523,0.004357217607576523,2.5912688415169844,11,5,414
siglip,image,rico_screen2words,rico_screen2words_a,16,16,1,0.33678637499999997,0.3330608125,-0.0037255624999999962,0.002134166187626034,0.002134166187626034,-1.7456759092150043,2,12,10703
siglip,image,rico_screen2words,rico_screen2words_m,16,16,1,0.3301416875,0.32616631249999994,-0.003975374999999998,0.0021967449781343145,0.0021967449781343145,-1.8096661376580299,4,10,3058
siglip,image,rvl_cdip,rvl_cdip_a,16,16,1,0.4892465,0.48269074999999995,-0.006555750000000004,0.00448825005291595,0.00448825005291595,-1.4606472283648344,6,10,1600
siglip,image,rvl_cdip,rvl_cdip_m,16,16,1,0.497877125,0.49510862499999997,-0.0027685,0.005096705838905492,0.005096705838905492,-0.5431939938276937,10,6,448
siglip,image,vggface2_faces,vggface2_faces_m,40,40,1,0.611440275,0.6030399,-0.008400375000000002,0.005289681860397156,0.005289681860397156,-1.5880680959080005,15,21,1600
siglip,image,vggface2_faces,vggface2_faces_s,40,40,1,0.634672975,0.6304392,-0.004233775,0.004563522895449486,0.004563522895449486,-0.9277426884878143,14,19,600
siglip,image,visual_genome,visual_genome_m,40,40,1,0.541638575,0.5438713500000001,0.0022327750000000085,0.0048725290512990505,0.00487252905129905,0.45823739099200134,16,24,4193
siglip,image,visual_genome,visual_genome_s,40,40,1,0.41136149999999994,0.41610742500000003,0.004745924999999996,0.0036756769612649206,0.0036756769612649206,1.2911703204643883,21,13,2096
bge,text,20newsgroups,20newsgroups_l,15,15,1,0.5743439333333332,0.5170242666666668,-0.05731966666666665,0.00954920498693685,0.00954920498693685,-6.002559034503812,0,15,4775
bge,text,20newsgroups,20newsgroups_m,15,15,1,0.5701895333333333,0.5073424666666665,-0.06284706666666665,0.009669038685888393,0.009669038685888393,-6.499825753969692,0,15,2389
bge,text,20newsgroups,20newsgroups_s,15,15,1,0.5840816,0.5272285999999998,-0.05685300000000001,0.009102314021850761,0.009102314021850761,-6.245994135504476,0,15,1194
e5,text,20newsgroups,20newsgroups_l,15,15,1,0.6079695333333334,0.5496921333333334,-0.05827740000000002,0.008862575492485245,0.008862575492485245,-6.575673183197661,0,15,4775
e5,text,20newsgroups,20newsgroups_m,15,15,1,0.6021052666666667,0.5411619333333334,-0.06094333333333333,0.009357906445591582,0.00935790644559158,-6.512496538372975,0,15,2389
e5,text,20newsgroups,20newsgroups_s,15,15,1,0.6212727999999998,0.5701277333333333,-0.05114506666666666,0.008731040434628108,0.00873104043462811,-5.857843294806038,0,15,1194
xclip,video,ucf101,ucf101_l,10,10,1,0.8114250999999999,0.8213757000000002,0.009950600000000014,0.01208341050752367,0.01208341050752367,0.8234926715271592,4,5,236
xclip,video,ucf101,ucf101_m,10,10,1,0.7897017999999999,0.7969423000000001,0.007240500000000013,0.019121933044572433,0.019121933044572433,0.3786489568352064,2,5,114
xclip,video,ucf101,ucf101_s,10,10,1,0.8569364,0.8622881,0.005351700000000026,0.014525220381613644,0.014525220381613644,0.3684419140913229,2,2,55
