embedder,media_type,arm,wrapper,map_plain,map_arm,delta,se_cluster,se_naive,n_pairs,n_clusters,helped,hurt
clap,audio,w0,the sound of {text},0.85991146,0.8510388733333333,-0.008872586666666666,0.013562976068412901,0.00900396673157353,150,50,44,64
clap,audio,w1,a recording of {text},0.85991146,0.8363464866666668,-0.023564973333333336,0.011283544770714974,0.007474277327226395,150,50,44,70
clap,audio,w2,{text},0.85991146,0.85991146,0.0,0.0,0.0,150,50,0,0
clap,audio,w3,audio of {text},0.85991146,0.8172477133333335,-0.04266374666666666,0.01286243893653024,0.008825829301608733,150,50,32,82
clap,audio,w4,the noise of {text},0.85991146,0.82499824,-0.03491322,0.013534021530799894,0.008968839317382014,150,50,38,76
clap_general,audio,w0,the sound of {text},0.88277474,0.8967748,0.01400006,0.012044387269961697,0.007772193660631797,150,50,54,46
clap_general,audio,w1,a recording of {text},0.88277474,0.8847030133333332,0.001928273333333336,0.009318538591099148,0.006500772634939361,150,50,44,54
clap_general,audio,w2,{text},0.88277474,0.88277474,0.0,0.0,0.0,150,50,0,0
clap_general,audio,w3,audio of {text},0.88277474,0.8842559799999999,0.00148124,0.01681999698404054,0.011059572605573779,150,50,51,45
clap_general,audio,w4,the noise of {text},0.88277474,0.87857018,-0.004204559999999998,0.011706589999890124,0.007605987059795657,150,50,44,59
siglip,image,w0,a photo of {text},0.5890010358208956,0.5829102597014926,-0.0060907761194029875,0.002408744696208137,0.0018263648987567006,335,180,102,168
siglip,image,w1,a photograph of {text},0.5890010358208956,0.5815334477611941,-0.007467588059701494,0.0026390777678300522,0.002115271468920689,335,180,97,173
siglip,image,w2,an image of {text},0.5890010358208956,0.5869519253731343,-0.0020491104477611964,0.0024676093066608993,0.0018981108968909534,335,180,128,143
siglip,image,w3,{text},0.5890010358208956,0.5890010358208956,0.0,0.0,0.0,335,180,0,0
siglip,image,w4,a picture of {text},0.5890010358208956,0.5844735701492537,-0.004527465671641793,0.0021807818935931597,0.0016373908625064131,335,180,120,149
bge,text,w0,a document about {text},0.5762050222222223,0.4912732888888887,-0.08493173333333331,0.014788553983108787,0.008718524962203508,45,15,3,42
bge,text,w1,an article discussing {text},0.5762050222222223,0.4846854222222221,-0.09151959999999999,0.012927682261986418,0.0075492573546319525,45,15,0,45
bge,text,w2,{text},0.5762050222222223,0.5762050222222223,0.0,0.0,0.0,45,15,0,0
bge,text,w3,a text passage about {text},0.5762050222222223,0.45165806666666664,-0.12454695555555556,0.01857582714404861,0.010803845869675886,45,15,0,45
bge,text,w4,writing on the topic of {text},0.5762050222222223,0.4892728444444445,-0.08693217777777776,0.012495204237354115,0.007487055819258718,45,15,0,45
e5,text,w0,a document about {text},0.6104491999999999,0.509500488888889,-0.10094871111111113,0.01531303122090286,0.008886706386770575,45,15,0,45
e5,text,w1,an article discussing {text},0.6104491999999999,0.5166541999999998,-0.09379500000000002,0.01386713189768255,0.00815448305435963,45,15,2,43
e5,text,w2,{text},0.6104491999999999,0.6104491999999999,0.0,0.0,0.0,45,15,0,0
e5,text,w3,a text passage about {text},0.6104491999999999,0.5010893333333333,-0.10935986666666668,0.015785368657618714,0.009243127768075572,45,15,0,45
e5,text,w4,writing on the topic of {text},0.6104491999999999,0.48343626666666667,-0.12701293333333333,0.014316501492226769,0.00843062367238952,45,15,0,45
xclip,video,w0,a video of {text},0.8193544333333332,0.8255650666666666,0.006210633333333338,0.020971824920943134,0.015612803259709597,30,10,9,12
xclip,video,w1,a media showing {text},0.8193544333333332,0.8331420333333335,0.013787600000000014,0.021661111444404555,0.016480549902219296,30,10,11,11
xclip,video,w2,{text},0.8193544333333332,0.8193544333333332,0.0,0.0,0.0,30,10,0,0
xclip,video,w3,footage of {text},0.8193544333333332,0.7766570333333334,-0.04269739999999999,0.013727956883475698,0.010514736297063355,30,10,3,22
xclip,video,w4,a video media of {text},0.8193544333333332,0.8232895666666666,0.003935133333333339,0.022441081822924897,0.015845216685803847,30,10,8,13
