dataset,geometry,category,seed,n_draws,first_divergent_click,last_click_compared,never_diverged
vg_scale_any,dinov3_patch/max_patch,bicycle,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bicycle,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bicycle,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bicycle,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bicycle,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bird,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bird,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bird,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bird,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,bird,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,fork,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,fork,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,fork,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,fork,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,fork,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,kite,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,kite,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,kite,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,kite,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,kite,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,knife,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,knife,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,knife,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,knife,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/max_patch,knife,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bicycle,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bicycle,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bicycle,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bicycle,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bicycle,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bird,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bird,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bird,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bird,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,bird,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,fork,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,fork,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,fork,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,fork,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,fork,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,kite,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,kite,1,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,kite,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,kite,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,kite,4,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,knife,0,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,knife,1,20,10.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,knife,2,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,knife,3,20,8.0,150.0,False
vg_scale_any,dinov3_patch/whole_image,knife,4,20,8.0,150.0,False
vg_scale_any,siglip/whole_image,bicycle,0,20,8.0,150.0,False
vg_scale_any,siglip/whole_image,bicycle,1,20,8.0,150.0,False
vg_scale_any,siglip/whole_image,bicycle,2,20,8.0,150.0,False
vg_scale_any,siglip/whole_image,bicycle,3,20,8.0,150.0,False
