dataset,geometry,category,seed,mode,band,metric,n,mean,sd,range,p05,p95,pin_value,pin_percentile
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,cost,20.0,0.24915642400000002,0.030458266394641904,0.11394133999999997,0.19599712500000002,0.299045879,0.2712235,0.775
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,f1,20.0,0.288884048,0.0555777930624709,0.19607841999999998,0.202506682,0.36333624500000006,0.29930876,0.425
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,auroc,20.0,0.9458488760000001,0.01170512934166736,0.04023426000000008,0.9257369049999999,0.9624842849999999,0.93737082,0.275
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,threshold,20.0,0.446224128,0.02863210158782172,0.10320537999999996,0.391549203,0.47774787300000005,0.45808726,0.525
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,oracle_cost,20.0,0.224378565,0.03301081976313691,0.11848122,0.176744447,0.274775435,0.25988136,0.875
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,regret,20.0,0.024777876,0.015180661558491343,0.06393364,0.011879424999999999,0.046241750000000026,0.0113422,0.025
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,deep 101-150,n_good,20.0,39.861000000000004,22.64761957980527,64.94,8.711,70.706,59.02,0.725
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,cost,20.0,0.45944024545454554,0.051783682652338923,0.1753982272727273,0.39615944545454546,0.5160814727272728,0.40819045454545455,0.275
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,f1,20.0,0.19247370454545454,0.06700111676124608,0.23069099999999998,0.12024046818181819,0.30170229545454547,0.2363490909090909,0.675
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,auroc,20.0,0.8680469613636363,0.0160168984578835,0.06844881818181814,0.8531078386363635,0.8903783477272728,0.8604368636363637,0.425
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,threshold,20.0,0.4512369318181818,0.012579826966931724,0.0465939090909091,0.431370125,0.46643988636363637,0.43904154545454543,0.175
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,oracle_cost,20.0,0.36525354318181813,0.02946003493972357,0.11989554545454545,0.3280378931818182,0.3976222590909091,0.3456375,0.225
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,regret,20.0,0.09418677500000001,0.03433151022299643,0.1517033636363636,0.05496699090909091,0.14052176818181822,0.06255318181818181,0.125
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,early 1-25,n_good,20.0,5.643181818181818,1.3152727345483117,4.499999999999999,4.2704545454545455,7.863636363636364,4.909090909090909,0.375
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,cost,20.0,0.3011154525,0.06492268983532092,0.22371602499999996,0.23668781125,0.42534677,0.261360225,0.275
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,f1,20.0,0.29517156874999995,0.07989041385439992,0.251010225,0.1681509325,0.393378775,0.392354725,0.925
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,auroc,20.0,0.9225767749999999,0.030223570972289823,0.1011108249999999,0.8681993075,0.95447742625,0.9491211249999999,0.875
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,threshold,20.0,0.43936154875,0.03637154607089722,0.12163269999999998,0.38418823750000003,0.48090713999999996,0.46441972499999995,0.725
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,oracle_cost,20.0,0.274439705,0.055831690249508056,0.19107395,0.20142832500000002,0.37536394250000005,0.231606625,0.225
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,regret,20.0,0.026675739999999996,0.01336257581909808,0.04482997500000001,0.013427015,0.04998279875000001,0.02975365,0.675
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,late 61-100,n_good,20.0,26.517500000000002,16.09466873974439,48.4,5.95625,48.917500000000004,32.25,0.625
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,mid 26-60,cost,20.0,0.35183623857142854,0.07433616790128833,0.23170328571428564,0.25613494714285717,0.4749483614285714,0.3379024,0.575
vg_scale_any,dinov3_patch/max_patch,bicycle,0,region,mid 26-60,f1,20.0,0.28773957142857143,0.10811106768239209,0.3205973999999999,0.14450386714285715,0.4516540171428572,0.28263457142857146,0.425
