geometry,band,n_blocks,median_sd_draw,median_range_draw,paired_floor_se,n_cells_per_arm,median_share_draw
dinov3_patch/max_patch,deep 101-150,25,0.025217375029384544,0.10255541999999995,0.004604041714887139,60,0.7871995251806636
dinov3_patch/max_patch,early 1-25,25,0.033065661112258914,0.12916504545454544,0.0060369361566685225,60,0.5307407196601045
dinov3_patch/max_patch,late 61-100,25,0.029493170828243702,0.11282745,0.0053846916516608,60,0.8349464775288241
dinov3_patch/max_patch,mid 26-60,25,0.035266475427438944,0.13727411428571432,0.0064387480384366525,60,0.8425889718118353
dinov3_patch/whole_image,deep 101-150,25,0.03493377509741135,0.12706954000000004,0.00637800554655481,60,0.7560567461423131
dinov3_patch/whole_image,early 1-25,25,0.039047980691690375,0.15761236363636366,0.007129153283288332,60,0.6396231169129455
dinov3_patch/whole_image,late 61-100,25,0.05497715820419153,0.20638485000000012,0.010037409898655304,60,0.7964497767144444
dinov3_patch/whole_image,mid 26-60,25,0.059799304109879915,0.23022039999999994,0.010917809261364207,60,0.8531688090937013
siglip/whole_image,deep 101-150,25,0.029187548798634916,0.12071606000000001,0.005328892958431718,60,0.9100107216097986
siglip/whole_image,early 1-25,25,0.02220333078900025,0.0973896818181818,0.0040537550416281385,60,0.5062256506675955
siglip/whole_image,late 61-100,25,0.0366993995185713,0.12602645000000007,0.006700362987738578,60,0.8064575840330223
siglip/whole_image,mid 26-60,25,0.03080649119017257,0.10810908571428574,0.005624470047480563,60,0.8737526888728817
