dataset,embedder,category,seed,supports_text,query,n_test,n_test_pos,prevalence,text_gmm_cut,text_cost,text_fpr,text_fnr,text_precision,text_recall,text_f1,text_oracle_cost,text_AP,text_auroc
vg_scale_any,siglip,fork,0,1,a fork,6815,152,0.022304,-0.008739,0.438993,0.39952,0.039474,0.051994,0.960526,0.098649,0.253721,0.443817,0.925281
vg_scale_any,siglip,fork,1,1,a fork,6815,142,0.020836,-0.008739,0.453012,0.403716,0.049296,0.04772,0.950704,0.090878,0.261781,0.379079,0.924853
vg_scale_any,siglip,fork,2,1,a fork,6815,149,0.021864,-0.008739,0.445009,0.40474,0.040268,0.050334,0.959732,0.095652,0.259451,0.422099,0.931711
vg_scale_any,siglip,fork,3,1,a fork,6815,163,0.023918,-0.008739,0.442101,0.405292,0.03681,0.05503,0.96319,0.104111,0.26366,0.446776,0.92897
vg_scale_any,siglip,fork,4,1,a fork,6815,145,0.021277,-0.008739,0.43928,0.404798,0.034483,0.049296,0.965517,0.093802,0.293403,0.378171,0.919502
vg_scale_any,siglip,bicycle,0,1,a bicycle,6821,153,0.022431,-0.01686,0.398017,0.319586,0.078431,0.06206,0.921569,0.116289,0.329841,0.495862,0.908409
vg_scale_any,siglip,bicycle,1,1,a bicycle,6821,148,0.021698,-0.01686,0.393821,0.319496,0.074324,0.060379,0.925676,0.113364,0.328134,0.47809,0.910832
vg_scale_any,siglip,bicycle,2,1,a bicycle,6821,165,0.02419,-0.01686,0.378614,0.324069,0.054545,0.067445,0.945455,0.125908,0.313332,0.543969,0.927707
vg_scale_any,siglip,bicycle,3,1,a bicycle,6821,142,0.020818,-0.01686,0.383034,0.326696,0.056338,0.057858,0.943662,0.109032,0.287456,0.510016,0.921838
vg_scale_any,siglip,bicycle,4,1,a bicycle,6821,156,0.022871,-0.01686,0.402805,0.325881,0.076923,0.062176,0.923077,0.116505,0.291089,0.531045,0.919914
vg_scale_any,siglip,knife,0,1,a knife,6783,133,0.019608,-0.015503,0.666015,0.485564,0.180451,0.032654,0.819549,0.062806,0.655338,0.144565,0.744509
vg_scale_any,siglip,knife,1,1,a knife,6783,165,0.024326,-0.015503,0.644144,0.480508,0.163636,0.041591,0.836364,0.079242,0.599049,0.141334,0.76435
vg_scale_any,siglip,knife,2,1,a knife,6783,154,0.022704,-0.015503,0.661529,0.47971,0.181818,0.038113,0.818182,0.072832,0.631523,0.133718,0.746702
vg_scale_any,siglip,knife,3,1,a knife,6783,143,0.021082,-0.015503,0.682531,0.472741,0.20979,0.034748,0.79021,0.066568,0.5993,0.142456,0.745796
vg_scale_any,siglip,knife,4,1,a knife,6783,162,0.023883,-0.015503,0.668929,0.477571,0.191358,0.039781,0.808642,0.075832,0.617018,0.155199,0.754873
vg_scale_any,siglip,bird,0,1,a bird,6875,148,0.021527,-0.002773,0.526302,0.445221,0.081081,0.043437,0.918919,0.082952,0.284342,0.626317,0.904846
vg_scale_any,siglip,bird,1,1,a bird,6875,163,0.023709,-0.002773,0.550186,0.452026,0.09816,0.046212,0.90184,0.087919,0.354851,0.593723,0.882855
vg_scale_any,siglip,bird,2,1,a bird,6875,148,0.021527,-0.002773,0.510573,0.456519,0.054054,0.0436,0.945946,0.083358,0.259974,0.722484,0.929219
vg_scale_any,siglip,bird,3,1,a bird,6875,160,0.023273,-0.002773,0.526675,0.451675,0.075,0.046526,0.925,0.088596,0.27997,0.675434,0.909863
vg_scale_any,siglip,bird,4,1,a bird,6875,148,0.021527,-0.002773,0.527045,0.445964,0.081081,0.043367,0.918919,0.082826,0.306396,0.639003,0.902379
vg_scale_any,siglip,kite,0,1,a kite in the sky,6880,163,0.023692,-0.018985,0.473723,0.473723,0.0,0.048729,1.0,0.09293,0.075189,0.863867,0.989788
vg_scale_any,siglip,kite,1,1,a kite in the sky,6880,149,0.021657,-0.018985,0.472738,0.472738,0.0,0.044731,1.0,0.085632,0.071293,0.886193,0.989832
vg_scale_any,siglip,kite,2,1,a kite in the sky,6880,150,0.021802,-0.018985,0.479624,0.472957,0.006667,0.044718,0.993333,0.085583,0.094641,0.847167,0.983245
vg_scale_any,siglip,kite,3,1,a kite in the sky,6880,130,0.018895,-0.018985,0.485778,0.485778,0.0,0.038134,1.0,0.073467,0.072103,0.839301,0.992948
vg_scale_any,siglip,kite,4,1,a kite in the sky,6880,162,0.023547,-0.018985,0.47276,0.47276,0.0,0.048532,1.0,0.092571,0.051108,0.905185,0.994757
vg_scale_any,siglip+dinov3_patch,fork,0,1,a fork,6815,152,0.022304,-0.008739,0.438993,0.39952,0.039474,0.051994,0.960526,0.098649,0.253721,0.443817,0.925281
vg_scale_any,siglip+dinov3_patch,fork,1,1,a fork,6815,142,0.020836,-0.008739,0.453012,0.403716,0.049296,0.04772,0.950704,0.090878,0.261781,0.379079,0.924853
vg_scale_any,siglip+dinov3_patch,fork,2,1,a fork,6815,149,0.021864,-0.008739,0.445009,0.40474,0.040268,0.050334,0.959732,0.095652,0.259451,0.422099,0.931711
vg_scale_any,siglip+dinov3_patch,fork,3,1,a fork,6815,163,0.023918,-0.008739,0.442101,0.405292,0.03681,0.05503,0.96319,0.104111,0.26366,0.446776,0.92897
vg_scale_any,siglip+dinov3_patch,fork,4,1,a fork,6815,145,0.021277,-0.008739,0.43928,0.404798,0.034483,0.049296,0.965517,0.093802,0.293403,0.378171,0.919502
vg_scale_any,siglip+dinov3_patch,bicycle,0,1,a bicycle,6821,153,0.022431,-0.01686,0.398017,0.319586,0.078431,0.06206,0.921569,0.116289,0.329841,0.495862,0.908409
vg_scale_any,siglip+dinov3_patch,bicycle,1,1,a bicycle,6821,148,0.021698,-0.01686,0.393821,0.319496,0.074324,0.060379,0.925676,0.113364,0.328134,0.47809,0.910832
vg_scale_any,siglip+dinov3_patch,bicycle,2,1,a bicycle,6821,165,0.02419,-0.01686,0.378614,0.324069,0.054545,0.067445,0.945455,0.125908,0.313332,0.543969,0.927707
vg_scale_any,siglip+dinov3_patch,bicycle,3,1,a bicycle,6821,142,0.020818,-0.01686,0.383034,0.326696,0.056338,0.057858,0.943662,0.109032,0.287456,0.510016,0.921838
vg_scale_any,siglip+dinov3_patch,bicycle,4,1,a bicycle,6821,156,0.022871,-0.01686,0.402805,0.325881,0.076923,0.062176,0.923077,0.116505,0.291089,0.531045,0.919914
vg_scale_any,siglip+dinov3_patch,knife,0,1,a knife,6783,133,0.019608,-0.015503,0.666015,0.485564,0.180451,0.032654,0.819549,0.062806,0.655338,0.144565,0.744509
vg_scale_any,siglip+dinov3_patch,knife,1,1,a knife,6783,165,0.024326,-0.015503,0.644144,0.480508,0.163636,0.041591,0.836364,0.079242,0.599049,0.141334,0.76435
vg_scale_any,siglip+dinov3_patch,knife,2,1,a knife,6783,154,0.022704,-0.015503,0.661529,0.47971,0.181818,0.038113,0.818182,0.072832,0.631523,0.133718,0.746702
vg_scale_any,siglip+dinov3_patch,knife,3,1,a knife,6783,143,0.021082,-0.015503,0.682531,0.472741,0.20979,0.034748,0.79021,0.066568,0.5993,0.142456,0.745796
vg_scale_any,siglip+dinov3_patch,knife,4,1,a knife,6783,162,0.023883,-0.015503,0.668929,0.477571,0.191358,0.039781,0.808642,0.075832,0.617018,0.155199,0.754873
vg_scale_any,siglip+dinov3_patch,bird,0,1,a bird,6875,148,0.021527,-0.002773,0.526302,0.445221,0.081081,0.043437,0.918919,0.082952,0.284342,0.626317,0.904846
vg_scale_any,siglip+dinov3_patch,bird,1,1,a bird,6875,163,0.023709,-0.002773,0.550186,0.452026,0.09816,0.046212,0.90184,0.087919,0.354851,0.593723,0.882855
vg_scale_any,siglip+dinov3_patch,bird,2,1,a bird,6875,148,0.021527,-0.002773,0.510573,0.456519,0.054054,0.0436,0.945946,0.083358,0.259974,0.722484,0.929219
vg_scale_any,siglip+dinov3_patch,bird,3,1,a bird,6875,160,0.023273,-0.002773,0.526675,0.451675,0.075,0.046526,0.925,0.088596,0.27997,0.675434,0.909863
vg_scale_any,siglip+dinov3_patch,bird,4,1,a bird,6875,148,0.021527,-0.002773,0.527045,0.445964,0.081081,0.043367,0.918919,0.082826,0.306396,0.639003,0.902379
vg_scale_any,siglip+dinov3_patch,kite,0,1,a kite in the sky,6880,163,0.023692,-0.018985,0.473723,0.473723,0.0,0.048729,1.0,0.09293,0.075189,0.863867,0.989788
vg_scale_any,siglip+dinov3_patch,kite,1,1,a kite in the sky,6880,149,0.021657,-0.018985,0.472738,0.472738,0.0,0.044731,1.0,0.085632,0.071293,0.886193,0.989832
vg_scale_any,siglip+dinov3_patch,kite,2,1,a kite in the sky,6880,150,0.021802,-0.018985,0.479624,0.472957,0.006667,0.044718,0.993333,0.085583,0.094641,0.847167,0.983245
vg_scale_any,siglip+dinov3_patch,kite,3,1,a kite in the sky,6880,130,0.018895,-0.018985,0.485778,0.485778,0.0,0.038134,1.0,0.073467,0.072103,0.839301,0.992948
vg_scale_any,siglip+dinov3_patch,kite,4,1,a kite in the sky,6880,162,0.023547,-0.018985,0.47276,0.47276,0.0,0.048532,1.0,0.092571,0.051108,0.905185,0.994757
