geometry,mode,category,band,metric,n_seeds,n_draws,sd_draw,sd_seed,seed_var_was_negative,share_draw
dinov3_patch/max_patch,region,bicycle,deep 101-150,cost,5,20,0.03673165515593751,0.013625393465768122,False,0.8790439251757051
dinov3_patch/max_patch,region,bicycle,deep 101-150,f1,5,20,0.05026933730424823,0.02508402392487798,False,0.8006446486991633
dinov3_patch/max_patch,region,bicycle,deep 101-150,auroc,5,20,0.016210153265641573,0.009021601495901461,False,0.7635120850404518
dinov3_patch/max_patch,region,bicycle,deep 101-150,threshold,5,20,0.02391192226757774,0.014181551881289113,False,0.7397886660137605
dinov3_patch/max_patch,region,bicycle,deep 101-150,oracle_cost,5,20,0.039216173702058765,0.01781105074991287,False,0.8289976931480478
dinov3_patch/max_patch,region,bicycle,deep 101-150,regret,5,20,0.016864592891534008,0.007747009102732504,False,0.8257525827572122
dinov3_patch/max_patch,region,bicycle,deep 101-150,n_good,5,20,20.65642904381358,14.547247109260733,False,0.6684647801479403
dinov3_patch/max_patch,region,bicycle,early 1-25,cost,5,20,0.04905540746211223,0.04612667160111427,False,0.5307407196601045
dinov3_patch/max_patch,region,bicycle,early 1-25,f1,5,20,0.05194613764546728,0.053295813188312724,False,0.4871776074992758
dinov3_patch/max_patch,region,bicycle,early 1-25,auroc,5,20,0.02225760553705589,0.020350368122180194,False,0.5446729427620542
dinov3_patch/max_patch,region,bicycle,early 1-25,threshold,5,20,0.015298489503162434,0.004514025362059095,False,0.919910351124023
dinov3_patch/max_patch,region,bicycle,early 1-25,oracle_cost,5,20,0.03568371534267877,0.03537476324967047,False,0.5043477746618277
dinov3_patch/max_patch,region,bicycle,early 1-25,regret,5,20,0.036982374601570875,0.04878831109733144,False,0.36491401680646174
dinov3_patch/max_patch,region,bicycle,early 1-25,n_good,5,20,1.5392589716542768,0.19650484190615455,False,0.9839637715994202
dinov3_patch/max_patch,region,bicycle,late 61-100,cost,5,20,0.05420043010898624,0.0227752139955354,False,0.8499274322187375
dinov3_patch/max_patch,region,bicycle,late 61-100,f1,5,20,0.07616126293522009,0.024057832893199647,False,0.9092725292196979
dinov3_patch/max_patch,region,bicycle,late 61-100,auroc,5,20,0.025516265318834722,0.012758651317931817,False,0.799986990933257
dinov3_patch/max_patch,region,bicycle,late 61-100,threshold,5,20,0.02978180367381575,0.016160095637446532,False,0.7725392712795738
dinov3_patch/max_patch,region,bicycle,late 61-100,oracle_cost,5,20,0.051607053718747006,0.027562909617794826,False,0.7780562234526558
dinov3_patch/max_patch,region,bicycle,late 61-100,regret,5,20,0.019970778392317288,0.0043903161562494,False,0.9538996425552269
dinov3_patch/max_patch,region,bicycle,late 61-100,n_good,5,20,15.414533779674844,10.454456738588247,False,0.6849392980045484
dinov3_patch/max_patch,region,bicycle,mid 26-60,cost,5,20,0.060583959296874,0.03089802672669048,False,0.7935856105045478
dinov3_patch/max_patch,region,bicycle,mid 26-60,f1,5,20,0.09377757216560882,0.04419093166208217,False,0.8182911089449953
