geometry,mode,category,seed,band,n_draws,best_draw,best,worst_draw,worst,range,pin
dinov3_patch/max_patch,region,bicycle,2,deep 101-150,20,13,0.19248021999999998,14,0.43137802000000003,0.23889780000000005,0.2405418
dinov3_patch/max_patch,region,kite,0,deep 101-150,20,1,0.11788232000000001,5,0.29617647999999996,0.17829415999999995,0.1477304
dinov3_patch/max_patch,region,kite,4,deep 101-150,20,11,0.0939034,16,0.26449378,0.17059038,0.16862304000000003
dinov3_patch/max_patch,region,bicycle,4,deep 101-150,20,17,0.18622194,8,0.3436455,0.15742356,0.25880954
dinov3_patch/max_patch,region,knife,4,deep 101-150,20,4,0.11071636,16,0.26158354,0.15086718,0.21258876000000002
dinov3_patch/max_patch,region,bird,2,deep 101-150,20,8,0.2215934,14,0.34779879999999996,0.12620539999999997,0.27601084
dinov3_patch/max_patch,region,kite,3,deep 101-150,20,12,0.08922648000000001,14,0.21197973999999997,0.12275325999999996,0.17417964000000002
dinov3_patch/max_patch,region,knife,1,deep 101-150,20,10,0.13949704000000002,16,0.25850106,0.11900401999999999,0.20561266
dinov3_patch/max_patch,region,bird,4,deep 101-150,20,6,0.29568842,0,0.41466674,0.11897831999999997,0.3890025
dinov3_patch/max_patch,region,kite,2,deep 101-150,20,8,0.09818146,16,0.21531113999999998,0.11712967999999999,0.12086556
dinov3_patch/max_patch,region,bicycle,0,deep 101-150,20,16,0.19480744000000003,8,0.30874878,0.11394133999999997,0.2712235
dinov3_patch/max_patch,region,knife,2,deep 101-150,20,1,0.15815358,13,0.26129432,0.10314074000000004,0.19560732000000003
dinov3_patch/max_patch,region,bird,1,deep 101-150,20,14,0.3403617,1,0.44291711999999994,0.10255541999999995,0.40241678000000003
dinov3_patch/max_patch,region,knife,3,deep 101-150,20,18,0.15596578,15,0.25185216,0.09588638,0.19326944000000001
dinov3_patch/max_patch,region,bicycle,1,deep 101-150,20,11,0.22543802,14,0.32084512,0.0954071,0.2341594
dinov3_patch/max_patch,region,bird,3,deep 101-150,20,17,0.25669094000000003,4,0.34150424,0.08481329999999998,0.33763528
dinov3_patch/max_patch,region,bird,0,deep 101-150,20,11,0.30363416,42,0.38644436,0.0828102,0.38644436
dinov3_patch/max_patch,region,bicycle,3,deep 101-150,20,42,0.20458638,12,0.28469442,0.08010803999999999,0.20458638
dinov3_patch/max_patch,region,kite,1,deep 101-150,20,9,0.07647071999999999,10,0.14956012,0.0730894,0.11327126
dinov3_patch/max_patch,region,knife,0,deep 101-150,20,9,0.15486916,2,0.22500456,0.07013539999999999,0.17066166
dinov3_patch/max_patch,region,fork,0,deep 101-150,20,42,0.10846102,2,0.17683437999999999,0.06837335999999998,0.10846102
dinov3_patch/max_patch,region,fork,1,deep 101-150,20,2,0.1255468,6,0.19037916,0.06483236,0.12717902
dinov3_patch/max_patch,region,fork,4,deep 101-150,20,7,0.10413792000000001,15,0.1543299,0.05019197999999998,0.14666868
dinov3_patch/max_patch,region,fork,2,deep 101-150,20,8,0.10974439999999999,11,0.15959198,0.04984758,0.13591662
dinov3_patch/max_patch,region,fork,3,deep 101-150,20,5,0.13378506,3,0.18315056,0.04936549999999998,0.17936612
dinov3_patch/whole_image,binary,knife,4,deep 101-150,20,12,0.23161268,14,0.68300438,0.45139169999999995,0.32502628
dinov3_patch/whole_image,binary,knife,1,deep 101-150,20,8,0.2584841,6,0.64364292,0.38515882,0.38732218
dinov3_patch/whole_image,binary,knife,2,deep 101-150,20,0,0.2822289,42,0.60849968,0.32627078,0.60849968
