arm,n_bucket,resampled,samples,n_median,init_ms,refit_ms,fit_ms,iter_median,refit_speedup_median,fit_speedup_median
baseline,<1k,0,24,351.0,0.47650000000000003,0.6180000000000001,1.095,3.0,1.0,1.0
free1e-3,<1k,0,24,351.0,0.47650000000000003,0.599,1.0785,3.0,1.064505497668528,1.0359664141268703
free1e-4,<1k,0,24,351.0,0.47650000000000003,0.6065,1.0875,3.0,1.0496803652968036,1.028933800335023
free1e-5,<1k,0,24,351.0,0.47650000000000003,0.6130000000000001,1.0904999999999998,3.0,1.0397823479610553,1.0236346366347275
free1e-6,<1k,0,24,351.0,0.47650000000000003,0.612,1.09,3.0,1.0118359775529338,1.0078000102480018
iter25,<1k,0,24,351.0,0.47650000000000003,0.6180000000000001,1.0985,3.0,1.000749276852154,1.0004304023604873
iter400,<1k,0,24,351.0,0.47650000000000003,0.6154999999999999,1.0955,3.0,0.9957129889420696,0.99597065043679
ll1e-3,<1k,0,24,351.0,0.47650000000000003,0.704,1.1745,3.0,0.9099306070328517,0.9459510287416317
ll1e-4,<1k,0,24,351.0,0.47650000000000003,0.7025,1.1785,3.0,0.8730803354090092,0.9165162823360335
ll1e-5,<1k,0,24,351.0,0.47650000000000003,0.7055,1.183,3.0,0.8580728467856081,0.9053030303030303
ll1e-6,<1k,0,24,351.0,0.47650000000000003,0.7,1.182,3.0,0.8657881666735987,0.9111404989426204
ll1e-7,<1k,0,24,351.0,0.47650000000000003,0.695,1.176,3.0,0.8663335160366163,0.9117077848353738
ll1e-8,<1k,0,24,351.0,0.47650000000000003,0.695,1.177,3.0,0.8695464807545386,0.913763235268129
ll1e-9,<1k,0,24,351.0,0.47650000000000003,0.6965000000000001,1.1735,3.0,0.8641844138341717,0.905836782591845
param1e-6,<1k,0,24,351.0,0.47650000000000003,0.48950000000000005,0.9655,2.0,0.9981342263531985,0.9995483288166216
baseline,1k-5k,0,60,2081.0,1.869,30.1295,32.05049999999999,134.5,1.0,1.0
free1e-3,1k-5k,0,60,2081.0,1.869,0.5820000000000001,2.6395,2.0,48.243980550750386,12.366150437853369
free1e-4,1k-5k,0,60,2081.0,1.869,1.866,3.7169999999999996,8.0,15.765973745747196,8.76830203271943
free1e-5,1k-5k,0,60,2081.0,1.869,4.4645,7.373,19.5,6.0133171751526335,4.636120075030226
free1e-6,1k-5k,0,60,2081.0,1.869,8.2225,11.2955,37.5,3.6363770811972755,2.8254374285860404
iter25,1k-5k,0,60,2081.0,1.869,5.7185,7.592,25.0,5.271121638328866,4.230396674558767
iter400,1k-5k,0,60,2081.0,1.869,30.165999999999997,32.4775,134.5,0.9976691204014476,0.997812994345697
ll1e-3,1k-5k,0,60,2081.0,1.869,0.6745,2.8225,2.0,33.05484440739859,10.789489287706129
ll1e-4,1k-5k,0,60,2081.0,1.869,2.758,4.898,10.5,10.556156383782021,6.138245158550533
ll1e-5,1k-5k,0,60,2081.0,1.869,6.181000000000001,8.76,24.5,4.840603369658615,3.7631516846784585
ll1e-6,1k-5k,0,60,2081.0,1.869,9.036,12.018,36.0,3.1094230979946955,2.6739295120157656
ll1e-7,1k-5k,0,60,2081.0,1.869,12.429499999999999,14.850999999999999,51.0,2.351547524441111,2.1562689706323077
ll1e-8,1k-5k,0,60,2081.0,1.869,16.1185,18.237,64.5,1.9315995201537237,1.7794949472018304
ll1e-9,1k-5k,0,60,2081.0,1.869,18.533,21.0005,75.0,1.6540832066347495,1.5640114758908377
param1e-6,1k-5k,0,60,2081.0,1.869,20.299,23.170499999999997,90.0,1.464483242660215,1.388592170057289
baseline,20000,1,84,20000.0,5.4535,98.51750000000001,105.1935,141.5,1.0,1.0
free1e-3,20000,1,84,20000.0,5.4535,1.7495,7.2505,2.0,57.1165539549131,11.122465797994028
free1e-4,20000,1,84,20000.0,5.4535,4.81,10.629,6.0,10.167191222249302,5.793125516084299
free1e-5,20000,1,84,20000.0,5.4535,12.8055,19.399,16.5,4.670446389994506,3.5417684442657578
free1e-6,20000,1,84,20000.0,5.4535,20.297,28.8275,26.5,2.9480440221409205,2.381225422107592
iter25,20000,1,84,20000.0,5.4535,17.4915,22.9715,25.0,5.648812369480405,4.252012349454885
iter400,20000,1,84,20000.0,5.4535,98.0185,105.252,141.5,0.9926640899193162,0.9948157824368637
ll1e-3,20000,1,84,20000.0,5.4535,1.814,7.325,2.0,43.012708304759286,10.641360187903906
ll1e-4,20000,1,84,20000.0,5.4535,5.764,11.282,7.0,10.249996397082652,5.440122333576557
ll1e-5,20000,1,84,20000.0,5.4535,15.3805,22.298,19.0,4.260183649454573,3.2902637994106527
ll1e-6,20000,1,84,20000.0,5.4535,25.5435,34.7855,32.0,2.61298795002483,2.1892161594806816
ll1e-7,20000,1,84,20000.0,5.4535,34.38249999999999,42.1525,43.5,1.9840554222316595,1.7166395673880932
ll1e-8,20000,1,84,20000.0,5.4535,44.746500000000005,50.5535,56.0,1.6280818801989192,1.4625136407166228
ll1e-9,20000,1,84,20000.0,5.4535,54.546499999999995,59.732,69.0,1.3130631156265011,1.2388119473318286
param1e-6,20000,1,84,20000.0,5.4535,63.153,69.098,90.5,1.3538237554471872,1.256913470162855
baseline,50000,1,84,50000.0,13.707500000000001,188.537,202.18150000000003,132.0,1.0,1.0
free1e-3,50000,1,84,50000.0,13.707500000000001,4.467499999999999,18.166500000000003,2.0,41.656701496388024,9.78663062635477
free1e-4,50000,1,84,50000.0,13.707500000000001,12.048,26.766499999999997,6.5,9.123971689943502,5.394361452427797
free1e-5,50000,1,84,50000.0,13.707500000000001,26.426499999999997,46.262,15.0,4.253365679563871,3.2723122580642845
free1e-6,50000,1,84,50000.0,13.707500000000001,50.289,66.189,29.0,2.5672976490551513,2.2196381398737195
iter25,50000,1,84,50000.0,13.707500000000001,36.655,50.467,25.0,5.136554779075901,3.9049471458029297
iter400,50000,1,84,50000.0,13.707500000000001,188.611,202.35649999999998,132.0,0.9976458417445366,0.9980298962363203
ll1e-3,50000,1,84,50000.0,13.707500000000001,4.524500000000001,18.1775,2.0,39.93302324017027,9.74373115643165
ll1e-4,50000,1,84,50000.0,13.707500000000001,12.959999999999999,26.8385,7.0,9.002183696375166,5.272415105448875
ll1e-5,50000,1,84,50000.0,13.707500000000001,28.5305,48.9705,16.0,4.171128725389561,3.2473071998428633
ll1e-6,50000,1,84,50000.0,13.707500000000001,58.46,77.0715,33.5,2.4873995973281593,2.136595739051982
ll1e-7,50000,1,84,50000.0,13.707500000000001,76.7645,95.561,44.5,1.8020202836236199,1.6500630986642955
ll1e-8,50000,1,84,50000.0,13.707500000000001,97.89,119.22550000000001,57.0,1.355441792009628,1.3178013533497153
ll1e-9,50000,1,84,50000.0,13.707500000000001,115.0085,137.81949999999998,67.0,1.134505896108605,1.1030913408607006
param1e-6,50000,1,84,50000.0,13.707500000000001,119.80399999999999,141.56000000000003,83.5,1.1832799110491576,1.1126060433436746
