arm,folds,anchored_both,lost_anchored_fit,iter_median,iter_p90,hit_cap_pct,refit_speedup,fit_speedup,obj_better,obj_worse,obj_d_median,free_better,free_worse,d_midpoint_median,d_midpoint_max
ll1e-3,4516,4491,2,3.0,12.0,0.0,20.580725087876605,8.616850049758117,0,3786,-0.00113431850000012,961,2865,0.0066885482120275785,0.1492262268687653
ll1e-4,4516,4488,5,9.0,38.0,0.0,6.671668707052991,4.757980650779978,0,3708,-0.00019309069999995376,1546,2205,0.003727464351676507,0.12786239423349527
ll1e-5,4516,4493,0,19.0,63.0,0.26572187776793266,3.686174108527462,3.096424143568124,0,3682,-2.1742499999977127e-05,2129,1600,0.0013998057212383785,0.06869748104143697
ll1e-6,4516,4493,0,30.0,96.0,1.5500442869796238,2.424596260734697,2.202050710631561,0,3604,-2.1349000003390017e-06,2391,1274,0.00044719035480528246,0.057872708892625524
ll1e-7,4516,4493,0,40.0,130.5,4.6944198405668764,1.8397650911080936,1.7363532654031557,0,3438,-1.876999999872453e-07,2419,1105,0.00012941594970822257,0.018007092668253732
ll1e-8,4516,4493,0,50.0,167.5,7.661647475642164,1.5373823961492217,1.4809590521907998,0,3248,-1.6800000057770603e-08,2342,1035,3.7128905516492505e-05,0.0010177760880516473
ll1e-9,4516,4493,0,60.0,200.0,10.27457927369353,1.3454114438729632,1.3131827267077543,0,2651,-1.5000001241105565e-09,2245,1001,1.0390306572016783e-05,0.00021761732145308965
free1e-3,4516,4491,2,2.0,3.0,0.0,39.362378939221,10.578953045367182,0,3870,-0.001473864399999858,868,3039,0.007149961087853929,0.20822230188885538
free1e-4,4516,4491,2,7.0,26.0,0.0,10.617863195119183,6.314115157363283,0,3753,-0.00035264230000020547,1215,2578,0.0045716010442290456,0.19866187257091356
free1e-5,4516,4492,1,16.0,49.0,0.08857395925597755,5.043113613265604,3.9195561724770442,0,3672,-3.8019649999831984e-05,1947,1790,0.0015167411008696619,0.14423964863411265
free1e-6,4516,4491,2,30.0,83.0,1.4614703277236463,2.8999914773043662,2.555508043440335,0,3441,-2.573999999810894e-07,2292,1363,0.00014196650844960912,0.1330689025062981
param1e-6,4516,4493,0,76.0,200.0,15.655447298494241,1.2629015349408876,1.2397390727110071,0,0,0.0,2066,917,1.2600784108918184e-06,1.0788600017741512e-05
iter400,4516,4491,2,113.0,400.0,10.8503100088574,0.7750382974537983,0.7876662825912728,597,0,0.0,300,783,0.0,0.1390891938049627
iter25,4516,4485,8,25.0,25.0,81.53232949512844,5.223780930455261,4.018269550132742,0,3385,-9.06780000020646e-06,1659,1977,0.0007334331541561934,0.14570771555238038
