arm,cases,rate_reportable,thr_moved_pct,admitted_moved_pct,d_thr_median,d_thr_p90,d_adm_frac_median,d_adm_frac_p90,d_adm_frac_max,d_adm_median_of_changed,prov_changed,cut_speedup_median
ll1e-3,2258,True,80.46944198405669,80.3808680248007,0.007508285343647003,0.03458924293518065,0.03297756380574321,0.20286425643696254,0.46842325386867417,122.0,825,8.0786088433474
ll1e-4,2258,True,79.5837023914969,79.45084145261293,0.004010990262031583,0.014407712221145667,0.014645478258486347,0.06601428171039322,0.30173841059602646,53.0,821,4.53066183602563
ll1e-5,2258,True,77.0593445527015,77.0593445527015,0.0014312788844108582,0.005144968628883361,0.0052716950527169504,0.024258021863858514,0.08820709491850431,18.0,813,3.0753609319127704
ll1e-6,2258,True,72.14348981399469,72.14348981399469,0.00039353966712954436,0.0016398012638092205,0.0014992503748125937,0.006994055419842526,0.03146509341199607,6.0,796,2.284762458612714
ll1e-7,2258,True,58.23737821080602,58.23737821080602,6.549060344701596e-05,0.0005622625350952703,0.00041999160016799666,0.0019743336623889436,0.005394801373222168,2.0,743,1.8459332974216425
ll1e-8,2258,True,34.76527900797166,34.76527900797166,0.0,0.00019180327653884886,0.0,0.0004985790757403599,0.0024449877750611247,1.0,677,1.578880466658494
ll1e-9,2258,True,11.558901682905226,11.558901682905226,0.0,2.1387636661529527e-05,0.0,0.00040966816878328555,0.0024449877750611247,1.0,603,1.3983403342650855
free1e-3,2258,True,82.01948627103631,81.93091231178033,0.008478693664073972,0.04439147412776944,0.040290542461880796,0.2876632838021598,0.5488721804511278,137.0,826,9.428007263659651
free1e-4,2258,True,80.24800708591674,80.20372010628876,0.005342476069927216,0.023465165495872495,0.022440119475214,0.12521593249617965,0.4746192893401015,76.0,821,5.599131340971397
free1e-5,2258,True,75.73073516386182,75.73073516386182,0.002109199762344388,0.01132453531026842,0.008638420403126285,0.05135126802769739,0.46507737348389794,34.0,817,3.5776764366026286
free1e-6,2258,True,62.66607617360496,62.66607617360496,0.0003107860684395114,0.005238437652587869,0.0014367829274222776,0.02216729151831801,0.43175136497270056,16.0,802,2.3786664484789712
param1e-6,2258,True,1.5057573073516386,1.5057573073516386,0.0,0.0,0.0,0.0,0.0004985044865403788,1.0,432,1.2713727799340877
iter400,2258,True,13.507528786536756,13.507528786536756,0.0,0.00012736171483993528,0.0,0.0009589107237699772,0.3555926544240401,7.0,585,0.9929263728167
iter25,2258,True,70.72630646589903,70.63773250664305,0.0013287514448165894,0.023672038316726682,0.005846938135963645,0.1451253114122166,0.5588972431077694,42.0,1503,3.5644011715160566
