arm,dataset,embedder,style,cases,changed,d_adm_frac_median,d_adm_frac_p90,admitted_moved_pct
ll1e-3,visual_genome_m,siglip,whole_image,319,317,0.05732801595214357,0.1593996499787253,99.3730407523511
ll1e-4,visual_genome_m,siglip,whole_image,319,318,0.031484257871064465,0.07050492894926459,99.68652037617555
ll1e-5,visual_genome_m,siglip,whole_image,319,316,0.011644832605531296,0.03073769777102311,99.05956112852665
ll1e-6,visual_genome_m,siglip,whole_image,319,309,0.0035070140280561123,0.009610764055742432,96.86520376175548
ll1e-7,visual_genome_m,siglip,whole_image,319,260,0.0009847365829640572,0.0024606682882714315,81.50470219435736
ll1e-8,visual_genome_m,siglip,whole_image,319,146,0.0,0.000501002004008016,45.76802507836991
ll1e-9,visual_genome_m,siglip,whole_image,319,40,0.0,0.0004819281592112008,12.539184952978056
free1e-3,visual_genome_m,siglip,whole_image,319,317,0.05794947994056464,0.17718685586133334,99.3730407523511
free1e-4,visual_genome_m,siglip,whole_image,319,316,0.03766296475132786,0.08443804680289542,99.05956112852665
free1e-5,visual_genome_m,siglip,whole_image,319,317,0.019540791402051783,0.04477039655356529,99.3730407523511
free1e-6,visual_genome_m,siglip,whole_image,319,297,0.008902077151335312,0.021792509944022948,93.10344827586206
param1e-6,visual_genome_m,siglip,whole_image,319,2,0.0,0.0,0.6269592476489029
iter400,visual_genome_m,siglip,whole_image,319,107,0.0,0.010621907434154585,33.542319749216304
iter25,visual_genome_m,siglip,whole_image,319,310,0.01830776843146957,0.08628870938679122,97.17868338557994
ll1e-3,visual_genome_m,dinov3_patch,max_patch,317,312,0.01651287032540068,0.11906169198117193,98.42271293375394
ll1e-4,visual_genome_m,dinov3_patch,max_patch,317,307,0.007208073041806823,0.03921065968429633,96.84542586750788
ll1e-5,visual_genome_m,dinov3_patch,max_patch,317,293,0.002898550724637681,0.01271410084112499,92.42902208201893
ll1e-6,visual_genome_m,dinov3_patch,max_patch,317,256,0.0009847365829640572,0.0039370307805987785,80.7570977917981
ll1e-7,visual_genome_m,dinov3_patch,max_patch,317,180,0.0004828585224529213,0.0014499778670367493,56.782334384858046
ll1e-8,visual_genome_m,dinov3_patch,max_patch,317,93,0.0,0.0004961302138721494,29.337539432176655
ll1e-9,visual_genome_m,dinov3_patch,max_patch,317,34,0.0,0.00047869860008170894,10.725552050473187
free1e-3,visual_genome_m,dinov3_patch,max_patch,317,313,0.018407960199004977,0.3111024630541872,98.73817034700315
free1e-4,visual_genome_m,dinov3_patch,max_patch,317,303,0.01016456921587609,0.10514535082325634,95.58359621451105
free1e-5,visual_genome_m,dinov3_patch,max_patch,317,254,0.0024378352023403218,0.03229088078424915,80.12618296529969
free1e-6,visual_genome_m,dinov3_patch,max_patch,317,151,0.0,0.008025776926093483,47.63406940063091
param1e-6,visual_genome_m,dinov3_patch,max_patch,317,6,0.0,0.0,1.8927444794952681
iter400,visual_genome_m,dinov3_patch,max_patch,317,14,0.0,0.0,4.416403785488959
iter25,visual_genome_m,dinov3_patch,max_patch,317,222,0.0014807502467917078,0.06718821635858183,70.03154574132492
ll1e-3,visual_genome_m,dinov3_patch,whole_image,317,317,0.1292647765497357,0.3163489718881152,100.0
ll1e-4,visual_genome_m,dinov3_patch,whole_image,317,316,0.0469208211143695,0.11488372299536316,99.6845425867508
ll1e-5,visual_genome_m,dinov3_patch,whole_image,317,312,0.015225933202357564,0.040561537871832816,98.42271293375394
ll1e-6,visual_genome_m,dinov3_patch,whole_image,317,300,0.004008016032064128,0.010375509275020968,94.6372239747634
ll1e-7,visual_genome_m,dinov3_patch,whole_image,317,254,0.0009751340809361287,0.0024521859830257714,80.12618296529969
ll1e-8,visual_genome_m,dinov3_patch,whole_image,317,159,0.00047824007651841227,0.0009648789105370719,50.1577287066246
ll1e-9,visual_genome_m,dinov3_patch,whole_image,317,47,0.0,0.00048520135856380397,14.826498422712934
free1e-3,visual_genome_m,dinov3_patch,whole_image,317,317,0.15717092337917485,0.38944555778223117,100.0
free1e-4,visual_genome_m,dinov3_patch,whole_image,317,317,0.07003891050583658,0.3078561086274855,100.0
free1e-5,visual_genome_m,dinov3_patch,whole_image,317,315,0.029814271749755622,0.21970731678865046,99.36908517350157
free1e-6,visual_genome_m,dinov3_patch,whole_image,317,290,0.008801955990220049,0.06737323497012393,91.4826498422713
param1e-6,visual_genome_m,dinov3_patch,whole_image,317,5,0.0,0.0,1.5772870662460567
iter400,visual_genome_m,dinov3_patch,whole_image,317,104,0.0,0.008976850077767521,32.80757097791798
iter25,visual_genome_m,dinov3_patch,whole_image,317,305,0.0704647676161919,0.3283316265063199,96.21451104100946
ll1e-3,caltech101_m,siglip,whole_image,239,27,0.0,0.002971196106207587,11.297071129707113
ll1e-4,caltech101_m,siglip,whole_image,239,23,0.0,0.0,9.623430962343097
ll1e-5,caltech101_m,siglip,whole_image,239,19,0.0,0.0,7.949790794979079
ll1e-6,caltech101_m,siglip,whole_image,239,10,0.0,0.0,4.184100418410042
ll1e-7,caltech101_m,siglip,whole_image,239,4,0.0,0.0,1.6736401673640167
ll1e-8,caltech101_m,siglip,whole_image,239,2,0.0,0.0,0.8368200836820083
ll1e-9,caltech101_m,siglip,whole_image,239,2,0.0,0.0,0.8368200836820083
free1e-3,caltech101_m,siglip,whole_image,239,41,0.0,0.10850499028636815,17.15481171548117
free1e-4,caltech101_m,siglip,whole_image,239,34,0.0,0.00787299368463099,14.225941422594142
free1e-5,caltech101_m,siglip,whole_image,239,12,0.0,0.0,5.02092050209205
free1e-6,caltech101_m,siglip,whole_image,239,8,0.0,0.0,3.3472803347280333
param1e-6,caltech101_m,siglip,whole_image,239,0,0.0,0.0,0.0
iter400,caltech101_m,siglip,whole_image,239,2,0.0,0.0,0.8368200836820083
iter25,caltech101_m,siglip,whole_image,239,19,0.0,0.0,7.949790794979079
ll1e-3,caltech101_m,dinov3_patch,whole_image,228,25,0.0,0.002436659349549968,10.964912280701755
ll1e-4,caltech101_m,dinov3_patch,whole_image,228,19,0.0,0.0,8.333333333333334
ll1e-5,caltech101_m,dinov3_patch,whole_image,228,9,0.0,0.0,3.9473684210526314
ll1e-6,caltech101_m,dinov3_patch,whole_image,228,6,0.0,0.0,2.6315789473684212
ll1e-7,caltech101_m,dinov3_patch,whole_image,228,3,0.0,0.0,1.3157894736842106
ll1e-8,caltech101_m,dinov3_patch,whole_image,228,0,0.0,0.0,0.0
ll1e-9,caltech101_m,dinov3_patch,whole_image,228,0,0.0,0.0,0.0
free1e-3,caltech101_m,dinov3_patch,whole_image,228,44,0.0,0.09702983516616902,19.29824561403509
free1e-4,caltech101_m,dinov3_patch,whole_image,228,26,0.0,0.002436659349549968,11.403508771929825
free1e-5,caltech101_m,dinov3_patch,whole_image,228,15,0.0,0.0,6.578947368421052
free1e-6,caltech101_m,dinov3_patch,whole_image,228,4,0.0,0.0,1.7543859649122806
param1e-6,caltech101_m,dinov3_patch,whole_image,228,0,0.0,0.0,0.0
iter400,caltech101_m,dinov3_patch,whole_image,228,1,0.0,0.0,0.43859649122807015
iter25,caltech101_m,dinov3_patch,whole_image,228,10,0.0,0.0,4.385964912280702
ll1e-3,coco_val,siglip,whole_image,280,267,0.0702930839252364,0.182510448244176,95.35714285714286
ll1e-4,coco_val,siglip,whole_image,280,267,0.02707880069187665,0.06405260809376376,95.35714285714286
ll1e-5,coco_val,siglip,whole_image,280,260,0.008382266482650273,0.020559363660440515,92.85714285714286
ll1e-6,coco_val,siglip,whole_image,280,254,0.002496362176607627,0.006221484861053505,90.71428571428571
ll1e-7,coco_val,siglip,whole_image,280,210,0.0008143322475570033,0.0020567667626491155,75.0
ll1e-8,coco_val,siglip,whole_image,280,132,0.0,0.0008193363375665711,47.142857142857146
ll1e-9,coco_val,siglip,whole_image,280,43,0.0,0.00041220115416323167,15.357142857142858
