arm,n_bucket,resampled,samples,n_median,seconds_median,seconds_p90,speedup_median,speedup_min
baseline,<1k,0,48,373.5,0.005379,0.009140600000000002,1.0,1.0
native,<1k,0,48,373.5,0.0005369999999999999,0.0011165000000000003,9.49857711281706,4.4343271555197425
native_10k,<1k,0,48,373.5,0.000539,0.0011652000000000001,9.546333505498797,4.333070866141732
native_iter50,<1k,0,48,373.5,0.00044699999999999997,0.008908899999999999,13.32490878418141,0.8015911051471294
native_ll1e-4,<1k,0,48,373.5,0.000508,0.0018780000000000003,9.773948996285062,0.5368181530876682
native_ll1e-5,<1k,0,48,373.5,0.0005124999999999999,0.012827700000000018,9.675807390165843,0.4747868891823748
native_param1e-8,<1k,0,48,373.5,0.0004555,0.0353199,13.317237965883194,0.20696603339090386
sklearn_kmeanspp,<1k,0,48,373.5,0.005568999999999999,0.010919900000000001,0.9344537710617029,0.49654096009449084
sklearn_spherical,<1k,0,48,373.5,0.004214,0.007063200000000001,1.2775372516914598,1.1505021323428257
baseline,1k-5k,0,120,2088.5,0.0141995,0.0283022,1.0,1.0
native,1k-5k,0,120,2088.5,0.0018110000000000001,0.003902,7.515217801418965,5.356602186711522
native_10k,1k-5k,0,120,2088.5,0.0018055,0.0040207,7.566240073868883,5.356602186711522
native_iter50,1k-5k,0,120,2088.5,0.011821499999999999,0.0126356,1.2194655857183418,0.587669730960614
native_ll1e-4,1k-5k,0,120,2088.5,0.003475,0.0080424,4.126149209943078,1.0468661453020516
native_ll1e-5,1k-5k,0,120,2088.5,0.006232,0.015696900000000003,2.5240465197426314,0.559377310083924
native_param1e-8,1k-5k,0,120,2088.5,0.029273,0.046812400000000004,0.4308627065266106,0.21508982035928143
sklearn_kmeanspp,1k-5k,0,120,2088.5,0.0143885,0.0381618,0.9401370928010242,0.24546991310537086
sklearn_spherical,1k-5k,0,120,2088.5,0.0124525,0.024843900000000006,1.1218462651635326,0.9449528936742935
baseline,20000,1,168,20000.0,0.0549575,0.10933820000000004,1.0,1.0
native,20000,1,168,20000.0,0.004875,0.009646200000000004,10.122807552628789,6.55759385665529
native_10k,20000,1,168,20000.0,0.003431,0.006823200000000003,14.352459570019413,8.251966992899634
native_iter50,20000,1,168,20000.0,0.0361015,0.0381846,1.8696340697563214,0.6873407603536994
native_ll1e-4,20000,1,168,20000.0,0.008958,0.02471030000000001,5.9856982546253406,0.6837010479867622
native_ll1e-5,20000,1,168,20000.0,0.0163845,0.0550803,3.4744108278238803,0.5690505915225016
native_param1e-8,20000,1,168,20000.0,0.084395,0.145489,0.7648454605436688,0.2906882314805337
sklearn_kmeanspp,20000,1,168,20000.0,0.054306,0.15107299999999999,0.8906157666039052,0.18432879567511237
sklearn_spherical,20000,1,168,20000.0,0.0578775,0.11518650000000001,0.9331374892150233,0.7607311320754717
baseline,50000,1,168,50000.0,0.1431665,0.2744925000000001,1.0,1.0
native,50000,1,168,50000.0,0.010520999999999999,0.020599700000000002,12.314860130323229,6.139082431128738
native_10k,50000,1,168,50000.0,0.0035415,0.0067467000000000004,37.50530272923171,24.592697624955687
native_iter50,50000,1,168,50000.0,0.0735195,0.07599410000000001,2.432362186460604,0.8962178188197854
native_ll1e-4,50000,1,168,50000.0,0.020426,0.05559920000000002,7.114150341372495,0.8427725576007209
native_ll1e-5,50000,1,168,50000.0,0.0362505,0.12001670000000002,4.419516230571366,0.7067847772731118
native_param1e-8,50000,1,168,50000.0,0.16840850000000002,0.2934676,1.0082702101789516,0.3794498297456445
sklearn_kmeanspp,50000,1,168,50000.0,0.16094150000000002,0.43972460000000013,0.8665251314522057,0.21014967297312745
sklearn_spherical,50000,1,168,50000.0,0.142028,0.2796745000000001,1.002726354928006,0.8280436202382978
