arm,kind,samples,better,tied,worse,failed_here_only,d_loglik_median,d_loglik_min,speedup_median,seconds_median,base_seconds_median
native,fold,4516,2369,1,2146,0,5.361000000592142e-07,-0.21446735589999966,7.1794142055069194,0.001711,0.013126
native_ll1e-4,fold,4516,4442,0,74,0,0.001393766700000021,-0.21446735589999966,4.063823480451391,0.003182,0.013126
native_ll1e-5,fold,4516,4488,0,28,0,0.00180894364999995,-0.21446735589999966,2.3434183751717557,0.006189,0.013126
native_param1e-8,fold,4516,4501,0,15,0,0.0019373204499999463,-0.21446735589999966,0.42927074408299226,0.034076999999999996,0.013126
native_iter50,fold,4516,4500,0,16,0,0.0018270796000000589,-0.21446735589999966,1.3103748942626487,0.011486,0.013126
sklearn_kmeanspp,fold,4516,1651,631,2234,0,0.0,-0.2693396938,0.9374109173370357,0.013453,0.013126
sklearn_spherical,fold,4516,0,4516,0,0,0.0,0.0,1.1281461580011123,0.011627499999999999,0.013126
native_10k,fold,4515,2368,1,2146,0,5.343000000213038e-07,-0.21446735589999966,7.166964818127608,0.001713,0.013126
native,sort,195,103,0,92,0,5.750000009463463e-08,-0.0005819185000000004,7.548815165876778,0.001907,0.014789
native_ll1e-4,sort,195,195,0,0,0,0.0014158358000000426,4.799999997473492e-08,4.285289452815226,0.003619,0.014789
native_ll1e-5,sort,195,195,0,0,0,0.0019649974000000014,4.799999997473492e-08,2.679920913884007,0.006707,0.014789
native_param1e-8,sort,195,195,0,0,0,0.0024396217000000053,4.799999997473492e-08,0.5966981584040779,0.023478,0.014789
native_iter50,sort,195,195,0,0,0,0.001984529199999807,4.799999997473492e-08,1.4946451893774488,0.01155,0.014789
sklearn_kmeanspp,sort,195,74,20,101,0,-4.117399999947757e-06,-0.09926232600000029,0.9178902627511591,0.017874,0.014789
sklearn_spherical,sort,195,0,195,0,0,0.0,0.0,1.1160639192598822,0.013214,0.014789
native_10k,sort,195,110,0,85,0,1.4050000007870267e-07,-0.0016389149000000103,7.5262252794497,0.001911,0.014789
