arm,kind,cases,changed,changed_pct,rate_reportable,prov_changed,d_thr_median,d_thr_p90,d_thr_max,d_adm_median_of_changed,d_adm_max,d_adm_frac_max,speedup_median
native,fold,2258,158,6.99734278122232,True,3,0.0,0.0,0.1974622011184693,2.0,365,0.7985257985257985,1.4549764500394144
native_ll1e-4,fold,2258,234,10.363153232949513,True,10,0.0,1.4339387416800652e-05,0.1974622011184693,2.0,471,0.7985257985257985,1.3873283100288392
native_ll1e-5,fold,2258,285,12.621789193976971,True,15,0.0,8.18908214568924e-05,0.1974622011184693,4.0,486,0.7985257985257985,1.2887083010817846
native_param1e-8,fold,2258,325,14.393268379096545,True,17,0.0,0.00019708722829818708,0.1974622011184693,9.0,486,0.7985257985257985,0.7537294507987656
native_iter50,fold,2258,301,13.3303808680248,True,13,0.0,9.773820638656586e-05,0.1974622011184693,4.0,486,0.7985257985257985,1.1476042834520421
sklearn_kmeanspp,fold,2258,364,16.12046058458813,True,41,0.0,0.00039584487676616587,0.16684804856777197,11.5,1372,0.6839481555333998,0.9469384337979236
sklearn_spherical,fold,2258,0,0.0,True,0,0.0,0.0,0.0,,0,0.0,1.0434322775541556
native_10k,fold,2258,158,6.99734278122232,True,3,0.0,0.0,0.1974622011184693,2.0,365,0.7985257985257985,1.4545879071073844
native,sort,195,119,61.02564102564103,True,0,8.166988995450195e-05,0.0015566710441133533,0.1411990704462339,10.0,872,0.41603053435114506,6.400813835198373
native_ll1e-4,sort,195,160,82.05128205128206,True,0,0.0041768885357900964,0.01792879287592966,0.126507703283099,40.0,1201,0.4122137404580153,3.9364691508857668
native_ll1e-5,sort,195,164,84.1025641025641,True,0,0.007754643115541193,0.02244106708391644,0.11460141626516179,117.0,1551,0.4041030534351145,2.5273465488416527
native_param1e-8,sort,195,164,84.1025641025641,True,0,0.009860076928320104,0.02793138167442301,0.10904819722007739,215.0,4797,0.4273789649415693,0.6020200230353504
native_iter50,sort,195,164,84.1025641025641,True,0,0.0077100496830003005,0.020264831566374306,0.10904826144943999,97.0,1011,0.3998091603053435,1.4754852911747047
sklearn_kmeanspp,sort,195,156,80.0,True,0,0.001764431843731401,0.0210426145846018,0.05199665733624548,78.5,3694,0.3747016706443914,0.9127203108283124
sklearn_spherical,sort,195,0,0.0,True,0,0.0,5.967448757360216e-16,7.66053886991358e-15,,0,0.0,1.1168360457678914
native_10k,sort,195,119,61.02564102564103,True,0,9.034189532750037e-05,0.0015566710441133533,0.1411990704462339,9.0,872,0.41603053435114506,6.401689484415963
