arm,kind,dataset,embedder,style,cases,changed,d_thr_p90,changed_pct
native,fold,visual_genome_m,siglip,whole_image,319,45,6.0302019119262684e-05,14.106583072100314
native_ll1e-4,fold,visual_genome_m,siglip,whole_image,319,68,0.0001651078462601151,21.316614420062695
native_ll1e-5,fold,visual_genome_m,siglip,whole_image,319,84,0.00034134685993190137,26.33228840125392
native_param1e-8,fold,visual_genome_m,siglip,whole_image,319,97,0.001270028948783819,30.407523510971785
native_iter50,fold,visual_genome_m,siglip,whole_image,319,92,0.00036997199058531595,28.84012539184953
sklearn_kmeanspp,fold,visual_genome_m,siglip,whole_image,319,97,0.0018174797296524035,30.407523510971785
sklearn_spherical,fold,visual_genome_m,siglip,whole_image,319,0,0.0,0.0
native_10k,fold,visual_genome_m,siglip,whole_image,319,45,6.0302019119262684e-05,14.106583072100314
native,sort,visual_genome_m,siglip,whole_image,16,15,0.0006974994165024895,93.75
native_ll1e-4,sort,visual_genome_m,siglip,whole_image,16,15,0.01178660245755685,93.75
native_ll1e-5,sort,visual_genome_m,siglip,whole_image,16,16,0.022038224183194302,100.0
native_param1e-8,sort,visual_genome_m,siglip,whole_image,16,16,0.034744732048657155,100.0
native_iter50,sort,visual_genome_m,siglip,whole_image,16,16,0.010382064258906695,100.0
sklearn_kmeanspp,sort,visual_genome_m,siglip,whole_image,16,16,0.03972683980294989,100.0
sklearn_spherical,sort,visual_genome_m,siglip,whole_image,16,0,4.107825191113079e-15,0.0
native_10k,sort,visual_genome_m,siglip,whole_image,16,15,0.0006974994165024895,93.75
native,fold,visual_genome_m,dinov3_patch,max_patch,317,3,0.0,0.9463722397476341
native_ll1e-4,fold,visual_genome_m,dinov3_patch,max_patch,317,6,0.0,1.8927444794952681
native_ll1e-5,fold,visual_genome_m,dinov3_patch,max_patch,317,8,0.0,2.5236593059936907
native_param1e-8,fold,visual_genome_m,dinov3_patch,max_patch,317,12,0.0,3.7854889589905363
native_iter50,fold,visual_genome_m,dinov3_patch,max_patch,317,9,0.0,2.8391167192429023
sklearn_kmeanspp,fold,visual_genome_m,dinov3_patch,max_patch,317,19,0.0,5.993690851735016
sklearn_spherical,fold,visual_genome_m,dinov3_patch,max_patch,317,0,0.0,0.0
native_10k,fold,visual_genome_m,dinov3_patch,max_patch,317,3,0.0,0.9463722397476341
native,fold,visual_genome_m,dinov3_patch,whole_image,317,48,4.6896934509277375e-05,15.141955835962145
native_ll1e-4,fold,visual_genome_m,dinov3_patch,whole_image,317,77,0.00016251802444455806,24.290220820189276
native_ll1e-5,fold,visual_genome_m,dinov3_patch,whole_image,317,91,0.00035779476165771507,28.706624605678233
native_param1e-8,fold,visual_genome_m,dinov3_patch,whole_image,317,101,0.0008917123079299595,31.861198738170348
native_iter50,fold,visual_genome_m,dinov3_patch,whole_image,317,97,0.0003101229667663578,30.599369085173503
sklearn_kmeanspp,fold,visual_genome_m,dinov3_patch,whole_image,317,129,0.0025509774684906042,40.694006309148264
sklearn_spherical,fold,visual_genome_m,dinov3_patch,whole_image,317,0,0.0,0.0
native_10k,fold,visual_genome_m,dinov3_patch,whole_image,317,48,4.6896934509277375e-05,15.141955835962145
native,sort,visual_genome_m,dinov3_patch,max_patch,17,9,0.01614215528354432,52.94117647058823
native_ll1e-4,sort,visual_genome_m,dinov3_patch,max_patch,17,17,0.024065480863008238,100.0
native_ll1e-5,sort,visual_genome_m,dinov3_patch,max_patch,17,17,0.02694546503504766,100.0
native_param1e-8,sort,visual_genome_m,dinov3_patch,max_patch,17,17,0.03015485315381802,100.0
native_iter50,sort,visual_genome_m,dinov3_patch,max_patch,17,17,0.028414429385834165,100.0
sklearn_kmeanspp,sort,visual_genome_m,dinov3_patch,max_patch,17,16,0.02726889722811109,94.11764705882354
sklearn_spherical,sort,visual_genome_m,dinov3_patch,max_patch,17,0,2.0539125955565397e-16,0.0
native_10k,sort,visual_genome_m,dinov3_patch,max_patch,17,9,0.01614215528354432,52.94117647058823
native,sort,visual_genome_m,dinov3_patch,whole_image,17,9,0.01614215528354432,52.94117647058823
native_ll1e-4,sort,visual_genome_m,dinov3_patch,whole_image,17,17,0.024065480863008238,100.0
native_ll1e-5,sort,visual_genome_m,dinov3_patch,whole_image,17,17,0.02694546503504766,100.0
native_param1e-8,sort,visual_genome_m,dinov3_patch,whole_image,17,17,0.03015485315381802,100.0
native_iter50,sort,visual_genome_m,dinov3_patch,whole_image,17,17,0.028414429385834165,100.0
sklearn_kmeanspp,sort,visual_genome_m,dinov3_patch,whole_image,17,16,0.02726889722811109,94.11764705882354
sklearn_spherical,sort,visual_genome_m,dinov3_patch,whole_image,17,0,2.0539125955565397e-16,0.0
native_10k,sort,visual_genome_m,dinov3_patch,whole_image,17,9,0.01614215528354432,52.94117647058823
native,fold,caltech101_m,siglip,whole_image,239,4,0.0,1.6736401673640167
native_ll1e-4,fold,caltech101_m,siglip,whole_image,239,5,0.0,2.092050209205021
native_ll1e-5,fold,caltech101_m,siglip,whole_image,239,7,0.0,2.928870292887029
native_param1e-8,fold,caltech101_m,siglip,whole_image,239,7,0.0,2.928870292887029
native_iter50,fold,caltech101_m,siglip,whole_image,239,7,0.0,2.928870292887029
sklearn_kmeanspp,fold,caltech101_m,siglip,whole_image,239,10,0.0,4.184100418410042
sklearn_spherical,fold,caltech101_m,siglip,whole_image,239,0,0.0,0.0
native_10k,fold,caltech101_m,siglip,whole_image,239,4,0.0,1.6736401673640167
native,sort,caltech101_m,siglip,whole_image,13,4,0.02969906207124835,30.76923076923077
native_ll1e-4,sort,caltech101_m,siglip,whole_image,13,8,0.035163814236157526,61.53846153846154
native_ll1e-5,sort,caltech101_m,siglip,whole_image,13,8,0.035163814236157526,61.53846153846154
native_param1e-8,sort,caltech101_m,siglip,whole_image,13,8,0.035164019701724426,61.53846153846154
native_iter50,sort,caltech101_m,siglip,whole_image,13,8,0.035164019701724426,61.53846153846154
sklearn_kmeanspp,sort,caltech101_m,siglip,whole_image,13,11,0.0421393587463802,84.61538461538461
sklearn_spherical,sort,caltech101_m,siglip,whole_image,13,0,4.968248035197579e-16,0.0
native_10k,sort,caltech101_m,siglip,whole_image,13,4,0.02969906207124835,30.76923076923077
native,fold,caltech101_m,dinov3_patch,whole_image,228,27,0.04581400007009518,11.842105263157896
native_ll1e-4,fold,caltech101_m,dinov3_patch,whole_image,228,29,0.04581400007009518,12.719298245614034
native_ll1e-5,fold,caltech101_m,dinov3_patch,whole_image,228,31,0.04581400007009518,13.596491228070175
native_param1e-8,fold,caltech101_m,dinov3_patch,whole_image,228,31,0.04581400007009518,13.596491228070175
native_iter50,fold,caltech101_m,dinov3_patch,whole_image,228,31,0.04581400007009518,13.596491228070175
sklearn_kmeanspp,fold,caltech101_m,dinov3_patch,whole_image,228,19,0.0,8.333333333333334
sklearn_spherical,fold,caltech101_m,dinov3_patch,whole_image,228,0,0.0,0.0
native_10k,fold,caltech101_m,dinov3_patch,whole_image,228,27,0.04581400007009518,11.842105263157896
native,sort,caltech101_m,dinov3_patch,whole_image,26,0,5.1376316545587164e-05,0.0
native_ll1e-4,sort,caltech101_m,dinov3_patch,whole_image,26,3,0.005553804289391076,11.538461538461538
native_ll1e-5,sort,caltech101_m,dinov3_patch,whole_image,26,5,0.010066682380432679,19.23076923076923
native_param1e-8,sort,caltech101_m,dinov3_patch,whole_image,26,5,0.011738543739095497,19.23076923076923
native_iter50,sort,caltech101_m,dinov3_patch,whole_image,26,5,0.01172309737120708,19.23076923076923
sklearn_kmeanspp,sort,caltech101_m,dinov3_patch,whole_image,26,0,0.0005811865837246355,0.0
sklearn_spherical,sort,caltech101_m,dinov3_patch,whole_image,26,0,2.636779683484747e-16,0.0
native_10k,sort,caltech101_m,dinov3_patch,whole_image,26,0,5.1376316545587164e-05,0.0
native,fold,coco_val,siglip,whole_image,280,18,0.0,6.428571428571429
native_ll1e-4,fold,coco_val,siglip,whole_image,280,23,0.0,8.214285714285714
