tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip,8192,24,122.0,125,1,29,,0.1544616287216482,2,0.06896551724137931,0.3448275862068966,0.4827586206896552
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,sift,8192,24,122.0,125,1,29,,0.9632407283809605,1,0.3103448275862069,1.0,1.0
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,sift_siglip,8192,24,122.0,125,1,29,,0.9632407283809605,1,0.3103448275862069,1.0,1.0
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad,8192,24,122.0,125,1,29,,0.019192480755883777,36,0.0,0.034482758620689655,0.034482758620689655
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad100_sift,8192,24,122.0,125,1,29,0.034482758620689655,0.05271738497044315,1,0.034482758620689655,0.034482758620689655,0.034482758620689655
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip100_sift,8192,24,122.0,125,1,29,0.4827586206896552,0.4824130780970777,1,0.3103448275862069,0.4827586206896552,0.4827586206896552
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad500_sift,8192,24,122.0,125,1,29,0.3448275862068966,0.35676741276717827,1,0.3448275862068966,0.3448275862068966,0.3448275862068966
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip500_sift,8192,24,122.0,125,1,29,0.7586206896551724,0.7315029442656642,1,0.3103448275862069,0.7586206896551724,0.7586206896551724
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad1000_sift,8192,24,122.0,125,1,29,0.6896551724137931,0.6935463622905399,1,0.3448275862068966,0.6896551724137931,0.6896551724137931
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip1000_sift,8192,24,122.0,125,1,29,0.896551724137931,0.8617434743631236,1,0.3103448275862069,0.896551724137931,0.896551724137931
