tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,siglip,8192,24,122.0,125,2,29,,0.0764590460300428,6,0.034482758620689655,0.20689655172413793,0.41379310344827586
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,sift,8192,24,122.0,125,2,29,,0.9632407283809605,1,0.3103448275862069,1.0,1.0
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,sift_siglip,8192,24,122.0,125,2,29,,0.9632407283809605,1,0.3103448275862069,1.0,1.0
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,vlad,8192,24,122.0,125,2,29,,0.0017362207347980823,844,0.0,0.0,0.0
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,vlad100_sift,8192,24,122.0,125,2,29,0.0,0.0017362207347980823,844,0.0,0.0,0.0
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,siglip100_sift,8192,24,122.0,125,2,29,0.41379310344827586,0.4001078393713836,1,0.3103448275862069,0.41379310344827586,0.41379310344827586
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,vlad500_sift,8192,24,122.0,125,2,29,0.0,0.0017362207347980823,844,0.0,0.0,0.0
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,siglip500_sift,8192,24,122.0,125,2,29,0.5862068965517241,0.549669497482374,1,0.3103448275862069,0.5862068965517241,0.5862068965517241
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,vlad1000_sift,8192,24,122.0,125,2,29,0.034482758620689655,0.03617812300641109,1,0.034482758620689655,0.034482758620689655,0.034482758620689655
m,spods/logo_00003_0,spods,logo,29,own_verified,49968,siglip1000_sift,8192,24,122.0,125,2,29,0.6896551724137931,0.6551575803816706,1,0.3103448275862069,0.6896551724137931,0.6896551724137931
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,siglip,8192,24,87.0,98,15,29,,0.26760402867215344,1,0.2413793103448276,0.3793103448275862,0.4827586206896552
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,sift,8192,24,87.0,98,15,29,,0.9387923965057943,1,0.3103448275862069,1.0,1.0
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,sift_siglip,8192,24,87.0,98,15,29,,0.9308877802655273,1,0.3103448275862069,1.0,1.0
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,vlad,8192,24,87.0,98,15,29,,0.001406454693169082,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,vlad100_sift,8192,24,87.0,98,15,29,0.0,0.001406454693169082,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,siglip100_sift,8192,24,87.0,98,15,29,0.4827586206896552,0.4242341344047253,1,0.3103448275862069,0.4827586206896552,0.4827586206896552
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,vlad500_sift,8192,24,87.0,98,15,29,0.0,0.001406454693169082,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,siglip500_sift,8192,24,87.0,98,15,29,0.5172413793103449,0.45406296998693424,1,0.3103448275862069,0.5172413793103449,0.5172413793103449
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,vlad1000_sift,8192,24,87.0,98,15,29,0.0,0.001406454693169082,2051,0.0,0.0,0.0
m,spods/logo_00011_0,spods,logo,29,own_verified,49968,siglip1000_sift,8192,24,87.0,98,15,29,0.5517241379310345,0.4856401861483289,1,0.3103448275862069,0.5517241379310345,0.5517241379310345
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,siglip,8192,24,156.5,35,17,30,,0.0018973802067460243,469,0.0,0.0,0.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,sift,8192,24,156.5,35,17,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,sift_siglip,8192,24,156.5,35,17,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,vlad,8192,24,156.5,35,17,30,,0.0018975661055641582,1709,0.0,0.0,0.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,vlad100_sift,8192,24,156.5,35,17,30,0.0,0.0018975661055641582,1709,0.0,0.0,0.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,siglip100_sift,8192,24,156.5,35,17,30,0.0,0.0018973802067460243,469,0.0,0.0,0.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,vlad500_sift,8192,24,156.5,35,17,30,0.0,0.0018975661055641582,1709,0.0,0.0,0.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,siglip500_sift,8192,24,156.5,35,17,30,0.03333333333333333,0.03515964033467778,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,vlad1000_sift,8192,24,156.5,35,17,30,0.0,0.0018975661055641582,1709,0.0,0.0,0.0
m,spods/logo_00014_0,spods,logo,30,own_verified,49968,siglip1000_sift,8192,24,156.5,35,17,30,0.13333333333333333,0.13471096250345274,1,0.13333333333333333,0.13333333333333333,0.13333333333333333
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,siglip,8192,24,160.0,32,9,30,,0.2663729075547128,1,0.16666666666666666,0.4666666666666667,0.5333333333333333
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,sift,8192,24,160.0,32,9,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,sift_siglip,8192,24,160.0,32,9,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,vlad,8192,24,160.0,32,9,30,,0.0012543515333839023,1298,0.0,0.0,0.0
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,vlad100_sift,8192,24,160.0,32,9,30,0.0,0.0012543515333839023,1298,0.0,0.0,0.0
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,siglip100_sift,8192,24,160.0,32,9,30,0.5333333333333333,0.5422278788231025,1,0.3333333333333333,0.5333333333333333,0.5333333333333333
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,vlad500_sift,8192,24,160.0,32,9,30,0.0,0.0012543515333839023,1298,0.0,0.0,0.0
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,siglip500_sift,8192,24,160.0,32,9,30,0.6,0.603837727307951,1,0.3333333333333333,0.6,0.6
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,vlad1000_sift,8192,24,160.0,32,9,30,0.0,0.0012543515333839023,1298,0.0,0.0,0.0
m,spods/logo_00023_0,spods,logo,30,own_verified,49968,siglip1000_sift,8192,24,160.0,32,9,30,0.7,0.7011102378356706,1,0.3333333333333333,0.7,0.7
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,siglip,8192,24,106.0,18,0,30,,0.19796584364799225,1,0.2,0.26666666666666666,0.26666666666666666
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,sift,8192,24,106.0,18,0,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,sift_siglip,8192,24,106.0,18,0,30,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,vlad,8192,24,106.0,18,0,30,,0.0008489851688596682,3746,0.0,0.0,0.0
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,vlad100_sift,8192,24,106.0,18,0,30,0.0,0.0008489851688596682,3746,0.0,0.0,0.0
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,siglip100_sift,8192,24,106.0,18,0,30,0.26666666666666666,0.27147594465809344,1,0.26666666666666666,0.26666666666666666,0.26666666666666666
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,vlad500_sift,8192,24,106.0,18,0,30,0.0,0.0008489851688596682,3746,0.0,0.0,0.0
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,siglip500_sift,8192,24,106.0,18,0,30,0.3333333333333333,0.336002175489409,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,vlad1000_sift,8192,24,106.0,18,0,30,0.0,0.0008489851688596682,3746,0.0,0.0,0.0
m,spods/logo_00029_0,spods,logo,30,own_verified,49968,siglip1000_sift,8192,24,106.0,18,0,30,0.36666666666666664,0.36880178732832214,1,0.3333333333333333,0.36666666666666664,0.36666666666666664
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,siglip,8192,24,48.0,77,16,13,,0.0002734000791522522,7658,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,sift,8192,24,48.0,77,16,13,,0.4504835187013736,2,0.21428571428571427,1.0,1.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,sift_siglip,8192,24,48.0,77,16,13,,0.41955933497060627,2,0.21428571428571427,0.9285714285714286,0.9285714285714286
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,vlad,8192,24,48.0,77,16,13,,0.0002745930035809617,8461,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,vlad100_sift,8192,24,48.0,77,16,13,0.0,0.0002745930035809617,8461,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,siglip100_sift,8192,24,48.0,77,16,13,0.0,0.0002734000791522522,7658,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,vlad500_sift,8192,24,48.0,77,16,13,0.0,0.0002745930035809617,8461,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,siglip500_sift,8192,24,48.0,77,16,13,0.0,0.0002734000791522522,7658,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,vlad1000_sift,8192,24,48.0,77,16,13,0.0,0.0002745930035809617,8461,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,stamp,14,own_verified,49968,siglip1000_sift,8192,24,48.0,77,16,13,0.0,0.0002734000791522522,7658,0.0,0.0,0.0
m,spods/stamp_00546_1,spods,stamp,19,own_verified,49968,siglip,8192,24,53.0,53,69,19,,0.004647211676902642,26,0.0,0.05263157894736842,0.05263157894736842
