tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,spods/logo_00003_0,spods,sift,29,49968,,0.9632407283809605,1,0.3103448275862069,1.0,1.0
m,spods/logo_00003_0,spods,vlad_t4,29,49968,,0.7495411794879129,1,0.27586206896551724,0.8275862068965517,0.896551724137931
m,spods/logo_00003_0,spods,vlad_t4100_sift,29,49968,0.896551724137931,0.8656733503288784,1,0.3103448275862069,0.896551724137931,0.896551724137931
m,spods/logo_00003_0,spods,vlad_t4500_sift,29,49968,0.896551724137931,0.8656733503288784,1,0.3103448275862069,0.896551724137931,0.896551724137931
m,spods/logo_00003_0,spods,vlad_t41000_sift,29,49968,0.9310344827586207,0.8978725654912729,1,0.3103448275862069,0.9310344827586207,0.9310344827586207
m,spods/logo_00011_0,spods,sift,29,49968,,0.9387923965057943,1,0.3103448275862069,1.0,1.0
m,spods/logo_00011_0,spods,vlad_t4,29,49968,,0.7903896375535094,1,0.3448275862068966,0.7931034482758621,0.8620689655172413
m,spods/logo_00011_0,spods,vlad_t4100_sift,29,49968,0.8620689655172413,0.8097893315034745,1,0.3103448275862069,0.8620689655172413,0.8620689655172413
m,spods/logo_00011_0,spods,vlad_t4500_sift,29,49968,0.8620689655172413,0.8097893315034745,1,0.3103448275862069,0.8620689655172413,0.8620689655172413
m,spods/logo_00011_0,spods,vlad_t41000_sift,29,49968,0.896551724137931,0.8420401567475794,1,0.3103448275862069,0.896551724137931,0.896551724137931
m,spods/logo_00014_0,spods,sift,30,49968,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00014_0,spods,vlad_t4,30,49968,,0.6564238914950402,1,0.3,0.7333333333333333,0.8333333333333334
m,spods/logo_00014_0,spods,vlad_t4100_sift,30,49968,0.8333333333333334,0.845828464184923,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
m,spods/logo_00014_0,spods,vlad_t4500_sift,30,49968,0.9,0.9019764796702879,1,0.3333333333333333,0.9,0.9
m,spods/logo_00014_0,spods,vlad_t41000_sift,30,49968,0.9333333333333333,0.934232060886608,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
m,spods/logo_00023_0,spods,sift,30,49968,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00023_0,spods,vlad_t4,30,49968,,0.7607706362517462,1,0.3333333333333333,0.8,0.8333333333333334
m,spods/logo_00023_0,spods,vlad_t4100_sift,30,49968,0.8333333333333334,0.8439887421250621,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
m,spods/logo_00023_0,spods,vlad_t4500_sift,30,49968,0.9,0.9024543928072611,1,0.3333333333333333,0.9,0.9
m,spods/logo_00023_0,spods,vlad_t41000_sift,30,49968,0.9333333333333333,0.9342269680580972,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
m,spods/logo_00029_0,spods,sift,30,49968,,1.0,1,0.3333333333333333,1.0,1.0
m,spods/logo_00029_0,spods,vlad_t4,30,49968,,0.6373061943991352,1,0.3,0.7,0.7666666666666667
m,spods/logo_00029_0,spods,vlad_t4100_sift,30,49968,0.7666666666666667,0.7778576331442494,1,0.3333333333333333,0.7666666666666667,0.7666666666666667
m,spods/logo_00029_0,spods,vlad_t4500_sift,30,49968,0.8333333333333334,0.8362020650672082,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
m,spods/logo_00029_0,spods,vlad_t41000_sift,30,49968,0.8333333333333334,0.8362020650672082,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
m,spods/stamp_00293_1,spods,sift,14,49968,,0.4504835187013736,2,0.21428571428571427,1.0,1.0
m,spods/stamp_00293_1,spods,vlad_t4,14,49968,,0.004093991450058517,166,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,vlad_t4100_sift,14,49968,0.0,0.004093991450058517,166,0.0,0.0,0.0
m,spods/stamp_00293_1,spods,vlad_t4500_sift,14,49968,0.14285714285714285,0.14615547817151506,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
m,spods/stamp_00293_1,spods,vlad_t41000_sift,14,49968,0.42857142857142855,0.2996516849046887,1,0.21428571428571427,0.42857142857142855,0.42857142857142855
m,spods/stamp_00546_1,spods,sift,19,49968,,0.902912303760763,1,0.5263157894736842,1.0,1.0
m,spods/stamp_00546_1,spods,vlad_t4,19,49968,,0.03757497956456414,33,0.0,0.10526315789473684,0.3157894736842105
