tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,sift,29,4998,,0.9632407283809605,1,0.3103448275862069,1.0,1.0
s,spods/logo_00003_0,spods,vlad_t4,29,4998,,0.8680869212497508,1,0.3103448275862069,0.896551724137931,0.896551724137931
s,spods/logo_00003_0,spods,vlad_t4100_sift,29,4998,0.896551724137931,0.8820908930123433,1,0.3103448275862069,0.896551724137931,0.896551724137931
s,spods/logo_00003_0,spods,vlad_t4500_sift,29,4998,1.0,0.9632407283809605,1,0.3103448275862069,1.0,1.0
s,spods/logo_00003_0,spods,vlad_t41000_sift,29,4998,1.0,0.9632407283809605,1,0.3103448275862069,1.0,1.0
s,spods/logo_00011_0,spods,sift,29,4998,,0.9409774552556185,1,0.3103448275862069,1.0,1.0
s,spods/logo_00011_0,spods,vlad_t4,29,4998,,0.8623333486932967,1,0.3448275862068966,0.8620689655172413,0.8620689655172413
s,spods/logo_00011_0,spods,vlad_t4100_sift,29,4998,0.8620689655172413,0.8153669565750417,1,0.3103448275862069,0.8620689655172413,0.8620689655172413
s,spods/logo_00011_0,spods,vlad_t4500_sift,29,4998,0.9310344827586207,0.8758584834549816,1,0.3103448275862069,0.9310344827586207,0.9310344827586207
s,spods/logo_00011_0,spods,vlad_t41000_sift,29,4998,0.9310344827586207,0.8758584834549816,1,0.3103448275862069,0.9310344827586207,0.9310344827586207
s,spods/logo_00014_0,spods,sift,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,spods/logo_00014_0,spods,vlad_t4,30,4998,,0.8901575612617039,1,0.3333333333333333,0.9,0.9
s,spods/logo_00014_0,spods,vlad_t4100_sift,30,4998,0.9,0.9123742926541331,1,0.3333333333333333,0.9,0.9
s,spods/logo_00014_0,spods,vlad_t4500_sift,30,4998,0.9666666666666667,0.9671359299233536,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,spods/logo_00014_0,spods,vlad_t41000_sift,30,4998,0.9666666666666667,0.9671359299233536,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,spods/logo_00023_0,spods,sift,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,spods/logo_00023_0,spods,vlad_t4,30,4998,,0.8687053791754166,1,0.3333333333333333,0.8666666666666667,0.9
s,spods/logo_00023_0,spods,vlad_t4100_sift,30,4998,0.9,0.9110679083712792,1,0.3333333333333333,0.9,0.9
s,spods/logo_00023_0,spods,vlad_t4500_sift,30,4998,0.9666666666666667,0.9685393258426966,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,spods/logo_00023_0,spods,vlad_t41000_sift,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,spods/logo_00029_0,spods,sift,30,4998,,1.0,1,0.3333333333333333,1.0,1.0
s,spods/logo_00029_0,spods,vlad_t4,30,4998,,0.8193202263026111,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
s,spods/logo_00029_0,spods,vlad_t4100_sift,30,4998,0.8333333333333334,0.8617873205831729,1,0.3333333333333333,0.8333333333333334,0.8333333333333334
s,spods/logo_00029_0,spods,vlad_t4500_sift,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,spods/logo_00029_0,spods,vlad_t41000_sift,30,4998,1.0,1.0,1,0.3333333333333333,1.0,1.0
s,spods/stamp_00293_1,spods,sift,14,4998,,0.4504835187013736,2,0.21428571428571427,1.0,1.0
s,spods/stamp_00293_1,spods,vlad_t4,14,4998,,0.042238802675939886,18,0.0,0.21428571428571427,0.5
s,spods/stamp_00293_1,spods,vlad_t4100_sift,14,4998,0.5,0.31509952556169857,1,0.21428571428571427,0.5,0.5
s,spods/stamp_00293_1,spods,vlad_t4500_sift,14,4998,0.5714285714285714,0.2642207431680276,2,0.21428571428571427,0.5714285714285714,0.5714285714285714
s,spods/stamp_00293_1,spods,vlad_t41000_sift,14,4998,0.5714285714285714,0.2642207431680276,2,0.21428571428571427,0.5714285714285714,0.5714285714285714
s,spods/stamp_00546_1,spods,sift,19,4998,,0.902912303760763,1,0.5263157894736842,1.0,1.0
s,spods/stamp_00546_1,spods,vlad_t4,19,4998,,0.33739305821726256,2,0.3157894736842105,0.631578947368421,0.8947368421052632
s,spods/stamp_00546_1,spods,vlad_t4100_sift,19,4998,0.8947368421052632,0.871444172140418,1,0.5263157894736842,0.8947368421052632,0.8947368421052632
s,spods/stamp_00546_1,spods,vlad_t4500_sift,19,4998,1.0,0.9221080166371025,1,0.5263157894736842,1.0,1.0
s,spods/stamp_00546_1,spods,vlad_t41000_sift,19,4998,1.0,0.9176437309228169,1,0.5263157894736842,1.0,1.0
s,spods/stamp_00577_1,spods,sift,23,4998,,0.7790145408867769,1,0.34782608695652173,1.0,1.0
s,spods/stamp_00577_1,spods,vlad_t4,23,4998,,0.35613645317037324,1,0.17391304347826086,0.6086956521739131,0.9130434782608695
s,spods/stamp_00577_1,spods,vlad_t4100_sift,23,4998,0.9130434782608695,0.7393200391800449,1,0.34782608695652173,0.9130434782608695,0.9130434782608695
s,spods/stamp_00577_1,spods,vlad_t4500_sift,23,4998,1.0,0.7790145408867769,1,0.34782608695652173,1.0,1.0
s,spods/stamp_00577_1,spods,vlad_t41000_sift,23,4998,1.0,0.7790145408867769,1,0.34782608695652173,1.0,1.0
s,spods/stamp_00612_1,spods,sift,22,4998,,0.43832036093099086,1,0.22727272727272727,0.6363636363636364,0.9090909090909091
s,spods/stamp_00612_1,spods,vlad_t4,22,4998,,0.0037041705235160167,1565,0.0,0.0,0.0
s,spods/stamp_00612_1,spods,vlad_t4100_sift,22,4998,0.0,0.0037041705235160167,1565,0.0,0.0,0.0
s,spods/stamp_00612_1,spods,vlad_t4500_sift,22,4998,0.0,0.0037041705235160167,1565,0.0,0.0,0.0
s,spods/stamp_00612_1,spods,vlad_t41000_sift,22,4998,0.0,0.0037041705235160167,1565,0.0,0.0,0.0
s,spods/stamp_00769_1,spods,sift,23,4998,,0.711204909110577,1,0.34782608695652173,0.8695652173913043,1.0
s,spods/stamp_00769_1,spods,vlad_t4,23,4998,,0.04469984277648953,11,0.0,0.13043478260869565,0.2608695652173913
s,spods/stamp_00769_1,spods,vlad_t4100_sift,23,4998,0.2608695652173913,0.2432049246511366,1,0.2608695652173913,0.2608695652173913,0.2608695652173913
s,spods/stamp_00769_1,spods,vlad_t4500_sift,23,4998,0.6521739130434783,0.47844401450936613,1,0.30434782608695654,0.6521739130434783,0.6521739130434783
s,spods/stamp_00769_1,spods,vlad_t41000_sift,23,4998,1.0,0.7214969868112564,1,0.34782608695652173,0.8695652173913043,1.0
s,spods/stamp_00931_1,spods,sift,12,4998,,0.36686129999764305,1,0.25,1.0,1.0
s,spods/stamp_00931_1,spods,vlad_t4,12,4998,,0.3862477700480574,1,0.3333333333333333,0.8333333333333334,1.0
s,spods/stamp_00931_1,spods,vlad_t4100_sift,12,4998,1.0,0.5250261105759827,1,0.3333333333333333,1.0,1.0
s,spods/stamp_00931_1,spods,vlad_t4500_sift,12,4998,1.0,0.4020342258767306,1,0.3333333333333333,1.0,1.0
s,spods/stamp_00931_1,spods,vlad_t41000_sift,12,4998,1.0,0.3703494280121726,1,0.25,1.0,1.0
s,staver/stamp_stampds-00213_1,staver,sift,15,4998,,0.44427900055383085,2,0.26666666666666666,1.0,1.0
s,staver/stamp_stampds-00213_1,staver,vlad_t4,15,4998,,0.3803097533853318,4,0.26666666666666666,0.8666666666666667,1.0
s,staver/stamp_stampds-00213_1,staver,vlad_t4100_sift,15,4998,1.0,0.8132308432308434,1,0.5333333333333333,1.0,1.0
s,staver/stamp_stampds-00213_1,staver,vlad_t4500_sift,15,4998,1.0,0.5915736965964672,2,0.4,1.0,1.0
s,staver/stamp_stampds-00213_1,staver,vlad_t41000_sift,15,4998,1.0,0.5447720578579376,2,0.4,1.0,1.0
s,staver/stamp_stampds-00230_0,staver,sift,7,4998,,1.0,1,1.0,1.0,1.0
s,staver/stamp_stampds-00230_0,staver,vlad_t4,7,4998,,0.4527581941867656,2,0.5714285714285714,0.8571428571428571,1.0
s,staver/stamp_stampds-00230_0,staver,vlad_t4100_sift,7,4998,1.0,1.0,1,1.0,1.0,1.0
s,staver/stamp_stampds-00230_0,staver,vlad_t4500_sift,7,4998,1.0,1.0,1,1.0,1.0,1.0
s,staver/stamp_stampds-00230_0,staver,vlad_t41000_sift,7,4998,1.0,1.0,1,1.0,1.0,1.0
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,sift,56,4841,,0.9602526827997578,1,0.17857142857142858,0.8214285714285714,1.0
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t4,56,4841,,0.08460258793288851,6,0.017857142857142856,0.14285714285714285,0.23214285714285715
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t4100_sift,56,4841,0.23214285714285715,0.2768452457535929,1,0.17857142857142858,0.23214285714285715,0.23214285714285715
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t4500_sift,56,4841,0.5714285714285714,0.5699077779166901,1,0.17857142857142858,0.5714285714285714,0.5714285714285714
s,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t41000_sift,56,4841,0.6607142857142857,0.650211648770685,1,0.17857142857142858,0.6607142857142857,0.6607142857142857
s,tobacco800/logo_aeq93a00_1,tobacco800,sift,9,4841,,0.1564761472177477,2,0.2222222222222222,0.2222222222222222,0.5555555555555556
s,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t4,9,4841,,0.008497379948340357,106,0.0,0.0,0.0
s,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t4100_sift,9,4841,0.0,0.008497379948340357,106,0.0,0.0,0.0
s,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t4500_sift,9,4841,0.4444444444444444,0.03616821418508512,11,0.0,0.2222222222222222,0.4444444444444444
s,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t41000_sift,9,4841,0.6666666666666666,0.2571956355472302,1,0.2222222222222222,0.4444444444444444,0.4444444444444444
