tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip,4096,24,104.0,140,3,25,,0.1544616287216482,2,0.06896551724137931,0.3448275862068966,0.4827586206896552
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,sift,4096,24,104.0,140,3,25,,0.8173251695524792,1,0.3103448275862069,0.896551724137931,0.896551724137931
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,sift_siglip,4096,24,104.0,140,3,25,,0.8214709317868091,1,0.3103448275862069,0.8620689655172413,0.9310344827586207
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad,4096,24,104.0,140,3,25,,0.008284474053138658,21,0.0,0.034482758620689655,0.034482758620689655
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad100_sift,4096,24,104.0,140,3,25,0.034482758620689655,0.04112519654903357,1,0.034482758620689655,0.034482758620689655,0.034482758620689655
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip100_sift,4096,24,104.0,140,3,25,0.4827586206896552,0.41105796617935236,2,0.3103448275862069,0.4482758620689655,0.4827586206896552
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad500_sift,4096,24,104.0,140,3,25,0.1724137931034483,0.17768640775008074,1,0.1724137931034483,0.1724137931034483,0.1724137931034483
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip500_sift,4096,24,104.0,140,3,25,0.7586206896551724,0.6405399564849268,1,0.3103448275862069,0.6896551724137931,0.6896551724137931
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,vlad1000_sift,4096,24,104.0,140,3,25,0.2413793103448276,0.24616328079514466,1,0.2413793103448276,0.2413793103448276,0.2413793103448276
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip1000_sift,4096,24,104.0,140,3,25,0.896551724137931,0.7272801293107876,1,0.3103448275862069,0.7931034482758621,0.7931034482758621
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,siglip,4096,24,27.0,95,4,15,,0.44579445720652255,1,0.27586206896551724,0.5172413793103449,0.5517241379310345
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,sift,4096,24,27.0,95,4,15,,0.5852568578818156,2,0.3103448275862069,0.6551724137931034,0.8275862068965517
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,sift_siglip,4096,24,27.0,95,4,15,,0.5682041462181991,2,0.3103448275862069,0.6896551724137931,0.6896551724137931
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,vlad,4096,24,27.0,95,4,15,,0.006113073682307543,56,0.0,0.0,0.034482758620689655
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,vlad100_sift,4096,24,27.0,95,4,15,0.034482758620689655,0.03998006875619916,1,0.034482758620689655,0.034482758620689655,0.034482758620689655
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,siglip100_sift,4096,24,27.0,95,4,15,0.5517241379310345,0.4416757709510796,2,0.3103448275862069,0.5172413793103449,0.5517241379310345
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,vlad500_sift,4096,24,27.0,95,4,15,0.13793103448275862,0.09829492656428354,2,0.13793103448275862,0.13793103448275862,0.13793103448275862
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,siglip500_sift,4096,24,27.0,95,4,15,0.6551724137931034,0.470393621984676,2,0.3103448275862069,0.5862068965517241,0.5862068965517241
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,vlad1000_sift,4096,24,27.0,95,4,15,0.1724137931034483,0.12670026412538807,2,0.1724137931034483,0.1724137931034483,0.1724137931034483
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,siglip1000_sift,4096,24,27.0,95,4,15,0.6896551724137931,0.4805070455883084,2,0.3103448275862069,0.5862068965517241,0.6206896551724138
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,siglip,4096,24,28.5,29,12,16,,0.02534837940041122,30,0.0,0.13333333333333333,0.16666666666666666
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,sift,4096,24,28.5,29,12,16,,0.5722466881973983,1,0.3333333333333333,0.5666666666666667,0.6333333333333333
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,sift_siglip,4096,24,28.5,29,12,16,,0.545894931588779,1,0.3333333333333333,0.5333333333333333,0.5333333333333333
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,vlad,4096,24,28.5,29,12,16,,0.007000494424626095,37,0.0,0.03333333333333333,0.03333333333333333
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,vlad100_sift,4096,24,28.5,29,12,16,0.03333333333333333,0.03943292685705853,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,siglip100_sift,4096,24,28.5,29,12,16,0.16666666666666666,0.1496600434310476,1,0.13333333333333333,0.13333333333333333,0.16666666666666666
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,vlad500_sift,4096,24,28.5,29,12,16,0.16666666666666666,0.17163775184462068,1,0.16666666666666666,0.16666666666666666,0.16666666666666666
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,siglip500_sift,4096,24,28.5,29,12,16,0.36666666666666664,0.276182246310138,1,0.26666666666666666,0.26666666666666666,0.26666666666666666
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,vlad1000_sift,4096,24,28.5,29,12,16,0.23333333333333334,0.23763918105063878,1,0.23333333333333334,0.23333333333333334,0.23333333333333334
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,siglip1000_sift,4096,24,28.5,29,12,16,0.4666666666666667,0.3739140853083684,1,0.3333333333333333,0.36666666666666664,0.36666666666666664
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,siglip,4096,24,43.0,27,1,23,,0.5145333080764017,1,0.3,0.5666666666666667,0.6666666666666666
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,sift,4096,24,43.0,27,1,23,,0.9456697763950976,1,0.3333333333333333,0.9333333333333333,1.0
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,sift_siglip,4096,24,43.0,27,1,23,,0.8894545678898979,1,0.3333333333333333,0.9,0.9
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,vlad,4096,24,43.0,27,1,23,,0.007810322499252464,31,0.0,0.03333333333333333,0.03333333333333333
