tier,class_id,source,kind,n_positive,pool,n_pool,method,budget,floor,pos_inliers_median,neg_inliers_max,neg_over_floor,pos_over_floor,ap,first_hit,r@10,r@50,r@100
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,siglip,2048,24,40.0,32,2,20,0.1544616287216482,2,0.06896551724137931,0.3448275862068966,0.4827586206896552
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,splg,2048,24,40.0,32,2,20,0.9305646452425268,1,0.3448275862068966,0.9655172413793104,0.9655172413793104
s,spods/logo_00003_0,spods,logo,29,own_verified,4998,splg_siglip,2048,24,40.0,32,2,20,0.7924860597623469,1,0.3448275862068966,0.7586206896551724,0.896551724137931
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,siglip,2048,24,52.0,68,2,26,0.44579445720652255,1,0.27586206896551724,0.5172413793103449,0.5517241379310345
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,splg,2048,24,52.0,68,2,26,0.8294601302800533,1,0.27586206896551724,0.9310344827586207,0.9655172413793104
s,spods/logo_00011_0,spods,logo,29,own_verified,4998,splg_siglip,2048,24,52.0,68,2,26,0.8356580283712678,1,0.27586206896551724,0.9655172413793104,0.9655172413793104
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,siglip,2048,24,78.5,17,0,29,0.02534837940041122,30,0.0,0.13333333333333333,0.16666666666666666
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,splg,2048,24,78.5,17,0,29,1.0,1,0.3333333333333333,1.0,1.0
s,spods/logo_00014_0,spods,logo,30,own_verified,4998,splg_siglip,2048,24,78.5,17,0,29,0.9671622068054179,1,0.3333333333333333,0.9666666666666667,0.9666666666666667
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,siglip,2048,24,81.5,37,5,28,0.5145333080764017,1,0.3,0.5666666666666667,0.6666666666666666
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,splg,2048,24,81.5,37,5,28,0.9360031574755501,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
s,spods/logo_00023_0,spods,logo,30,own_verified,4998,splg_siglip,2048,24,81.5,37,5,28,0.9375947906363337,1,0.3333333333333333,0.9333333333333333,0.9333333333333333
s,spods/logo_00029_0,spods,logo,30,own_verified,4998,siglip,2048,24,29.0,26,5,18,0.23657476334363595,1,0.23333333333333334,0.26666666666666666,0.3
s,spods/logo_00029_0,spods,logo,30,own_verified,4998,splg,2048,24,29.0,26,5,18,0.6787704255055652,1,0.3333333333333333,0.6666666666666666,0.7666666666666667
s,spods/logo_00029_0,spods,logo,30,own_verified,4998,splg_siglip,2048,24,29.0,26,5,18,0.6434838210478151,1,0.3333333333333333,0.6333333333333333,0.6333333333333333
s,spods/stamp_00293_1,spods,stamp,14,own_verified,4998,siglip,2048,24,7.0,42,3,3,0.002573753138513606,784,0.0,0.0,0.0
s,spods/stamp_00293_1,spods,stamp,14,own_verified,4998,splg,2048,24,7.0,42,3,3,0.14743401682013824,3,0.21428571428571427,0.42857142857142855,0.5
s,spods/stamp_00293_1,spods,stamp,14,own_verified,4998,splg_siglip,2048,24,7.0,42,3,3,0.09077747234464982,3,0.21428571428571427,0.21428571428571427,0.21428571428571427
s,spods/stamp_00546_1,spods,stamp,19,own_verified,4998,siglip,2048,24,0.0,29,1,0,0.05423575058682093,3,0.05263157894736842,0.10526315789473684,0.21052631578947367
s,spods/stamp_00546_1,spods,stamp,19,own_verified,4998,splg,2048,24,0.0,29,1,0,0.005246213879004377,173,0.0,0.0,0.0
s,spods/stamp_00546_1,spods,stamp,19,own_verified,4998,splg_siglip,2048,24,0.0,29,1,0,0.049498410209643726,4,0.05263157894736842,0.10526315789473684,0.21052631578947367
s,spods/stamp_00577_1,spods,stamp,23,own_verified,4998,siglip,2048,24,54.0,66,176,20,0.0025584722842676914,3186,0.0,0.0,0.0
s,spods/stamp_00577_1,spods,stamp,23,own_verified,4998,splg,2048,24,54.0,66,176,20,0.5441022725948452,1,0.30434782608695654,0.6956521739130435,0.7391304347826086
s,spods/stamp_00577_1,spods,stamp,23,own_verified,4998,splg_siglip,2048,24,54.0,66,176,20,0.5226151282625005,1,0.30434782608695654,0.6956521739130435,0.6956521739130435
s,spods/stamp_00612_1,spods,stamp,22,own_verified,4998,siglip,2048,24,0.0,53,3,0,0.002795787628004336,1908,0.0,0.0,0.0
s,spods/stamp_00612_1,spods,stamp,22,own_verified,4998,splg,2048,24,0.0,53,3,0,0.005304941445050436,255,0.0,0.0,0.0
s,spods/stamp_00612_1,spods,stamp,22,own_verified,4998,splg_siglip,2048,24,0.0,53,3,0,0.00279559683223685,1910,0.0,0.0,0.0
