arm,dataset,t,mean,q25,q75,coverage,n_cells,baseline
app,caltech101_m,0,0.9997202333333334,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,1,,,,0.0,30,0.9997202333333334
app,caltech101_m,2,,,,0.0,30,0.9997202333333334
app,caltech101_m,3,,,,0.0,30,0.9997202333333334
app,caltech101_m,4,0.9664018666666667,0.96682375,1.0,1.0,30,0.9997202333333334
app,caltech101_m,5,0.9671121666666667,0.9728025,1.0,1.0,30,0.9997202333333334
app,caltech101_m,6,0.9841030333333333,0.9771847499999999,1.0,1.0,30,0.9997202333333334
app,caltech101_m,7,0.9868337,0.98207075,1.0,1.0,30,0.9997202333333334
app,caltech101_m,8,0.9923401666666668,0.99457,1.0,1.0,30,0.9997202333333334
app,caltech101_m,9,0.993597,0.9968889999999999,1.0,1.0,30,0.9997202333333334
app,caltech101_m,10,0.9970262000000001,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,11,0.9962614666666667,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,12,0.9962605999999999,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,13,0.9975828999999999,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,14,0.9976441666666667,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,15,0.9977479,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,16,0.9978214333333333,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,17,0.9978283333333332,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,18,0.9989060000000001,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,19,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,20,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,21,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,22,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,23,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,24,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,25,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,26,0.9996296333333333,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,27,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,28,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,29,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,30,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,31,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,32,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,33,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,34,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,35,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,36,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,37,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,38,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,39,1.0,1.0,1.0,1.0,30,0.9997202333333334
app,caltech101_m,40,1.0,1.0,1.0,1.0,30,0.9997202333333334
