budget,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
25,cost,app,app_xcal,30,0.004138500000000001,0.04882053333333333,0.04468203333333333,0.01810472860925853,0.0064064902221673695
25,cost,gp_rbf,app_xcal,30,0.004138500000000001,0.47923753333333335,0.4750990333333333,0.08461949312654983,3.9632291145653955e-05
25,cost,gp_rbf_rank,app_xcal,30,0.004138500000000001,0.5213673,0.5172288,0.06037034832238784,2.554465375675972e-06
25,cost,gp_rbf_blend,app_xcal,30,0.004138500000000001,0.07307186666666668,0.06893336666666668,0.03448472932931406,0.004853230851379527
25,cost,gp_dot_blend,app_xcal,30,0.004138500000000001,0.17164683333333333,0.16750833333333331,0.04455299559448439,8.857457687863547e-05
25,cost,gp_rbf_blend_straddle,app_xcal,30,0.004138500000000001,0.1510366333333333,0.14689813333333332,0.05810891257370282,0.004455352355471741
25,cost,gp_rbf_blend_maxvar,app_xcal,30,0.004138500000000001,0.0033277333333333334,-0.0008107666666666666,0.0036895913279234756,0.10933561718983298
25,fnr,app,app_xcal,30,0.0037037,0.00028490000000000004,-0.0034188,0.0037244238506526535,0.6547208460185769
25,fnr,gp_rbf,app_xcal,30,0.0037037,0.0005698000000000001,-0.0031339000000000002,0.0037666441786583307,0.6547208460185769
25,fnr,gp_rbf_rank,app_xcal,30,0.0037037,0.5159961,0.5122924,0.061761590693133916,1.2223622842585624e-05
25,fnr,gp_rbf_blend,app_xcal,30,0.0037037,0.0,-0.0037037,0.0037037000000000003,0.31731050786291415
25,fnr,gp_dot_blend,app_xcal,30,0.0037037,0.00028490000000000004,-0.0034188,0.0037244238506526535,0.6547208460185769
25,fnr,gp_rbf_blend_straddle,app_xcal,30,0.0037037,0.0019608,-0.0017429,0.004250055616228391,0.6547208460185769
25,fnr,gp_rbf_blend_maxvar,app_xcal,30,0.0037037,0.0,-0.0037037,0.0037037000000000003,0.31731050786291415
25,average_precision,app,app_xcal,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf,app_xcal,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf_rank,app_xcal,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf_blend,app_xcal,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_dot_blend,app_xcal,30,1.0,0.9992181,-0.0007818999999999984,0.0007818999999999984,0.31731050786291415
25,average_precision,gp_rbf_blend_straddle,app_xcal,30,1.0,1.0,0.0,0.0,
25,average_precision,gp_rbf_blend_maxvar,app_xcal,30,1.0,1.0,0.0,0.0,
50,cost,app,app_xcal,30,0.004678366666666667,0.019823966666666668,0.015145600000000002,0.007096358200473343,0.08428387967828298
50,cost,gp_rbf,app_xcal,30,0.004678366666666667,0.38431010000000004,0.37963173333333333,0.08776409602900467,0.0017363495207252152
50,cost,gp_rbf_rank,app_xcal,30,0.004678366666666667,0.4998709,0.4951925333333333,0.06070063195025491,1.7180929312456739e-06
50,cost,gp_rbf_blend,app_xcal,30,0.004678366666666667,0.014850366666666667,0.010171999999999999,0.009621184361342554,0.008903385115881386
50,cost,gp_dot_blend,app_xcal,30,0.004678366666666667,0.01938746666666667,0.0147091,0.005257755477660934,0.0035993565836257646
50,cost,gp_rbf_blend_straddle,app_xcal,30,0.004678366666666667,0.09063646666666665,0.0859581,0.0336288125902921,0.004514052854917141
50,cost,gp_rbf_blend_maxvar,app_xcal,30,0.004678366666666667,0.0041935,-0.00048486666666666667,0.000280047273239791,0.09259159575022993
50,fnr,app,app_xcal,30,0.0037037,0.0,-0.0037037,0.0037037000000000003,0.31731050786291415
50,fnr,gp_rbf,app_xcal,30,0.0037037,0.0,-0.0037037,0.0037037000000000003,0.31731050786291415
50,fnr,gp_rbf_rank,app_xcal,30,0.0037037,0.4930555333333333,0.48935183333333326,0.0623021388843201,1.7930402683303212e-05
50,fnr,gp_rbf_blend,app_xcal,30,0.0037037,0.0,-0.0037037,0.0037037000000000003,0.31731050786291415
50,fnr,gp_dot_blend,app_xcal,30,0.0037037,0.0074074,0.0037037,0.0037037000000000003,0.31731050786291415
50,fnr,gp_rbf_blend_straddle,app_xcal,30,0.0037037,0.0056645,0.0019608,0.0019608,0.31731050786291415
50,fnr,gp_rbf_blend_maxvar,app_xcal,30,0.0037037,0.0037037,0.0,0.0,
50,average_precision,app,app_xcal,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf,app_xcal,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf_rank,app_xcal,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_rbf_blend,app_xcal,30,1.0,1.0,0.0,0.0,
50,average_precision,gp_dot_blend,app_xcal,30,1.0,1.0,0.0,0.0,
